Key,SourceString
SYSTXT_SUPPORT_BROWSE_00010,"Travel Tips"
SYSTXT_SUPPORT_BROWSE_01010,"Scrolls"
SYSTXT_SUPPORT_BROWSE_10010,"Basic"
SYSTXT_SUPPORT_BROWSE_10020,"Menus"
SYSTXT_SUPPORT_BROWSE_10030,"In The Field"
SYSTXT_SUPPORT_BROWSE_10040,"In Battles"
SYSTXT_SUPPORT_BROWSE_10050,"Fun-Size Forge"
SYSTXT_SUPPORT_BROWSE_10060,"Facilities"
SYSTXT_SUPPORT_BROWSE_10070,"Mini-Games"
SYSTXT_SUPPORT_BROWSE_10080,"Misc."
SYSTXT_SUPPORT_BROWSE_20000,"PlayStation™ Store"
SYSTXT_SUPPORT_BROWSE_20010,"Nintendo eShop"
SYSTXT_SUPPORT_BROWSE_20020,"Store"
SYSTXT_SUPPORT_BROWSE_10090,"Alchemy Pot"
