Key,SourceString
TITLE_ID_TIPS_BASIC_00010,"Talk/Examine"
TITLE_ID_TIPS_BASIC_00020,"What to do When Lost"
TITLE_ID_TIPS_BASIC_00030,"Tricks and Action"
TITLE_ID_TIPS_BASIC_00040,"Gathering Points"
TITLE_ID_TIPS_BASIC_00050,"Save"
TITLE_ID_TIPS_BASIC_00060,"Auto Save"
TITLE_ID_TIPS_BASIC_00070,"Change Line-Up"
TITLE_ID_TIPS_BASIC_00080,"Camera Movement"
TITLE_ID_TIPS_BASIC_00090,"Autorun"
TITLE_ID_TIPS_BASIC_00100,"Dolboard"
TITLE_ID_TIPS_BASIC_00110,"Quick Commands"
TITLE_ID_TIPS_BASIC_00120,"System Settings"
TITLE_ID_TIPS_BASIC_00130,"Party"
TITLE_ID_TIPS_MENU_00010,"Heal All/Handy Heal All"
TITLE_ID_TIPS_MENU_00020,"Item Types"
TITLE_ID_TIPS_MENU_00030,"Items"
TITLE_ID_TIPS_MENU_00040,"Currency"
TITLE_ID_TIPS_MENU_00050,"Equipment"
TITLE_ID_TIPS_MENU_00060,"Temporary Equipment"
TITLE_ID_TIPS_MENU_00070,"Tarot Equipment"
TITLE_ID_TIPS_MENU_00080,"Glamour"
TITLE_ID_TIPS_MENU_00090,"Map Menu"
TITLE_ID_TIPS_MENU_00100,"Vocations"
TITLE_ID_TIPS_MENU_00110,"Skill Points"
TITLE_ID_TIPS_MENU_00120,"Skill Panel"
TITLE_ID_TIPS_MENU_00130,"Skill Reset"
TITLE_ID_TIPS_MENU_00140,"Omit"
TITLE_ID_TIPS_MENU_00150,"Records"
TITLE_ID_TIPS_MENU_00160,"Quests"
TITLE_ID_TIPS_FIELD_00010,"Zoomethysts"
TITLE_ID_TIPS_FIELD_00020,"Bravestone Pillars"
TITLE_ID_TIPS_FIELD_00030,"Zoomstones"
TITLE_ID_TIPS_FIELD_00031,"Zoombooster"
TITLE_ID_TIPS_FIELD_00040,"How to Ride the Ferry"
TITLE_ID_TIPS_FIELD_00050,"How to Ride the Train"
TITLE_ID_TIPS_FIELD_00060,"How to Ride the Grand Titus"
TITLE_ID_TIPS_FIELD_00070,"How to Get On/Off the Dragon"
TITLE_ID_TIPS_FIELD_00080,"Omit"
TITLE_ID_TIPS_FIELD_00090,"Time/Weather Changes"
TITLE_ID_TIPS_FIELD_00100,"Treasure"
TITLE_ID_TIPS_BATTLE_00010,"Tactics"
TITLE_ID_TIPS_BATTLE_00020,"Choosing Own Commands"
TITLE_ID_TIPS_BATTLE_00030,"Special Commands"
TITLE_ID_TIPS_BATTLE_00031,"Secret Art: Hero's Light"
TITLE_ID_TIPS_BATTLE_00032,"Secret Art: Hero's Sight"
TITLE_ID_TIPS_BATTLE_00033,"Secret Art: Hero's Shield"
TITLE_ID_TIPS_BATTLE_00034,"Secret Art: Hero's Heart"
TITLE_ID_TIPS_BATTLE_00040,"Tarot Commands"
TITLE_ID_TIPS_BATTLE_00050,"Swapping Members in Battle"
TITLE_ID_TIPS_BATTLE_00060,"Changing Equipment in Battle"
TITLE_ID_TIPS_BATTLE_00070,"Party Wipe"
TITLE_ID_TIPS_BATTLE_00080,"Fleeing"
TITLE_ID_TIPS_BATTLE_00090,"Battle Settings"
TITLE_ID_TIPS_BATTLE_00100,"About Status"
TITLE_ID_TIPS_BATTLE_00110,"About Ailments"
TITLE_ID_TIPS_BATTLE_00120,"About Tension"
TITLE_ID_TIPS_CRAFTSMAN_00010,"Fun-Sized Forge"
TITLE_ID_TIPS_CRAFTSMAN_00020,"Smithing Basics - Part 1"
TITLE_ID_TIPS_CRAFTSMAN_00024,"Smithing Basics - Part 2"
