Key,SourceString
SYSTXT_DUNGEON_MAGIC_NPC_01010,"If you'd like to take on a Maze Boss,\nI can send you to the Magic Maze!\n<br>\nDo you have a Maze Coin?\n<select_se_off>\nGive Coin\nExplanation\n<select_end>\n<break>"
SYSTXT_DUNGEON_MAGIC_NPC_01020,"If you'd like to take on a Maze Boss,\nI can send you to the Magic Maze!\n<br>\n...Oh? You have a guest.\nSince you have a guest, you can't battle.\nFinish your business, and come back again♪\n<end>"
SYSTXT_DUNGEON_MAGIC_NPC_01030,"If you'd like to take on a Maze Boss,\nI can send you to the Magic Maze!\n<br>\n...You don't have a Maze Coin.\t\nIf you find a Maze Coin, bring it along♪\t\n<end>"
SYSTXT_DUNGEON_MAGIC_NPC_01040,"You'll pass?\nWhen you do want to go to the Magic Maze,\ncome back again♪\n<end>"
SYSTXT_DUNGEON_MAGIC_NPC_01050,"Just a moment!\n<br>\nI feel a mysterious power from the\nadventurer!\n<br>\nIt'd be good if you heard the story♪\n<br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01060,"Select a Maze Coin to use!\n<break>"
SYSTXT_DUNGEON_MAGIC_NPC_01070,"Use a {Item_Selected_Name}?\n<yesno><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01080,"Then I'll send you to the Magic Maze♪\nSee you laaater♪\n<end>"
SYSTXT_DUNGEON_MAGIC_NPC_01090,"Would you like to hear about something again?\n<select_se_off>\nMagic Maze\nMaze Coin\nBoss Battles\n<select_end><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01100,"In the Magic Maze, you can use Maze Coins\nto battle Maze Bosses!\n<br>\nWhen the battle ends, the adventurer is\nreturned to their original world, so don't\nworry, ok♪\n<br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01110,"You can get Maze Coins from treasure chests\nand as tombola prizes.\n<br>\nIf you have a Maze Coin and give it to me,\nI can send you to the Magic Maze.\n<br>\n「もし　迷宮の主に負けても\n　Maze Coinは　失われないルン！\n<br>\n「だから　どんどん\n　迷宮の主に　挑戦して欲しいルン！\n<br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01120,"Maze Bosses are awfully strong!\n<br>\nBeat them and you'll get something good, so keep at it♪\n<br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01130,"Would you like to hear about anything else?\n<select_se_off>\nMagic Maze\nMaze Coin\nBoss Battle\n<select_end><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01140,"Welcome back♪\nLooks like you successfully defeated the\nMaze Boss!\n<br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01150,"That's unfortunate...\n<br>\nBut you can keep fighting the Maze Boss,\nuntil you run out of Maze Coins, so keep at it!\n<br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01160,"Will you try again?\n<yesno><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01170,"...Huh? You don't have a Maze Coin to use.\nWhen you find a Maze Coin, come back again♪\n<end>"
