Key,SourceString
SYSTXT_EQUIP_COORDINATE_SYS_00010,"Glamour"
SYSTXT_EQUIP_COORDINATE_SYS_00020,"Glamour Menu"
SYSTXT_EQUIP_COORDINATE_SYS_00030,"Swap Glamour"
SYSTXT_EQUIP_COORDINATE_SYS_01010,"Armor"
SYSTXT_EQUIP_COORDINATE_SYS_01020,"Weapon & Shield"
SYSTXT_EQUIP_COORDINATE_SYS_02010,"Edit Glamour"
SYSTXT_EQUIP_COORDINATE_SYS_02020,"Register"
SYSTXT_EQUIP_COORDINATE_SYS_03010,"Rename"
SYSTXT_EQUIP_COORDINATE_SYS_03020,"Swap Glamour"
SYSTXT_EQUIP_COORDINATE_SYS_10010,"Toggle Armor Display"
SYSTXT_EQUIP_COORDINATE_SYS_10020,"Swap Accessories"
SYSTXT_EQUIP_COORDINATE_SYS_10030,"Change Color"
SYSTXT_EQUIP_COORDINATE_SYS_20010,"Register the current appearance as a new<cf>glamour set?<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20020,"Overwrite the glamour set "{Present_Coordinate_Name}" with your current appearance?<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20030,"Registering appearance as a glamour set.<cf>Please give the glamour set a name."
SYSTXT_EQUIP_COORDINATE_SYS_20040,"Changing the name of your appearance.<cf>Please give the glamour set a name."
SYSTXT_EQUIP_COORDINATE_SYS_20050,"Stop registering the glamour set?<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20060,"Enter a name for your glamour set!"
SYSTXT_EQUIP_COORDINATE_SYS_20090,"Register the name of your glamour set as<cf>"{Input_Coordinate_Name}"?<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20100,"The name of your glamour set has been<cf>registered as "{Input_Coordinate_Name}"!"
SYSTXT_EQUIP_COORDINATE_SYS_20110,"The name for glamour set "{Present_Coordinate_Name}"<cf>was changed to "{Input_Coordinate_Name}!"
SYSTXT_EQUIP_COORDINATE_SYS_20120,"Stopped changing the name of your<cf>glamour set."
SYSTXT_EQUIP_COORDINATE_SYS_20130,"Changes have not been registered, are<cf>you sure you want to go back?<lf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20140,"Race clothing cannot be registered as a<cf>glamour set. Please remove the equipment<cf>and register."
SYSTXT_EQUIP_COORDINATE_SYS_20150,"Some equipment may be lost if changed.<cf>Are you sure you want to register your<cf>changes?<lf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_90010,"(Glamour Set 1)"
SYSTXT_EQUIP_COORDINATE_SYS_90020,"(Glamour Set 2)"
SYSTXT_EQUIP_COORDINATE_SYS_90030,"(Glamour Set 3)"
SYSTXT_EQUIP_COORDINATE_SYS_90040,"(Glamour Set 4)"
SYSTXT_EQUIP_COORDINATE_SYS_90050,"(Glamour Set 5)"
SYSTXT_EQUIP_COORDINATE_SYS_90060,"(Glamour Set 6)"
SYSTXT_EQUIP_COORDINATE_SYS_90070,"(Glamour Set 7)"
SYSTXT_EQUIP_COORDINATE_SYS_90080,"(Glamour Set 8)"
SYSTXT_EQUIP_COORDINATE_SYS_90090,"(Glamour Set 9)"
SYSTXT_EQUIP_COORDINATE_SYS_90100,"(Glamour Set 10)"
SYSTXT_EQUIP_COORDINATE_SYS_90110,"(Glamour Set 11)"
SYSTXT_EQUIP_COORDINATE_SYS_90120,"(Glamour Set 12)"
SYSTXT_EQUIP_COORDINATE_SYS_90130,"(Glamour Set 13)"
SYSTXT_EQUIP_COORDINATE_SYS_90140,"(Glamour Set 14)"
SYSTXT_EQUIP_COORDINATE_SYS_90150,"(Glamour Set 15)"
SYSTXT_EQUIP_COORDINATE_SYS_90160,"(Glamour Set 16)"
SYSTXT_EQUIP_COORDINATE_SYS_90170,"(Glamour Set 17)"
SYSTXT_EQUIP_COORDINATE_SYS_90180,"(Glamour Set 18)"
SYSTXT_EQUIP_COORDINATE_SYS_90190,"(Glamour Set 19)"
SYSTXT_EQUIP_COORDINATE_SYS_90200,"(Glamour Set 20)"
SYSTXT_EQUIP_COORDINATE_SYS_03030,"Wear Glamour"
