Key,SourceString
SYSTXT_FACILITY_BAR_NPC_01010,"This is the Adventurer's Tavern. A tavern is where\nadventurers meet to recruit or dismiss companions.\nHow can I help you today?\n<select>\nMy records\nFriend records\nSee friends\nLeave\n<select_end><break>"
SYSTXT_FACILITY_BAR_NPC_01020,"Is there anything else?\n<select>\nMy records\nFriend records\nSee friends\nLeave\n<select_end><break>"
SYSTXT_FACILITY_BAR_NPC_01030,"Yes. Thanks. If you get lonely again, come by\nanytime. I'll be waiting.\n<end>"
SYSTXT_FACILITY_BAR_NPC_01040,"「よし　わかった。\n　酒場に　登録するんだな。\n<br_break>"
SYSTXT_FACILITY_BAR_NPC_01050,"「この見た目で　登録していいか？\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_01060,"「フレンドになったひとに渡す依頼書を\n　選んでくれ。\n<break>"
SYSTXT_FACILITY_BAR_NPC_01070,"「未登録の　討伐依頼書を\n　まだ　手に入れていないようだな。\n　依頼書は登録できないが　いいか？\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_01080,"「この情報で登録していいか？\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_01090,"「よし。{pc}の登録を　受け付けたぜ。\n　フレンドのじゅもんは　こうだ。\n<br_break>"
SYSTXT_FACILITY_BAR_NPC_01100,"「このじゅもんを　フレンドに\n　酒場で　入力してもらってくれ。\n<br_break>"
SYSTXT_FACILITY_BAR_NPC_01110,"「やめるんだな。\n<br_break>"
SYSTXT_FACILITY_BAR_NPC_01120,"「フレンドを　登録するんだな。\n　じゃあ　フレンドのじゅもんを教えてくれ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01130,"「フレンドのじゅもんが　間違っているようだな。\n　もう一度　確認してくれ。\n<br_break>"
SYSTXT_FACILITY_BAR_NPC_01140,"「フレンドの登録を\n　やめるのか？\n<yesno 2><break>"
SYSTXT_FACILITY_BAR_NPC_01150,"「このひとと　フレンドになるんだな？\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_01160,"「このひとの情報を　更新するかい？\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_01170,"「既に　同じ内容の依頼書を\n　持っているみたいだな。\n　この依頼書を　受け取るかい？\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_01180,"「ほんとうに　このひとと\n　フレンドにならないんだな？\n<yesno 2><break>"
SYSTXT_FACILITY_BAR_NPC_01190,"「よし。フレンドに追加したぜ。\n　これで　このひとに\n　討伐隊の依頼を　頼めるようになったぞ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01200,"「よし。フレンドに追加したぜ。\n　討伐依頼書も　あとで確認してみてくれ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01210,"「この依頼書は　もう持っているみたいだな。\n　受け取らないが　いいか？\n<yesno 2><break>"
SYSTXT_FACILITY_BAR_NPC_01220,"「この依頼書は　まだ持っていないようだな。\n　依頼書は　もらっておくかい？\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_01230,"「このフレンドの情報の更新や\n　依頼書をもらうのを　やめていいか？\n<yesno 2><break>"
SYSTXT_FACILITY_BAR_NPC_01240,"「よし。フレンドの情報を更新したぜ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01250,"「討伐依頼書は　あとで確認してみてくれ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01260,"「よし。フレンドの情報を更新したぜ。\n　討伐依頼書も　あとで確認してみてくれ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01270,"「いま　フレンドになっているのは\n　このひとたちだぜ。\n<break>"
SYSTXT_FACILITY_BAR_NPC_01280,"「本当に　{Friend_Selected_Name}と\n　フレンドをやめるのか？\n<yesno 2><break>"
SYSTXT_FACILITY_BAR_NPC_01290,"「そうか　わかったよ。\n　手続きしておくな。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01300,"「このフレンドの情報の更新を\n　やめていいか？\n<yesno 2><break>"
SYSTXT_FACILITY_BAR_NPC_01310,"「フレンドは　ひとりもいないようだな。"
SYSTXT_FACILITY_BAR_NPC_01320,"「この討伐依頼書は\n　まえに　登録したぞ。\n　他のにしてくれ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01330,"「おや？　フレンドがいっぱいみたいだな。\n　残念だが　フレンドの人数を\n　減らさないと　登録できないぞ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01340,"「おや？　討伐依頼書の数が\n　いっぱいみたいだな。\n　依頼書を　減らしてからにしてくれ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_01350,"「この依頼書は　前にもらったみたいだな。\n　残念だけど　受け取れないぞ。\n<bw_break>"
SYSTXT_FACILITY_BAR_NPC_02010,"This is the Adventurer's Tavern. A tavern is where\nadventurers meet to recruit or dismiss companions.\nHow can I help you?\n<select>\nMy records\nFriend records\nSee friends\nLeave\n<select_end><break>"
SYSTXT_FACILITY_BAR_NPC_02020,"Is there anything else?\n<select>\nMy records\nFriend records\nSee friends\nLeave\n<select_end><break>"
SYSTXT_FACILITY_BAR_NPC_02030,"「ありがとうございました。\n　新しい出会いが　ほしいときは\n　また　いつでも来てね。\n<end>"
SYSTXT_FACILITY_BAR_NPC_02040,"Understood. Registering at the tavern, right.\n<br_break>"
SYSTXT_FACILITY_BAR_NPC_02050,"Is it okay to register your appearance?\n<yesno><break>"
SYSTXT_FACILITY_BAR_NPC_02060,"Which request form will you give to someone you've\nbecome friends with?\n<break>"
