Key,SourceString
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_1_BASE,"I took the plunge and proposed to her, and she said she would marry me if she showed enough \n courage to defeat \n{MonsterNum} {MonsterName}... \nPlease. Someone please kill me for me! \nMy whole life depends on her!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_2_BASE,"Oh my god. {MonsterName} Hey. \nIf {MonsterName} appears in front of me, \nI'm confident of running away with a quick attack. There are quite a few. \nOh no, is there anyone who can defeat {MonsterName} and \n{MonsterNum}? That would be awesome."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_3_BASE,"Recently, bad things keep happening... \nHe was seen by a fortune teller with a reputation for being 100-100, and he was told that {MonsterName} hated him in his previous life... \nSo, if you defeat {MonsterNum} {MonsterName}, \nyour luck will be restored... Help!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_4_BASE,"I'm currently planning a trip, but \nI've always hated {MonsterName}, so I really don't want to meet him on the way. \nPlease. Please defeat {MonsterNum} {MonsterName} and \n allow me to travel safely!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_5_BASE,"The food stored in the warehouse was eaten up by \n{MonsterName}. \nI need to get rid of {MonsterName} as many as \n {MonsterNum}.\nShe just can't get rid of her stomach bug!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_6_BASE,"I am the great prophet. \nI received a divine revelation while taking a bath earlier. \nGod said. \nDefeat {MonsterNum} {MonsterName}! \nYou who believe in the word of God. Implement this revelation!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_7_BASE,"{MonsterName} will eat all the \n precious cabbage that we grew. \nThank you! Defeat {MonsterNum} {MonsterName} and save \n our girlfriend's messy cabbage!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_8_BASE,"A girl I've been curious about for a while now asked me to beat {MonsterName} because she was scared of it and couldn't sleep. Dabesa. \nDefeat {MonsterNum} instead of Ora!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_9_BASE,"Kami-san is in a bad mood and I can't help her. \nI heard that {MonsterName} ate the flowers I had carefully cultivated. I'm sorry, but I wonder if you could defeat {MonsterName} by \n{MonsterNum}. \nIf she does that, she will be able to calm down Kami-san."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_10_BASE,"By the time you read this, I will not be in this world. \nI will soon die from the \n wound I received from {MonsterName}. The name and fortune we have built in this world are all due to life. Please defeat {MonsterName}\n{MonsterNum} and take my Kataki."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_11_BASE,"{MonsterName} is far \n from my aesthetic sense. \nWhen I see it, I feel sick. \nIf you can understand beauty, please defeat {MonsterNum} {MonsterName}."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_12_BASE,"My body cannot move due to {MonsterName}'s curse. \nSomehow he is writing this request form with barely moving fingers. It seems that to break the curse, all you have to do is defeat \n{MonsterNum} {MonsterName}. \nPlease! His back is itchy and he can't stand it!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_13_BASE,"If you practice your harp outside, monsters will come to you, and if you practice in the town, they will complain about how noisy it is. \nIt's truly a cruel world. \nSorry, but for the sake of the future of the music industry, please defeat \n{MonsterNum} {MonsterName}."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_14_BASE,"The subject of the next picture is {MonsterName}... \n{MonsterName} is about to fall. \nIn order to draw a realistic picture, \nI would like to defeat {MonsterNum} {MonsterName}. \nBecause I will sketch it for her."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_15_BASE,"My grandfather, who passed away three years ago, \nanyway, hates {MonsterName} so much that \nhe still stands in his dream pillow and tells me to defeat \n{MonsterNum} {MonsterName} before the anniversary of my death. I'm whispering \n. please! Somebody do something about her!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_16_BASE,"The \n{MonsterName} who were supposed to have been fed and tame every day were also receiving \nfood from other people! terrible! \nHarass the heartless {MonsterNum} {MonsterName}\n!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_17_BASE,"Um... I often drop my glasses, but the other day {MonsterName} stepped on me and \n the lenses broke. \nWhen I'm sad, she looks blank in front of me. \nDefeat {MonsterNum} the Glassed Kataki."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_18_BASE,"My husband is a member of the monster suppression team, but he is busy with work and doesn't come home often. \nThis is also because a large number of {MonsterName} have gone wild and are causing trouble for \nher husband! please! \nDefeat {MonsterNum} {MonsterName}!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_19_BASE,"There is a well that the old women use to wash their clothes. \nWe chat there every day, but {MonsterName} hasn't moved in lately. \nWe're already competing for space. \nYou guys should keep her as hard as {MonsterNum}!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_20_BASE,"I wanted to go out, but I didn't want to. \nThe number of {MonsterName} has increased, and \n it's getting so complicated that I can't help her anymore. \nIf you defeat {MonsterNum} {MonsterName}, \nI might be able to go out. Nice to meet you."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_21_BASE,"When I gathered up the courage to \n confess my love to the person I admired, {MonsterName} \n passed by and I missed my timing! \nDefeat {MonsterNum} {MonsterName}! \nThen I'll attack again!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_22_BASE,"Even though I just bought the dress, \n{MonsterName} is running around so much that it has mud stains! \nMake her quiet a bit.\n Defeat {MonsterNum} {MonsterName}!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_23_BASE,"Oh my god, {MonsterName} stole \nmy laundry the other day! \nHe needs to kick the crap out of such bad kids. \nDefeat {MonsterNum} {MonsterName} and \nI'll teach him not to attack you."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_24_BASE,"Hey, listen! {MonsterName} and I found out that \nI ate the cake that I had saved for fun! not bad! ? \nPlease! {MonsterNum} {MonsterName} Beat it and punish me! Because I won't let you!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_25_BASE,"Recently, my little boy has been imitating \n{MonsterName} for some reason and is bad for \neducation.It's the best Zamasu! \nFor my bright future, Zamasu will defeat {MonsterNum} {MonsterName}!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_26_BASE,"When I was drying my futon outside the house, {MonsterName} was taking a nap on top of \n and the stinking odor stuck to it! \nI want you to defeat {MonsterNum} {MonsterName} and \nkeep it away from the futon, Zamasu!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_27_BASE,"My cute cat Ronya's \n tail was pooped on {MonsterName}\n I won't let you go! ! Please! \n Defeat {MonsterNum} {MonsterName} and \n take Ronya's girlfriend's Kataki!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_28_BASE,"Now my father, mother, and I are going to \n and go to town. \n {MonsterName} is full of her and she is dangerous, so \n {MonsterNum} please bring me down. She begs."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_29_BASE,"……Kami-sama God. \nShe bullied my girlfriend's older brother.\n Please defeat {MonsterNum} {MonsterName} \n. \nPlease she please."
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_30_BASE,"When I was walking on the street, I unexpectedly ran into {MonsterName}. \nShe was so scared that she peed.She became tiny. \nSo, defeat {MonsterNum} {MonsterName} \n and get her pants off!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_31_BASE,"Hey, listen! \nOur very important secret base of his has been taken over by \n {MonsterName}! \nDefeat them {MonsterNum} and \ntake back our secret base!"
EVTXT_SYS_QUESTA_IRAISYO_ARASUJI_32_BASE,"If you become an elite in the future, you will \n be able to live a comfortable life, so for now, \n your mother is making a lot of noise. She wants to live up to the expectations, but \n {MonsterName} is making so much noise that she can't concentrate \n on studying. Defeat about {MonsterNum}."
