Key,SourceString
EVTXT_SYS_QUESTA_IRAISYO_NPC_1,"Colleen"
EVTXT_SYS_QUESTA_IRAISYO_NPC_2,"Napolo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_3,"Maitako"
EVTXT_SYS_QUESTA_IRAISYO_NPC_4,"Kazakiri"
EVTXT_SYS_QUESTA_IRAISYO_NPC_5,"Sazanami"
EVTXT_SYS_QUESTA_IRAISYO_NPC_6,"Bolipa"
EVTXT_SYS_QUESTA_IRAISYO_NPC_7,"Chakche"
EVTXT_SYS_QUESTA_IRAISYO_NPC_8,"Chechen"
EVTXT_SYS_QUESTA_IRAISYO_NPC_9,"Pearly"
EVTXT_SYS_QUESTA_IRAISYO_NPC_10,"Eris"
EVTXT_SYS_QUESTA_IRAISYO_NPC_11,"Student Shiragi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_12,"Explorer Elman"
EVTXT_SYS_QUESTA_IRAISYO_NPC_13,"Item Shop Einar"
EVTXT_SYS_QUESTA_IRAISYO_NPC_14,"Item Shop Maroc"
EVTXT_SYS_QUESTA_IRAISYO_NPC_15,"Blacksmith Batra"
EVTXT_SYS_QUESTA_IRAISYO_NPC_16,"Blacksmith Brendo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_17,"Weapon Shop Flannoy"
EVTXT_SYS_QUESTA_IRAISYO_NPC_18,"Weapon Shop Barton"
EVTXT_SYS_QUESTA_IRAISYO_NPC_19,"Merchant Malcomess"
EVTXT_SYS_QUESTA_IRAISYO_NPC_20,"Merchant Cococha"
EVTXT_SYS_QUESTA_IRAISYO_NPC_21,"Merchant Yatche"
EVTXT_SYS_QUESTA_IRAISYO_NPC_22,"Weapon Shop Gilba"
EVTXT_SYS_QUESTA_IRAISYO_NPC_23,"Tycoon Bruno"
EVTXT_SYS_QUESTA_IRAISYO_NPC_24,"Farmer Bonappe"
EVTXT_SYS_QUESTA_IRAISYO_NPC_25,"Farmer Gonza"
EVTXT_SYS_QUESTA_IRAISYO_NPC_26,"Farmer Shigoro"
EVTXT_SYS_QUESTA_IRAISYO_NPC_27,"Farmer Sadakichi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_28,"Woodcutter Poponce"
EVTXT_SYS_QUESTA_IRAISYO_NPC_29,"Woodcutter Jinbei"
EVTXT_SYS_QUESTA_IRAISYO_NPC_30,"Woodcutter Pepeta"
EVTXT_SYS_QUESTA_IRAISYO_NPC_31,"Twilight Malik"
EVTXT_SYS_QUESTA_IRAISYO_NPC_32,"Twilight Credo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_33,"Twilight Rami"
EVTXT_SYS_QUESTA_IRAISYO_NPC_34,"Lost Cecilio"
EVTXT_SYS_QUESTA_IRAISYO_NPC_35,"Lost Carlos"
EVTXT_SYS_QUESTA_IRAISYO_NPC_36,"Lost Eurico"
EVTXT_SYS_QUESTA_IRAISYO_NPC_37,"Grieving Paris"
EVTXT_SYS_QUESTA_IRAISYO_NPC_38,"Grieving Loran"
EVTXT_SYS_QUESTA_IRAISYO_NPC_39,"Grieving Morris"
EVTXT_SYS_QUESTA_IRAISYO_NPC_40,"Sad Elaine"
EVTXT_SYS_QUESTA_IRAISYO_NPC_41,"Sad Herald"
EVTXT_SYS_QUESTA_IRAISYO_NPC_42,"Sad Damien"
EVTXT_SYS_QUESTA_IRAISYO_NPC_43,"Lonely Debbie"
EVTXT_SYS_QUESTA_IRAISYO_NPC_44,"Lonely Hosse"
EVTXT_SYS_QUESTA_IRAISYO_NPC_45,"Lonely Leo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_46,"Sherika"
EVTXT_SYS_QUESTA_IRAISYO_NPC_47,"Irene"
EVTXT_SYS_QUESTA_IRAISYO_NPC_48,"Elaina"
EVTXT_SYS_QUESTA_IRAISYO_NPC_49,"Chacha"
EVTXT_SYS_QUESTA_IRAISYO_NPC_50,"Ajisai"
EVTXT_SYS_QUESTA_IRAISYO_NPC_51,"Kikira"
EVTXT_SYS_QUESTA_IRAISYO_NPC_52,"Hazakura"
EVTXT_SYS_QUESTA_IRAISYO_NPC_53,"Mamalily"
EVTXT_SYS_QUESTA_IRAISYO_NPC_54,"Innkeep Maggie"
EVTXT_SYS_QUESTA_IRAISYO_NPC_55,"Innkeep Hinagiku"
EVTXT_SYS_QUESTA_IRAISYO_NPC_56,"Hairdresser Papana"
EVTXT_SYS_QUESTA_IRAISYO_NPC_57,"Item Shop Sheri"
EVTXT_SYS_QUESTA_IRAISYO_NPC_58,"Material Shop Medori"
EVTXT_SYS_QUESTA_IRAISYO_NPC_59,"Material Shop Serina"
EVTXT_SYS_QUESTA_IRAISYO_NPC_60,"Furniture Shop Popo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_61,"Dreaming Chokora"
EVTXT_SYS_QUESTA_IRAISYO_NPC_62,"Dreaming Hanon"
EVTXT_SYS_QUESTA_IRAISYO_NPC_63,"Dreaming Peony"
EVTXT_SYS_QUESTA_IRAISYO_NPC_64,"Erno in Love"
EVTXT_SYS_QUESTA_IRAISYO_NPC_65,"Betty in Love"
EVTXT_SYS_QUESTA_IRAISYO_NPC_66,"Melissa in Love"
EVTXT_SYS_QUESTA_IRAISYO_NPC_67,"Selfish Puula"
EVTXT_SYS_QUESTA_IRAISYO_NPC_68,"Selfish Nonno"
EVTXT_SYS_QUESTA_IRAISYO_NPC_69,"Lazy Lily"
EVTXT_SYS_QUESTA_IRAISYO_NPC_70,"Lazy Mary"
EVTXT_SYS_QUESTA_IRAISYO_NPC_71,"Lazy Ellie"
EVTXT_SYS_QUESTA_IRAISYO_NPC_72,"Madame Belle"
EVTXT_SYS_QUESTA_IRAISYO_NPC_73,"Madame Dania"
EVTXT_SYS_QUESTA_IRAISYO_NPC_74,"Madame Velor"
EVTXT_SYS_QUESTA_IRAISYO_NPC_75,"Madame Sally"
EVTXT_SYS_QUESTA_IRAISYO_NPC_76,"Mrs. Dorothea"
EVTXT_SYS_QUESTA_IRAISYO_NPC_77,"Mrs. Ennett"
EVTXT_SYS_QUESTA_IRAISYO_NPC_78,"Mrs. Zamas"
EVTXT_SYS_QUESTA_IRAISYO_NPC_79,"Mrs. Ammond"
EVTXT_SYS_QUESTA_IRAISYO_NPC_80,"Mrs. Ernesto"
EVTXT_SYS_QUESTA_IRAISYO_NPC_81,"Mrs. Beatrice"
EVTXT_SYS_QUESTA_IRAISYO_NPC_82,"Popona"
EVTXT_SYS_QUESTA_IRAISYO_NPC_83,"Mimi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_84,"Aimee"
EVTXT_SYS_QUESTA_IRAISYO_NPC_85,"Sugar"
EVTXT_SYS_QUESTA_IRAISYO_NPC_86,"Pipina"
EVTXT_SYS_QUESTA_IRAISYO_NPC_87,"Lulu"
EVTXT_SYS_QUESTA_IRAISYO_NPC_88,"Kukulu"
EVTXT_SYS_QUESTA_IRAISYO_NPC_89,"Neppy"
EVTXT_SYS_QUESTA_IRAISYO_NPC_90,"Kino"
EVTXT_SYS_QUESTA_IRAISYO_NPC_91,"Tack"
EVTXT_SYS_QUESTA_IRAISYO_NPC_92,"Pelta"
