Key,SourceString
SYSTXT_FACILITY_BARMONSTER_00010,"Take Along"
SYSTXT_FACILITY_BARMONSTER_00020,"Deposit"
SYSTXT_FACILITY_BARMONSTER_00030,"Dyeing"
SYSTXT_FACILITY_BARMONSTER_00040,"Change Name"
SYSTXT_FACILITY_BARMONSTER_00050,"Release"
SYSTXT_FACILITY_BARMONSTER_00060,"Change"
SYSTXT_FACILITY_BARMONSTER_00070,"Explanation"
SYSTXT_FACILITY_BARMONSTER_00080,"Choose a fellow\nmonster to\ntake."
SYSTXT_FACILITY_BARMONSTER_00090,"Deposit your\nfellow\nmonster."
SYSTXT_FACILITY_BARMONSTER_00100,"Change the\ncolor of a\nfellow monster."
SYSTXT_FACILITY_BARMONSTER_00110,"Rename your\nfellow monster."
SYSTXT_FACILITY_BARMONSTER_00120,"Say your goodbyes\nto a fellow\nmonster."
SYSTXT_FACILITY_BARMONSTER_00130,"Swap rooms and\nchange order of\nfellow monsters."
SYSTXT_FACILITY_BARMONSTER_00140,"Explains the\nfellow monster\nsystem."
SYSTXT_FACILITY_BARMONSTER_00150,"No. Deposits"
SYSTXT_FACILITY_BARMONSTER_01010,"Fellow Monster"
SYSTXT_FACILITY_BARMONSTER_01020,"Nature:"
SYSTXT_FACILITY_BARMONSTER_01030,"Nature"
SYSTXT_FACILITY_BARMONSTER_02010,"Dyeing"
SYSTXT_FACILITY_BARMONSTER_02020,"Color Change"
SYSTXT_FACILITY_BARMONSTER_02030,"Create Color"
SYSTXT_FACILITY_BARMONSTER_02040,"Change the color of\na fellow monster."
SYSTXT_FACILITY_BARMONSTER_02050,"Change the color of\na fellow monster."
SYSTXT_FACILITY_BARMONSTER_02060,"Color"
SYSTXT_FACILITY_BARMONSTER_02070,"Materials Needed"
SYSTXT_FACILITY_BARMONSTER_02080,"Materials Needed (Created)"
SYSTXT_FACILITY_BARMONSTER_02090,"Need/Have"
SYSTXT_FACILITY_BARMONSTER_02100,"Color Description"
SYSTXT_FACILITY_BARMONSTER_02110,"Materials Needed"
