Key,SourceString
SYSTXT_FACILITY_CHURCH_NPC_01010,"Every living being is a child of God.\nWhat can I do for my church?\n<ask><break>"
SYSTXT_FACILITY_CHURCH_NPC_01020,"Do you need anything else?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01030,"Don't do it.\nThat's okay too.\nWhat else do you need?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01040,"Continue your adventure.\nSo what else do you need?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01050,"When in trouble, drop by.\nGod bless {PC}.\n<turn_end>"
SYSTXT_FACILITY_CHURCH_NPC_01060,"Then\nconfess before God what you have done\nand record it in your adventure book.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01061,"Then\nconfess before God what you have done.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01070,"Are you going to\nrecord it in your adventure book?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01080,"Overwrite {Boukennosho_Slot}: {PC} {Play_Time} ?\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01090,"I've recorded it.\nYou still have\nadventures to go on?\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01100,"O God!\nGive this one a\nrest.\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01101,"Oh God!\nGive these people a\nrest.\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01110,"Would you like the Zoomstone to remember\n{Place_Name}?\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01120,"Very well.\nthen you can\nmeditate on the Zoomstone...\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01130,"That Zoomstone has memorized\n{Place_Name}.\nWhat else do you need?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01140,"Hmm. Looks like you\nalready have a Zoomstone that\nmemorized this location.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01150,"I hear God's voice.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01160,"{Character_Name}.\nYou'll reach the\nnext level with {Exp_Require} experience.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01170,"{Character_Name}.\nYou are strong enough already.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01180,"No one seems to have died.\nThank God for his protection.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01190,"Who do you want to bring back to this world?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01200,"Don't start kidding!\nYou're freaking out!\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01210,"Don't joke!\n{Character_Selected_Name} is alive!\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01220,"Oh! Almighty God!\nBring back the spirit of {Character_Selected_Name},\nyour faithful servant!\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01230,"No one seems to have been poisoned.\nThank God for his protection.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01240,"Whose poison are you going to cure?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01250,"Hey, you haven't\nbeen poisoned.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01260,"Well, {Character_Selected_Name} doesn't seem\npoisoned or anything like that.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01270,"Oh! Almighty God!\nWipe away the poisonous cloud\nfrom {Character_Selected_Name}.\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01280,"No one seems to be cursed.\nThank God for his protection.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01290,"Who's curse will you break?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01300,"Well... you don't seem to be\ncursed.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01310,"Well... {Character_Selected_Name} doesn't\nseem cursed.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01320,"Oh! Almighty God!\nRemove the vile curse that haunts {Character_Selected_Name}!\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01330,"That will be\na donation of {Donation} gold to the church.\nAre you sure?\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01340,"Umm... It looks like you don't\nhave enough money to donate.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01350,"Hmm... I can see it.\nAnother form that sleeps within you.\n<br_break>"
SYSTXT_FACILITY_CHURCH_NPC_01360,"Would you like to\nchange race from\n{PC_Race} to {PC_Race_After} awakening a different form?\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01370,"Oh Almighty God!\nAwaken the\nform of {PC_Race_After} that sleeps within {PC}!\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01380,"I\nremoved the weapons and armor that you can't\nequip because of your race change.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01390,"Welcome back!\n{PC}!\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01400,"O Goddess! May you bless this one with your divine\nprotection!\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01401,"Oh God!\nMay the Holy Blessing\nbe upon these people!\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01810,"Which Draconian Quest are you going to\nunlock?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01820,"If you set 'Limit number of items you can use', you must\nhave less than 10 items!\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01830,"Once you turn it off, you can't get it back.\nCan you\nturn this setting off?\n<yesno2><break>"
SYSTXT_FACILITY_CHURCH_NPC_01910,"Fucking Jumon!\nIt is the voice of God that guides us!\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01920,"Then I'll teach you\nthe magic spell!\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01930,"Make sure you\nwrite down this spell so you don't forget it.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_02010,"Lost lamb led by God.\nWelcome to my church.\nWhat can I do for you?\n<ask><break>"
SYSTXT_FACILITY_CHURCH_NPC_02020,"Is there anything else I can do for you?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_02030,"I'm sorry.\nIs there anything else I can do for you?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_02040,"You're continuing your adventure."
SYSTXT_FACILITY_CHURCH_NPC_02050,"God is always\nwatching over you.\nPlease come again.\n<turn_end>"
SYSTXT_FACILITY_CHURCH_NPC_02060,"Then\nconfess before God what you have done\nand record it in your Adventure Book.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_02061,"Then\nconfess before God what you have done.\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_02070,"Will it\nbe recorded in your Adventure Book?\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_02080,"Are you sure you want to\noverwrite {Boukennosho_Slot}: {PC} {Play_Time}?\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_02090,"Sure, we recorded it.\nAre you still going to continue your adventure?\n<yesno><break>"
