Key,SourceString
SYSTXT_FACILITY_CHURCH_00010,"Pray"
SYSTXT_FACILITY_CHURCH_00020,"Zoomstone"
SYSTXT_FACILITY_CHURCH_00030,"Hear Announcement"
SYSTXT_FACILITY_CHURCH_00040,"Revive"
SYSTXT_FACILITY_CHURCH_00050,"Cure Poison"
SYSTXT_FACILITY_CHURCH_00060,"Remove Curse"
SYSTXT_FACILITY_CHURCH_00070,"Change Race"
SYSTXT_FACILITY_CHURCH_00080,"Spell of Restoration"
SYSTXT_FACILITY_CHURCH_01010,"Record \nyour progress to date in the \nAdventure Log."
SYSTXT_FACILITY_CHURCH_01020,"Register this location \nto your Zoomstone."
SYSTXT_FACILITY_CHURCH_01030,"Check the experience\nneeded to reach the next level."
SYSTXT_FACILITY_CHURCH_01040,"Revives \na fallen companion"
SYSTXT_FACILITY_CHURCH_01050,"Remove poison from\nyourself or one companion."
SYSTXT_FACILITY_CHURCH_01060,"Lifts a curse from\nyou or one of your companions."
SYSTXT_FACILITY_CHURCH_01070,"Swap between being\nhuman or your alternately\nselected race."
SYSTXT_FACILITY_CHURCH_01080,"Listens \n to the \ntemple of \nfutility"
SYSTXT_FACILITY_CHURCH_02010,"Checking your Adventure Log.\nPlease wait a moment...\n<break>"
SYSTXT_FACILITY_CHURCH_02020,"Recording progress to the Adventure Log. \nPlease do not close the game. \n<break>"
SYSTXT_FACILITY_CHURCH_02030,"Thank you for waiting.\n<emoji FaceButton_Right>You may return to the main title now. \n<bw_break>"
SYSTXT_FACILITY_CHURCH_02040,"Recording progress to the Adventure Log.\nPlease do not turn off\nthe Nintendo Switch.<tms>\n<break>"
SYSTXT_FACILITY_CHURCH_02050,"Recording progress to the Adventure Log.\nPlease do not turn off\nthe PlayStation 4.<rs>\n<break>"
SYSTXT_FACILITY_CHURCH_02060,"Recording progress to the Adventure Log.\nPlease do not turn off\nthe PlayStation 5.<rs><break>"
SYSTXT_FACILITY_CHURCH_02070,"Recording progress to the Adventure Log. \nPlease do not\nexit the application. \n<break>"
SYSTXT_FACILITY_CHURCH_02080,"Do you wish to pray to Nanban? \n<break>"
SYSTXT_FACILITY_CHURCH_03010,"{Character_Selected_Name} was revived! \n<br_break>"
SYSTXT_FACILITY_CHURCH_03020,"The poison was removed from {Character_Selected_Name}!\n<br_break>"
SYSTXT_FACILITY_CHURCH_03030,"{Character_Selected_Name}'s curse has been lifted! \n<br_break>"
SYSTXT_FACILITY_CHURCH_04010,"The shibari play has been lifted! \n<br_break>"
SYSTXT_FACILITY_CHURCH_10010,"Resume your adventure"
