Key,SourceString
SYSTXT_FACILITY_COLORING_NPC_00010,"Hello!<cf>This is an equipment coloring shop.<cf>How can I help you?<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_00020,"Thank you.<cf>We Look forward to seeing you again."
SYSTXT_FACILITY_COLORING_NPC_10010,"I'm sorry but its not possible to dye<cf>that piece of equipment. Please select<cf>another piece ypu would like to dye.<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10020,"You don't have anything equipped there.<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10030,"This piece of equipment isn't visibly equipped.<cf>Do you still want to dye it?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10040,"Huh. It's the same...<cf>It looks the same. Is that okay?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10050,"Do you want to restore the original color?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10060,"Huh? It doesn't seem to look any different.<cf>Please choose a different color <cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10070,"Please choose an item to be dyed.<cf>Would you like to dye this?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10080,"Please choose an item to be dyed.<cf>Would you like to dye this?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10090,"That will be {金額} gold.<cf>Is that all right?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10100,"Oh, you changed your mind.<lf><br><lf>Is there anything else I can do for you?<lf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10110,"Oh? It looks like you don't have enough gold.<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20010,"{装備品種別名} cannot be registered again.<cf>You can register it again by deleting<cf>it and re-registering. Would you like to?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20020,"Are you sure you want to delete {登録中アイテム}<cf>and re-register {新規登録アイテム} instead?<cf>Are you sure?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20030,"Are you sure you want to stop dying<cf>your {新規登録アイテム}?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20040,"Got it.<cf>Now, let's start coloring it then.<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20050,"...Ah!<cf>The coloring turned out beautifully!<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20060,"Do you want to dye any other pieces<cf>of equipment?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20070,"This equipment is used as glamour.<cf>Are you sure you want to dye it?<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20080,"This equipment is used as glamour.<lf>Are you sure you want to dye it?<lf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20090,"It seems that you don't currently have<cf>any colored equipment.<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20100,"Oh? It seems that you don't have\nany equipment.<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20110,"Do you want to stop coloring the<cf>selected equipment?<cf><yesno><close>"
