Key,SourceString
SYSTXT_COLOSSEUM_SYS_01010,"War Fan Tasm Rounds Completed"
SYSTXT_COLOSSEUM_SYS_01020,"Battle Registration"
SYSTXT_COLOSSEUM_SYS_01030,"Rewards and Compensation"
SYSTXT_COLOSSEUM_SYS_01040,"Hear an Explanation"
SYSTXT_COLOSSEUM_SYS_01050,"Current Total Moves"
SYSTXT_COLOSSEUM_SYS_01060,"Path of Battle"
SYSTXT_COLOSSEUM_SYS_01070,"Opposing Teams"
SYSTXT_COLOSSEUM_SYS_01080,"Personal Best"
SYSTXT_COLOSSEUM_SYS_01090,"Initial Rewards"
SYSTXT_COLOSSEUM_SYS_01100,"Early Rewards"
SYSTXT_COLOSSEUM_SYS_01110,"Collected Rewards"
SYSTXT_COLOSSEUM_SYS_01120,"Path to Rewards"
SYSTXT_COLOSSEUM_SYS_01130,"Rewards"
SYSTXT_COLOSSEUM_SYS_01140,"???"
SYSTXT_COLOSSEUM_SYS_01150,"Witch Wars"
SYSTXT_COLOSSEUM_SYS_01160,"Slime Series"
SYSTXT_COLOSSEUM_SYS_01170,"Monster Idols"
SYSTXT_COLOSSEUM_SYS_01180,"Workers from Hell"
SYSTXT_COLOSSEUM_SYS_01190,"God of Evil Spirits"
SYSTXT_COLOSSEUM_SYS_01200,"Infinite Opponents"
SYSTXT_COLOSSEUM_SYS_01210,"Dangerous Dragons"
SYSTXT_COLOSSEUM_SYS_01220,"Stupendous Soldiers"
SYSTXT_COLOSSEUM_SYS_01230,"The Three Evils"
SYSTXT_COLOSSEUM_SYS_01240,"Dark Nebula"
