Key,SourceString
SYSTXT_FACILITY_CONCIERGE_NPC_00010,"Welcome back! \n Provided by the World Inn Association \n Travel Concierge Service Counter is here. \n<bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00020,"So, which service are you using today?\n<bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00030,"Is there anything else you need?\n<yesno><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00040,"Thank you for using our service. \n I hope you have a fulfilling and adventurous life. \n<end>"
SYSTXT_FACILITY_CONCIERGE_NPC_00050,"Hey….\n You are a customer who has not yet registered.\n Would you like to explain about our service?\n<yesno><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00060,"This is a travel concierge.\n We are dispatched by the World Inn Association to provide various services to adventurers.\n<br>\nWe \n We would like to introduce you to the services provided by \n.\n<br>\nWith the reward storage service,\n you can temporarily receive \n reward items that you were unable to receive when completing a quest. We will take care of it for you.\n<br>\nWe also have recommended quests and travel destination information."
SYSTXT_FACILITY_CONCIERGE_NPC_00070,"Would you like to register now to use the concierge \n service? \n<yesno><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00080,"Okay. \n Please wait a moment…. \n<wait=1000><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_00090,"Thank you for waiting! \n {pc} has been registered as a service member! \n<br>\nWhen using the service, please visit the inns in various locations. lf> Standing wearing this outfit\n Please talk to the travel concierge.\n<br>\nThank you for registering.\n Your fulfilling adventure life<lf > I hope I can help you."
SYSTXT_FACILITY_CONCIERGE_NPC_00100,"I see...\n You can register at any time, so \n please come back if you change your mind."
SYSTXT_FACILITY_CONCIERGE_NPC_01010,"Here is the quest that \n I can guide {pc} now.\n<bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_01020,"What do you think? If you don't like it, \n we will guide you to another quest, so please select the quest guide again.\n<bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_01030,"I'm sorry, but there are no quests that I can \n offer to {pc} right now. \n Please inquire at another time. \n<bw_break>"
SYSTXT_FACILITY_CONCIERGE_NPC_09010,"What would you like to explain?\n<select_se_off>\nAbout discounts\nView information\nAbout receiving rewards\n<select_end><break>"
SYSTXT_FACILITY_CONCIERGE_NPC_09020,"If you happen to get an inflatable ticket during your trip, please bring it here. \n You can inflate once per ticket.\n<br>\n'' Of course, whether you win or not depends on your luck.\n It's fair for both new and veteran adventurers.\n I hope you win some good fortune.\n<end>"
SYSTXT_FACILITY_CONCIERGE_NPC_09030,"The quest guide will guide you to \n the quests that you can take. \n<br>\nIf you are not sure what to do, \n please use it.< lf><end>"
