Key,SourceString
SYSTXT_FACILITY_CONCIERGE_SYS_00010,"Lottery"
SYSTXT_FACILITY_CONCIERGE_SYS_00020,"Guidance"
SYSTXT_FACILITY_CONCIERGE_SYS_00030,"Receive Rewards"
SYSTXT_FACILITY_CONCIERGE_SYS_00040,"Description of Services"
SYSTXT_FACILITY_CONCIERGE_SYS_00050,"Quests\nThat can be accepted"
SYSTXT_FACILITY_CONCIERGE_SYS_00060,"Recommended\nTravel Destinations"
SYSTXT_FACILITY_CONCIERGE_SYS_00070,"Quest Guide"
SYSTXT_FACILITY_CONCIERGE_SYS_00080,"Travel Guide"
SYSTXT_FACILITY_CONCIERGE_SYS_01010,"Depository Report"
SYSTXT_FACILITY_CONCIERGE_SYS_01020,"Experience Depository"
SYSTXT_FACILITY_CONCIERGE_SYS_01030,"Setup Deposit"
SYSTXT_FACILITY_CONCIERGE_SYS_01040,"Setup Deposit"
SYSTXT_FACILITY_CONCIERGE_SYS_01050,"Deposit"
SYSTXT_FACILITY_CONCIERGE_SYS_01060,"Deposit"
SYSTXT_FACILITY_CONCIERGE_SYS_01070,"Stored Quest Experience"
SYSTXT_FACILITY_CONCIERGE_SYS_09010,"Lottery"
SYSTXT_FACILITY_CONCIERGE_SYS_09020,"Get Directions"
SYSTXT_FACILITY_CONCIERGE_SYS_09030,"Receive Quest Rewards"
SYSTXT_FACILITY_CONCIERGE_SYS_09040,"Registration"
SYSTXT_FACILITY_CONCIERGE_SYS_10010,"Rewards"
SYSTXT_FACILITY_CONCIERGE_SYS_10020,"Special"
SYSTXT_FACILITY_CONCIERGE_SYS_10030,"1st Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10040,"2nd Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10050,"3rd Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10060,"4th Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10070,"5th Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10080,"6th Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10090,"7th Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10100,"8th Prize"
SYSTXT_FACILITY_CONCIERGE_SYS_10110,"Lottery"
SYSTXT_FACILITY_CONCIERGE_SYS_10120,"Received Rewards"
SYSTXT_FACILITY_CONCIERGE_SYS_09050,"Desposit"
