Key,SourceString
SYSTXT_FACILITY_DOLBOARD_NPC_00010,"Th-that's a {Dolboard_Prism_Name}, ain't it! You got\nsomething amazing there, y'know! If I attached that to\nyour dolboard, you could transform your machine's form!\n<br>\nOf course, you can always go back to its original form\nand your dolboard's performance, like it's speed and\nstuff, wouldn't be impacted!\n<br>\nWant me to try installing the {Dolboard_Prism_Name}\nreal quick?<yesno><break>"
SYSTXT_FACILITY_DOLBOARD_NPC_00020,"Hahahahahahahahahahahahahahaha. Finally... At last!\nThe time has come! LET'S PRISM CUSTOMIZE!!<end>"
SYSTXT_FACILITY_DOLBOARD_NPC_00030,"Ah, that's too bad. Not very romantic, y'know.\nWhen you do, please remember me!<br_breakr>"
SYSTXT_FACILITY_DOLBOARD_NPC_01010,"Welcome! This is the Dolboard Customs Shop!<br_breakr>"
SYSTXT_FACILITY_DOLBOARD_NPC_01020,"Alright then, with that, back to the Custom Shop.<br_breakr>"
SYSTXT_FACILITY_DOLBOARD_NPC_01030,"Now then! What can I do for you today?\n<select>\nCustomize\nExplain\n<select_end><break>"
SYSTXT_FACILITY_DOLBOARD_NPC_01040,"Come back when you're ready to customize your dolboard\nagain. Until then, treat your machine like you're in\na romance!"
SYSTXT_FACILITY_DOLBOARD_NPC_01050,"Supposing you obtain one of these valuables called a\n'prism', bring it back to me here!\n<br>\nThen I'll install install it on your machine real\nquick! Until then, treat your machine like you're in\na romance!"
SYSTXT_FACILITY_DOLBOARD_NPC_01060,"You can change your dolboard's form in the menu,\n'Misc.' > System 'Settings' > 'Dolboard Prism', too.<br>"
SYSTXT_FACILITY_DOLBOARD_NPC_10010,"Don't want to change your color yet?"
SYSTXT_FACILITY_DOLBOARD_NPC_10020,"Go back to the original set of colors?<yesno><break>"
SYSTXT_FACILITY_DOLBOARD_NPC_10030,"That's the coloring you want, right? That'll be\n{Gold_Need}G, okay?\n<yesno><break>"
SYSTXT_FACILITY_DOLBOARD_NPC_10040,"Oh yeah? Looks like you're lacking gold."
SYSTXT_FACILITY_DOLBOARD_NPC_10050,"OK! Then let's give it some color!"
SYSTXT_FACILITY_DOLBOARD_NPC_10060,"...Alright! Got it prettied up! Anything else?"
SYSTXT_FACILITY_DOLBOARD_NPC_20010,"Oops, sorry. For now, your machine's not ready for\nform-changing. In order to do the form-changing,\nyou'll need a valuable item called a 'prism'.\n<br>\nSupposing you obtain one of these valuables called a\n'prism', bring it back to me here!\n<br>\nThen I'll install install it on your machine real\nquick!"
SYSTXT_FACILITY_DOLBOARD_NPC_20020,"You say you don't want to change right now? Choose\nsomething else.\n<end>"
SYSTXT_FACILITY_DOLBOARD_NPC_20030,"{Dolboard_Prism_Name}, that's the form-change\nyou want, right?<yesno><close>"
SYSTXT_FACILITY_DOLBOARD_NPC_30010,"What do you want explained?\n<select>\nColoring\nForm-Changing\n<select_end><break>"
SYSTXT_FACILITY_DOLBOARD_NPC_30020,"Coloring is a service to change the color of your\nmachine's various parts! If you want to go back to\nyour original colors, there'll be a fee.<bw_break>"
SYSTXT_FACILITY_DOLBOARD_NPC_30030,"Form-Changing is a service to change your machine's\nform to one that you'd prefer!\n<br>\nIf your dolboard doesn't have at least one valuable\nitem called a 'prism' attached to it, then you won't\nbe able to form-change.\n<br>\nForm-changing happens to be a hobby of mine, so I'll\nwaive the fee.<bw_break>"
