Key,SourceString
SYSTXT_FACILITY_JOBCHANGE_00010,"Occupation"
SYSTXT_FACILITY_JOBCHANGE_01010,"Equipable weapons"
SYSTXT_FACILITY_JOBCHANGE_01020,"Current EXP"
SYSTXT_FACILITY_JOBCHANGE_01030,"To Next Level"
SYSTXT_FACILITY_JOBCHANGE_02010,"Base Stats"
SYSTXT_FACILITY_JOBCHANGE_10010,"Warrior"
SYSTXT_FACILITY_JOBCHANGE_10020,"Priest"
SYSTXT_FACILITY_JOBCHANGE_10030,"Mage"
SYSTXT_FACILITY_JOBCHANGE_10040,"Martial Artist"
SYSTXT_FACILITY_JOBCHANGE_10050,"Thief"
SYSTXT_FACILITY_JOBCHANGE_10060,"Minstrel"
SYSTXT_FACILITY_JOBCHANGE_10070,"Battlemaster"
SYSTXT_FACILITY_JOBCHANGE_10080,"Paladin"
SYSTXT_FACILITY_JOBCHANGE_10090,"Armamentalist"
SYSTXT_FACILITY_JOBCHANGE_10100,"Ranger"
SYSTXT_FACILITY_JOBCHANGE_10110,"Sage"
SYSTXT_FACILITY_JOBCHANGE_10120,"Superstar"
SYSTXT_FACILITY_JOBCHANGE_10130,"Monster Master"
SYSTXT_FACILITY_JOBCHANGE_10140,"Item Master"
SYSTXT_FACILITY_JOBCHANGE_10150,"Dancer"
SYSTXT_FACILITY_JOBCHANGE_10160,"Fortune Teller"
SYSTXT_FACILITY_JOBCHANGE_10170,"Druid"
SYSTXT_FACILITY_JOBCHANGE_10180,"Gadabout"
SYSTXT_FACILITY_JOBCHANGE_20010,"With great power and can be relied upon\nto protect his allies both offensively\nand defensively."
SYSTXT_FACILITY_JOBCHANGE_20020,"Healing spell specialist.\nAlso good at attacking with strong weapons."
SYSTXT_FACILITY_JOBCHANGE_20030,"An attack spell specialist who annihilates\nenemies with powerful magic."
SYSTXT_FACILITY_JOBCHANGE_20040,"A strongest tension user with excellent\npower and speed."
SYSTXT_FACILITY_JOBCHANGE_20050,"A professional treasure hunter with\nstrong powers and good recovery skills."
SYSTXT_FACILITY_JOBCHANGE_20060,"A mood maker who enlivens the mood\nwith various tricks."
SYSTXT_FACILITY_JOBCHANGE_20070,"An attacker who abandons defense and attacks.\nCan also dual wield weapons."
SYSTXT_FACILITY_JOBCHANGE_20080,"A benevolent knight who uses various\nspecial skills to protect their friends."
SYSTXT_FACILITY_JOBCHANGE_20090,"A magical warrior who can use spells\nand force to strengthen allies."
SYSTXT_FACILITY_JOBCHANGE_20100,"A warrior who lives in the great outdoors,\neven with monsters."
SYSTXT_FACILITY_JOBCHANGE_20110,"A saint who trains and gains enlightenment,\ncan also use the powers of gods."
SYSTXT_FACILITY_JOBCHANGE_20120,"With her overflowing charm, both I and\nmy girlfriend are in climax fever!"
SYSTXT_FACILITY_JOBCHANGE_20130,"A supernatural person who has acquired the\nmysterious skill of fighting with monsters\nas allies."
SYSTXT_FACILITY_JOBCHANGE_20140,"Battles by drawing out the effects of tools.\nRecruits specific monsters as allies."
SYSTXT_FACILITY_JOBCHANGE_20150,"Supports allies with songs and dances.\nCan also dual wield weapons."
SYSTXT_FACILITY_JOBCHANGE_20160,"A mysterious guide of fate who fights\nusing the Monster Tarot."
SYSTXT_FACILITY_JOBCHANGE_20170,"Control nature and weather and summon\nGenma to fight together."
SYSTXT_FACILITY_JOBCHANGE_20180,"Play with all your might!\nThat's all."
