Key,SourceString
SYSTXT_FACILITY_SALON_NPC_00010,"Welcome!\n Welcome to the beauty salon - Salon Felicia♪\n How will you look today?\n<select>\nChange appearance\nStop\n<select_end><break>"
SYSTXT_FACILITY_SALON_NPC_00030,"Beauty salon - Salon Felicia is \n always waiting for you. \n Please come again ♪ \n<turn_end>"
SYSTXT_FACILITY_SALON_NPC_01010,"You want to change your appearance? \n It costs {Gold} gold, \n Is that okay? \n<yesno><break>"
SYSTXT_FACILITY_SALON_NPC_01020,"Oh? Looks like you don’t have enough money.\n<bw_break>"
SYSTXT_FACILITY_SALON_NPC_01025,"Do you want to change the style?\n<yesno_nc><break>"
SYSTXT_FACILITY_SALON_NPC_01030,"What should I do about the shape of your body?\n<select_nc>\nAdult\nChildren\n<select_end><break>"
SYSTXT_FACILITY_SALON_NPC_02010,"Then imagine your new self and choose what you want to become.\n<break>"
SYSTXT_FACILITY_SALON_NPC_02030,"Oh? Are you going to quit?\n<yesno><break>"
SYSTXT_FACILITY_SALON_NPC_02035,"You're not changing anything? Okay. \n<bw_break>"
SYSTXT_FACILITY_SALON_NPC_02040,"Oh? Now, it's the same as before! \n Can you please choose the appearance you want again? \n<bw_break>"
SYSTXT_FACILITY_SALON_NPC_03010,"Very nice. \n I'm changing it to look like this. \n Is that okay? \n<yesno><break>"
SYSTXT_FACILITY_SALON_NPC_03030,"Okay, leave it to me!\n I'll give you a nice makeover♪\n<bw_break>"
SYSTXT_FACILITY_SALON_NPC_03040,"Look! I got a perfect makeover. \n You look great♪\n<bw_break>"
SYSTXT_FACILITY_SALON_NPC_01015,"Ah, that’s a shame.\n<bw_break>"
SYSTXT_FACILITY_SALON_NPC_00035,"Ah, that’s a shame. \n The beauty salon Salon Felicia is \n always waiting for you. Please come again ♪ \n<turn_end>"
