Key,SourceString
SYSTXT_FACILITY_SUBJUGATION_NPC_01010,"Oh hello,{PC}!\nIt's good to see that you've come!\n<br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01020,"Hmm. It seems like you don't have any\nsubjugation request forms yet. Come see me again\nafter you find one.\n<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01030,"Hmm. It seems like you don't have any friends\nwith subjugation requests. Come back\nwhen you meet some people with subjugation forms.\n<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01040,"There doesn't seem to be any subjugation\nrequests underway at the moment."
SYSTXT_FACILITY_SUBJUGATION_NPC_01050,"Do you want to form a subjugation team\nto fulfill the request?"
SYSTXT_FACILITY_SUBJUGATION_NPC_01060,"Oh you don't want to after all?\nWell, let me know if you change your mind.\n<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01070,"Choose the request you want to fulfill.\n<break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01080,"Choose a friend to join the subjugation team.\n<break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01090,"That person is already part\nof the subjugation team.\n<br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01100,"Is this the team you want to use\nfor the subjugation request? sub\n<yesno><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01110,"There is still more space on the team.\nAre you sure you want to continue?\n<yesno 2><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01120,"Okay, we'll get the job done.\nCheck back in around {Subjugation_Time_Remain_Hour} hours and  {Subjugation_Time_Remain_Minute} minutes.\n<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01130,"The subjugation team has returned.\nHere is your reward.\n<br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01140,"Hmm. It looks like you can't hold any more\n{Subjugation_Reward_Name}.　Please return after you have had a chance\nto sort out your bag.\n<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01150,"Do you want to assemble a strike team\nto fulfill the subjugation request? \n<yesno><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01160,"Okay, well let me know if you change your\nmind. I look forward to seeing you again\nwhen you're ready to take on a request.\n<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01170,"It looks like the strike team is on their way\nto eliminate the threat as we speak.\n<br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01180,"They should return in around　{Subjugation_Time_Remain_Hour} hours and\n {Subjugation_Time_Remain_Minute} minutes. Check back around then.\n<br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01190,"Do you want to call off the mission\nand have the strike team return?\nYou won't receive any kind of reward.\n<yesno 2><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01200,"Okay I'll call them back.\nDo you want to assemble a team to\ntake on another subjugation request?\n<yesno><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01210,"Okay. The strike team should return in around\n{Subjugation_Time_Remain_Hour} hours and {Subjugation_Time_Remain_Minute} minutes.\n\n<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01220,"When you get another request form\nlet me know. I'd be happy to help \nyou out with your next subjugation.<end>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01230,"Hmph. Looks like you can't accept the\n{Subjugation_Reward_Name} as your reward.\n<br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01240,"Do you want to complete the request\nwithout receiving a reward?\n<yesno 2><break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01250,"You gave up the reward.\nI'll go ahead and complete the request now.\n<br_break>"
SYSTXT_FACILITY_SUBJUGATION_NPC_01260,"Please sort out your messy bag.\nUntil then, I'll hold onto your reward\nfor you.\n<end>"
