Key,SourceString
SYSTXT_FACILITY_SYNTHESIS_SYS_00010,"Accessories"
SYSTXT_FACILITY_SYNTHESIS_SYS_00020,"Base Synthesis Effect"
SYSTXT_FACILITY_SYNTHESIS_SYS_00030,"Effect of Synthesizing Materials"
SYSTXT_FACILITY_SYNTHESIS_SYS_00040,"Synthetic Effect to be Applied"
SYSTXT_FACILITY_SYNTHESIS_SYS_00050,"Effects to Pass On"
SYSTXT_FACILITY_SYNTHESIS_SYS_01010,"(add effect)"
SYSTXT_FACILITY_SYNTHESIS_SYS_01020,"(no effect added)"
SYSTXT_FACILITY_SYNTHESIS_SYS_02010,"Lore"
SYSTXT_FACILITY_SYNTHESIS_SYS_02020,"None"
SYSTXT_FACILITY_SYNTHESIS_SYS_10010,"{Effect_Selected_Name}<cf>effect was added to {Item_Selected_Name}!"
