Key,SourceString
SYSTXT_FIELD_DORAKY_00010,"The water in the small bottle has started to get cloudy."
SYSTXT_FIELD_DORAKY_00020,"The water in the small bottle has become cloudy..."
SYSTXT_FIELD_DORAKY_00030,"The water in the small bottle has become quite cloudy..."
SYSTXT_FIELD_DORAKY_00040,"The water in the small bottle seems to be cloudy."
SYSTXT_FIELD_DORAKY_10010,"A new quest has been added to the quest list!"
SYSTXT_FIELD_DORAKY_20010,"There's only a little time left for the perfume effect!"
SYSTXT_FIELD_DORAKY_20020,"There is only a little time left for the meal effect!"
SYSTXT_FIELD_DORAKY_20030,"There is only a little time left for the facility effect!"
SYSTXT_FIELD_DORAKY_30010,"Experience points have been deposited with the travel concierge."
SYSTXT_FIELD_DORAKY_30020,"Experience points have been deposited with the travel concierge."
SYSTXT_FIELD_DORAKY_30030,"Reward has been sent to travel concierge"
SYSTXT_FIELD_DORAKY_30040,"Your reward has been deposited with the travel concierge."
SYSTXT_FIELD_DORAKY_40010,"The subjugation team has returned!"
SYSTXT_FIELD_DORAKY_20040,"Bonus Time Is Over"
SYSTXT_FIELD_DORAKY_20050,"Perfume effect finished"
SYSTXT_FIELD_DORAKY_20060,"Meal effect has ended"
SYSTXT_FIELD_DORAKY_20070,"Facility effect has ended"
SYSTXT_FIELD_DORAKY_20080,"Bungee effect finished"
SYSTXT_FIELD_DORAKY_20090,"There's only a little time left for energy!"
SYSTXT_FIELD_DORAKY_20100,"There's only a little time left for the bungee effect!"
SYSTXT_FIELD_DORAKY_50010,"New location added to your Zoomstone!"
