Key,SourceString
SYSTXT_FISHING_00010,"Fishing"
SYSTXT_FISHING_00020,"Fish bag"
SYSTXT_FISHING_00030,"Fishing level"
SYSTXT_FISHING_00040,"Change fishing rods and lures"
SYSTXT_FISHING_00050,"Fish here"
SYSTXT_FISHING_00060,"Rarity"
SYSTXT_FISHING_01010,"Fishing Battle"
SYSTXT_FISHING_01020,"You can use \n more {Fish_PC_Action_Number} times during this fishing battle."
SYSTXT_FISHING_01030,"<speed=0>There are a lot of fish bags.\nAre you sure you want to fish? \n<yesno><speed=default><break>"
SYSTXT_FISHING_01040,"<speed=0>Looks like there are no fish here. \n<speed=default><end>"
SYSTXT_FISHING_01050,"Fish caught!"
SYSTXT_FISHING_01060,"Fish caught! This is a big one!"
SYSTXT_FISHING_01070,"Something caught!"
SYSTXT_FISHING_01080,"The fish escaped. \n<bw_break>"
SYSTXT_FISHING_01090,"Unable to fish the treasure chest. \n<bw_break>"
SYSTXT_FISHING_01100,"Caught {Fish_Name}! \nSize: {Fish_Size}cm\n<bw_break>"
SYSTXT_FISHING_01110,"Caught {Fish_Name}! \nSize: {Fish_Size}cm\n<color_yellow>Minimum size updated! <color_white>\n<bw_break>"
SYSTXT_FISHING_01120,"Caught {Fish_Name}! \nSize: {Fish_Size}cm\n<color_yellow>Maximum size updated! <color_white>\n<bw_break>"
SYSTXT_FISHING_01130,"Caught {Fish_Name}! \n<color_yellow>Size: {Fish_Size}cm Big size! <color_white>\n<bw_break>"
SYSTXT_FISHING_01140,"Caught {Fish_Name}! \n<color_yellow>Size: {Fish_Size}cm King size! <color_white>\n<bw_break>"
SYSTXT_FISHING_01150,"Caught {Fish_Name}! \n<color_yellow>Size: {Fish_Size}cm Big size! <color_white>\n<color_yellow>Minimum size updated! <color_white>\n<bw_break>"
SYSTXT_FISHING_01160,"Caught {Fish_Name}! \n<color_yellow>Size: {Fish_Size}cm King size! <color_white>\n<color_yellow>Minimum size updated! <color_white>\n<bw_break>"
SYSTXT_FISHING_01170,"Caught {Fish_Name}! \n<color_yellow>Size: {Fish_Size}cm Big size! <color_white>\n<color_yellow>Maximum size updated! <color_white>\n<bw_break>"
SYSTXT_FISHING_01180,"Caught {Fish_Name}! \n<color_yellow>Size: {Fish_Size}cm King size! <color_white>\n<color_yellow>Maximum size updated! <color_white>\n<bw_break>"
SYSTXT_FISHING_01190,"I caught a treasure chest! \n<br>\nThe treasure chest contained \n{Item_Name}. \n<br>\n{Character_Name} got \n{Item_Name}! \n<se system Item><bw_break>"
SYSTXT_FISHING_01191,"I caught a treasure chest! \n<br>\nThe treasure chest contained {Item_Get_Number} pieces of \n{Item_Name}. \n<br>\n{Character_Name} got {Item_Get_Number} of \n{Item_Name}! \n<se system Item><bw_break>"
SYSTXT_FISHING_01200,"{Character_Name} writes fishing experience points for \n{Fish_Exp}P! \n<se system Item><bw_break>"
SYSTXT_FISHING_01210,"<speed=0>The fish bag is too full! \n<bw_break>"
SYSTXT_FISHING_01220,"{Fish_Name} {Fish_Size}cm\nPlease switch and choose the fish you want to release."
SYSTXT_FISHING_01230,"<color_yellow>{Fish_Name} {Fish_Size}cm<color_white>\nPlease switch and choose the fish you want to release."
SYSTXT_FISHING_01240,"Do you want to release {Fish_Name}? \n<yesno><break>"
SYSTXT_FISHING_01250,"{Fish_Name} escaped!"
SYSTXT_FISHING_01260,"<speed=0>Do you want to give up the fish you caught? \n{Fish_Name} {Fish_Size}cm\n<yesno 2><break>"
SYSTXT_FISHING_01270,"<speed=0>Do you want to give up the fish you caught? \n<color_yellow>{Fish_Name} {Fish_Size}cm {Fish_Rank}<color_white>\n<yesno 2><break>"
SYSTXT_FISHING_01280,"<speed=0>{Character_Name} let \n{Fish_Name} escape. \n<bw_break>"
SYSTXT_FISHING_01290,"<speed=0>{Character_Name} put {Fish_Name} in the \nfish bag. \n<bw_break>"
SYSTXT_FISHING_01300,"<speed=0>Are you sure you want to give up? \n<yesno 2><break>"
SYSTXT_FISHING_01310,"<speed=0>\nYou can no longer use ''{Fish_PC_Action}'' during this fishing battle!"
SYSTXT_FISHING_01320,"I got deep into {Fish_Lure}! \nBite level has increased {Fish_BiteBonus}!"
SYSTXT_FISHING_01330,"{Fish_Action_Msg}\n{Fish_Action_Msg2}\n{Fish_Action_Msg3}\n<bw_break>"
SYSTXT_FISHING_01340,"{Fish_Action_Msg}\n{Fish_Action_Msg2}\n{Fish_Action_Msg3}"
SYSTXT_FISHING_01350,"I caught {Fish_Distance} meters!"
SYSTXT_FISHING_01360,"{Fish_Distance} meters away!"
SYSTXT_FISHING_01370,"A heartwarming response!"
SYSTXT_FISHING_01380,"Bite level increased by {Fish_Bite}!"
SYSTXT_FISHING_01390,"Biteness has decreased by {Fish_Bite}!"
SYSTXT_FISHING_01400,"However, the bite level did not increase."
SYSTXT_FISHING_01410,"However, since I had loosened the rod, the \nstickiness did not decrease!"
SYSTXT_FISHING_01420,"<speed=0>The fish at this fishing spot seem to be a bit tough. \nDo you want to start fishing here? \n<select_se_off>\nYes\nNo\nSobi\n<select_end><break>"
SYSTXT_FISHING_01430,"<speed=0>The fish in this fishing spot look tough. \nDo you want to start fishing here? \n<select_se_off>\nYes\nNo\nSobi\n<select_end><break>"
SYSTXT_FISHING_01440,"<speed=0>The fish at this fishing spot seem to be quite tough. \nDo you want to start fishing here? \n<select_se_off>\nYes\nNo\nSobi\n<select_end><break>"
SYSTXT_FISHING_01450,"The fish has shaken off the darkness!"
SYSTXT_FISHING_01460,"{Character_Name} has stopped fishing."
SYSTXT_FISHING_01470,"Big size"
SYSTXT_FISHING_01480,"King size"
