Key,SourceString
SYSTXT_GameOption_00010,"System Settings"
SYSTXT_GameOption_00020,"System Settings Display Area"
SYSTXT_GameOption_00030,"Description display area"
SYSTXT_GameOption_00040,"Camera Control Settings"
SYSTXT_GameOption_00050,"Screen brightness setting"
SYSTXT_GameOption_00060,"Sound Settings"
SYSTXT_GameOption_00070,"Phonetic settings"
SYSTXT_GameOption_00080,"Receive gifts"
SYSTXT_GameOption_00090,"Key Config"
SYSTXT_GameOption_00100,"Language Settings"
SYSTXT_GameOption_00110,"Screen Display Settings"
SYSTXT_GameOption_00120,"Skip movement effect setting"
SYSTXT_GameOption_00130,"Dollarboard Form Settings"
SYSTXT_GameOption_00140,"Autosave Settings"
SYSTXT_GameOption_00141,"Enter button settings"
SYSTXT_GameOption_00142,"Keyboard Settings"
SYSTXT_GameOption_00143,"Display Settings"
SYSTXT_GameOption_00144,"Graphic Settings"
SYSTXT_GameOption_00145,"Short Play Settings"
SYSTXT_GameOption_00150,"Set the \n operation method for the camera"
SYSTXT_GameOption_00160,"Set screen \n brightness to \n"
SYSTXT_GameOption_00170,"Configure \n settings related to \n sound such as voice"
SYSTXT_GameOption_00180,"Set \n phonetic display for messages"
SYSTXT_GameOption_00190,""
SYSTXT_GameOption_00200,"Set \n key configuration"
SYSTXT_GameOption_00210,"Set language \n"
SYSTXT_GameOption_00220,"Configure \n settings for maps and guides"
SYSTXT_GameOption_00230,"Set \n whether to \n play movement effects"
SYSTXT_GameOption_00240,"Set the \n form of the dollar board to \n"
SYSTXT_GameOption_00250,"Set autosave \n"
SYSTXT_GameOption_00260,"-"
SYSTXT_GameOption_00270,"-"
SYSTXT_GameOption_00280,"-"
SYSTXT_GameOption_00290,"-"
SYSTXT_GameOption_00300,"-"
SYSTXT_GameOption_00310,"-"
SYSTXT_GameOption_00320,"Configure \n display \n settings such as resolution"
SYSTXT_GameOption_00330,"Settings \n related to graphics"
SYSTXT_GameOption_00340,"Configure system settings. \nThese settings can be changed at any time during the \nadventure from the Operation Menu."
SYSTXT_GameOption_10010,"Camera Control Settings"
SYSTXT_GameOption_10020,"-"
SYSTXT_GameOption_10030,"-"
SYSTXT_GameOption_10040,"-"
SYSTXT_GameOption_10050,"-"
SYSTXT_GameOption_10060,"Vertical move"
SYSTXT_GameOption_10070,"Move sideways"
SYSTXT_GameOption_10080,"Camera Speed"
SYSTXT_GameOption_10090,"Wide Area"
SYSTXT_GameOption_10100,"Narrow place"
SYSTXT_GameOption_10110,"Auto move"
SYSTXT_GameOption_10120,"-"
SYSTXT_GameOption_10130,"Normal"
SYSTXT_GameOption_10140,"Reverse"
SYSTXT_GameOption_10150,"Slow"
SYSTXT_GameOption_10160,"1"
SYSTXT_GameOption_10170,"2"
SYSTXT_GameOption_10180,"3"
SYSTXT_GameOption_10190,"4"
SYSTXT_GameOption_10200,"5"
SYSTXT_GameOption_10210,"6"
SYSTXT_GameOption_10220,"7"
