Key,SourceString
NAME_EMOTE_NO_ABAKAMU,"Prayer of liberation"
NAME_EMOTE_NO_AMAZE,"Amazed"
NAME_EMOTE_NO_ANGRY,"Angry"
NAME_EMOTE_NO_APOLOGIZE,"Apologize"
NAME_EMOTE_NO_APPEAL,"Appeal"
NAME_EMOTE_NO_ATTACK_AXE,"Attack (axe)"
NAME_EMOTE_NO_ATTACK_BOO,"Attack (Boomerang)"
NAME_EMOTE_NO_ATTACK_BOW,"Attack (Bow)"
NAME_EMOTE_NO_ATTACK_CLW,"Attack (claw)"
NAME_EMOTE_NO_ATTACK_DGR,"Attack (dagger)"
NAME_EMOTE_NO_ATTACK_DUA,"Attack (DUA)"
NAME_EMOTE_NO_ATTACK_DWS,"Attack (DWS)"
NAME_EMOTE_NO_ATTACK_FAN,"Attack (fan)"
NAME_EMOTE_NO_ATTACK_HMR,"Attack (Hammer)"
NAME_EMOTE_NO_ATTACK_NOT,"Attack (unarmed)"
NAME_EMOTE_NO_ATTACK_POL,"Attack (Kun)"
NAME_EMOTE_NO_ATTACK_ROD,"Attack (Rod)"
NAME_EMOTE_NO_ATTACK_SPR,"Attack (spear)"
NAME_EMOTE_NO_ATTACK_STK,"Attack (Stick)"
NAME_EMOTE_NO_ATTACK_SWD,"Attack (one handed sword)"
NAME_EMOTE_NO_ATTACK_TSW,"Attack (two-handed sword)"
NAME_EMOTE_NO_ATTACK_WHP,"Attack (whip)"
NAME_EMOTE_NO_BANTER,"Banter"
NAME_EMOTE_NO_BATTLE_POSE,"Battle pose"
NAME_EMOTE_NO_BEAUTIFUL_DANCE,"Happy dance"
NAME_EMOTE_NO_BELLY_DANCE,"Belly Dance"
NAME_EMOTE_NO_BITTER_SMILE,"Shrug"
NAME_EMOTE_NO_BLUSH,"Blush"
NAME_EMOTE_NO_BOKE,"Story Ultimate Spell"
NAME_EMOTE_NO_BOW,"Bow"
NAME_EMOTE_NO_CALL,"Call"
NAME_EMOTE_NO_CARDS,"Draw cards"
NAME_EMOTE_NO_CLAP,"Clap"
NAME_EMOTE_NO_COIN,"Coin toss"
NAME_EMOTE_NO_CONFUSE,"Confused"
NAME_EMOTE_NO_CRY,"Cry"
NAME_EMOTE_NO_CYCLONE_DANCE,"Cyclone Dance"
NAME_EMOTE_NO_DAIKON,"Story Daikon"
NAME_EMOTE_NO_DANCER,"Lovely Dance"
NAME_EMOTE_NO_DEPRESSED,"Depressed"
NAME_EMOTE_NO_DICE,"Dice"
NAME_EMOTE_NO_DOGEZA,"Dogeza"
NAME_EMOTE_NO_DRAGON,"Dragon style prayer"
NAME_EMOTE_NO_EAT1,"Eat(1)"
NAME_EMOTE_NO_EAT2,"Eat(2)"
