Key,SourceString
SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00010,"If you need a hint on how to advance the\nstory, talk to a character with a pink speech\nbubble <emoji Fukidashi_Icon> over their head."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00020,"If you forget what was going on\nin the story, take a look in Records > The Story So Far."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00030,"Weapons and armor you obtain won't do\nyou any good just sitting in your bag.\nPut them to use with the 'Equip' command."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00040,"When you want to take a break from your\nadventure, go to a church and record\nyour progress in the adventure log."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00050,"If you are wiped out you will lose half\nof your gold and return to your set\nrespawn location. Any gold in storage\nwon't be lost, however."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00060,"Characters with purple speech bubbles <emoji Question_Icon>\nare people who need help with something.\nTalk to them to discover new quests."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00070,"Characters with purple speech bubbles <emoji Question_Icon>\nare people who need help with something.\nTalk to them to discover new quests."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00080,"Characters with purple speech bubbles <emoji Question_Icon>\nare people who need help with something.\nTalk to them to discover new quests."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00090,"Characters with purple speech bubbles <emoji Question_Icon>\nare people who need help with something.\nTalk to them to discover new quests."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00100,"Characters with purple speech bubbles <emoji Question_Icon>\nare people who need help with something.\nTalk to them to discover new quests."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00110,"When you arrive at a new town, your\nZoomstone will automatically record its\nlocation. Dungeon and field locations,\nhowever, must be recorded by touching a\nZoomstone crystal."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00120,"When you arrive at a new town, your\nZoomstone will automatically record its\nlocation. Dungeon and field locations,\nhowever, must be recorded by touching a\nZoomstone crystal."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00130,"When you arrive at a new town, your\nZoomstone will automatically record its\nlocation. Dungeon and field locations,\nhowever, must be recorded by touching a\nZoomstone crystal."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00140,"When you arrive at a new town, your\nZoomstone will automatically record its\nlocation. Dungeon and field locations,\nhowever, must be recorded by touching a\nZoomstone crystal."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00150,"When you arrive at a new town, your\nZoomstone will automatically record its\nlocation. Dungeon and field locations,\nhowever, must be recorded by touching a\nZoomstone crystal."

SYSTXT_TIPS_MESSAGE_BOUKENSYANOKISOTISIKI_00160,"Fences are used to keep monsters at bay.\nIf you find a fence outside of town,\nthere may be powerful monsters lurking\non the other side.\nBe careful!"

