Key,SourceString
SYSTXT_MOVE_TRAIN_SYS_00010,"Destinations"
SYSTXT_MOVE_TRAIN_SYS_10010,"Glen Castle Station"
SYSTXT_MOVE_TRAIN_SYS_10020,"Gartlant Castle Station"
SYSTXT_MOVE_TRAIN_SYS_10030,"Julet Station"
SYSTXT_MOVE_TRAIN_SYS_10040,"Verinard Castle Station"
SYSTXT_MOVE_TRAIN_SYS_10050,"Azlan Station"
SYSTXT_MOVE_TRAIN_SYS_10060,"Kamiharumui Station"
SYSTXT_MOVE_TRAIN_SYS_10070,"Gatara Station"
SYSTXT_MOVE_TRAIN_SYS_10080,"Dolworm Station"
SYSTXT_MOVE_TRAIN_SYS_10090,"Orphea Station"
SYSTXT_MOVE_TRAIN_SYS_10100,"Megistris Station"
SYSTXT_MOVE_TRAIN_SYS_10110,"Lendor Station"
SYSTXT_MOVE_TRAIN_SYS_10120,"Luckland Island Station"
SYSTXT_MOVE_TRAIN_SYS_10130,"????"
