Key,SourceString
NAME_NPC_00001,"Sage Eidos"
NAME_NPC_00002,"King Bagudo"
NAME_NPC_00003,"Minister Chigri"
NAME_NPC_00004,"Captain Jidan"
NAME_NPC_00005,"Zanboa"
NAME_NPC_00006,"Jagiro"
NAME_NPC_00007,"Ejis"
NAME_NPC_00008,"Imari"
NAME_NPC_00009,"Hetchaffe"
NAME_NPC_00010,"Shuron"
NAME_NPC_00011,"Tamiru"
NAME_NPC_00012,"Helgora"
NAME_NPC_00013,"Bam"
NAME_NPC_00014,"Dainas"
NAME_NPC_00015,"Saria"
NAME_NPC_00016,"Yojiiro"
NAME_NPC_00017,"Peda"
NAME_NPC_00018,"Weapon Shop Shuri"
NAME_NPC_00019,"Armor Shop Gyanpa"
NAME_NPC_00020,"Gidan"
NAME_NPC_00021,"Ragatt"
NAME_NPC_00022,"Gord"
NAME_NPC_00023,"Gale"
NAME_NPC_00024,"Muro"
NAME_NPC_00025,"Kaku"
NAME_NPC_00026,"Karalin"
NAME_NPC_00027,"Korori"
NAME_NPC_00028,"Father Pokoa"
NAME_NPC_00029,"Innkeep Pippi"
NAME_NPC_00030,"Item Shop Poropen"
NAME_NPC_00031,"Bank Clerk Paruse"
NAME_NPC_00032,"Miona"
NAME_NPC_00033,"Sierra"
NAME_NPC_00034,"Professor Hajika"
NAME_NPC_00035,"Kohaku"
NAME_NPC_00036,"Don Papacho"
NAME_NPC_00037,"Gorbo"
NAME_NPC_00038,"Kyoro"
NAME_NPC_00039,"Bigol"
NAME_NPC_00040,"Innkeep Zaran"
NAME_NPC_00041,"Father Dazubo"
NAME_NPC_00042,"Postman Bosta"
NAME_NPC_00043,"Banker Clove"
NAME_NPC_00044,"Item Shop Getta"
NAME_NPC_00045,"Weapon Shop Sorori"
NAME_NPC_00046,"Armor Shop Tarari"
NAME_NPC_00047,"Trader Ijius"
NAME_NPC_00048,"Minister Cottle"
NAME_NPC_00049,"Nikoroi"
NAME_NPC_00050,"Material Shop Shitori"
NAME_NPC_00051,"Volga"
NAME_NPC_00052,"Atoto"
NAME_NPC_00053,"Trader Alhan"
NAME_NPC_00054,"Instructor Ranbaba"
NAME_NPC_00055,"Laveza"
NAME_NPC_00056,"Rigoras"
NAME_NPC_00057,"Nidolf"
NAME_NPC_00058,"Weapon Shop Zykes"
NAME_NPC_00059,"Armor Shop Doronga"
NAME_NPC_00060,"Guildmaster Rasedo"
NAME_NPC_00061,"Zim"
NAME_NPC_00062,"Bartle"
NAME_NPC_00063,"Kihada"
NAME_NPC_00064,"Shannan"
NAME_NPC_00065,"Zach"
NAME_NPC_00066,"Trader Sokura"
NAME_NPC_00067,"Material Shop Reverie"
NAME_NPC_00068,"Trader Kunya"
NAME_NPC_00069,"Introducer Torin"
