Key,SourceString
PT_TALK_TXT_3_10_2_1,"This is the Windy City Azlan, huh. It's definitely\npretty windy."
PT_TALK_TXT_3_10_4_1,"It's a small town, isn't it?\nI don't think there's much to be expected from\nsuch junk..."
PT_TALK_TXT_3_20_2_1,"Successors and the like seem like a bothersome issue;\nnone of my business, y'know... {pc}, I'll\nleave that to you."
PT_TALK_TXT_3_20_4_1,"That young lady couldn't pass the exam\nShe's quite a talent!"
PT_TALK_TXT_3_30_2_1,"Fuura... Maybe she's lonely like Somya."
PT_TALK_TXT_3_30_4_1,"That young lady hit eight points and dropped a doll.\nThere's still hope!"
PT_TALK_TXT_3_40_2_1,"Hmph. Babysitting another brat... But I'm glad she\nsomehow has the guts to do things herself."
PT_TALK_TXT_3_40_4_1,"Oh my.\nI was thinking of giving you Junkie No. 3, but\nI was so disappointed!"
PT_TALK_TXT_3_40_isJoined_2_1,"...Can't be helped. Let me lend a hand. Oi, Fuura!\nDon't get too far away my side!"
PT_TALK_TXT_3_40_isJoined_2_2,"Y-yes! Uuugh... Big brother is kind of scary..."
PT_TALK_TXT_3_40_isJoined_3_1,"I have to do it! I have to finish this!"
PT_TALK_TXT_3_40_isJoined_4_1,"Now, I wonder what\nwill be in this tower?\nI'm looking forward to it!!"
PT_TALK_TXT_3_45_2_1,"Hmm. That Fuura girl looks like she's gotten more\nconfidence."
PT_TALK_TXT_3_45_4_1,"That mountain checkpoint\nwas small and seemed useless, but\nit was quite nice!"
PT_TALK_TXT_3_50_2_1,"That Fuura girl has some guts!"
PT_TALK_TXT_3_50_2_2,"U-um! Thank you, Hyuza!"
PT_TALK_TXT_3_50_3_1,"I did it, Mother..."
PT_TALK_TXT_3_50_3_2,"Thank you, Azlantelopes..."
PT_TALK_TXT_3_50_4_1,"It's not my preference, but\nthat monster seems to have his own\nstyle."
PT_TALK_TXT_3_60_2_1,"...You have to do it, don't you, Fuura. But this\njourney will be dangerous, you know?"
PT_TALK_TXT_3_60_2_2,"...I'm still a little scared, but it's okay! I want to\nprotect them. This town and the world!"
PT_TALK_TXT_3_60_3_1,"Thank you for your continued support!\nI will do my best!"
PT_TALK_TXT_3_60_4_1,"Once this is all over, I'd like to have a long talk\nwith that monster about what hobbies they got."
PT_TALK_TXT_3_100_1_1,"Is this Fuura's hometown?\nThe wind feels nice."
PT_TALK_TXT_3_100_1_2_1,"Wow, the wind is strong.\nIt's a pretty pleasant town, isn't it?"
PT_TALK_TXT_3_100_1_4_1,"It's a small town, isn't it?\nI don't think we'd expect to find a lot of junk there..."
PT_TALK_TXT_3_100_2_2_1,"The wind is still blowing in this town."
PT_TALK_TXT_3_100_2_4_1,"I wonder what the monster is doing these days...I want to talk to him once and for all!"
PT_TALK_TXT_3_100_3_1,"Yeah! The wind isn't stagnant!\nLooks like it'll be okay even if we don't go back yet!"
PT_TALK_TXT_3_100_5_1,"Is this the town of wind?\nFuura's wind ceremony...\nI wanted to see it too."
PT_TALK_TXT_3_100_6_1,""
PT_TALK_TXT_3_100_apndex_1_1,""
PT_TALK_TXT_3_100_apndex_2_1,""
PT_TALK_TXT_3_100_apndex_3_1,""
PT_TALK_TXT_3_100_apndex_4_1,""
PT_TALK_TXT_3_100_apndex_5_1,""
PT_TALK_TXT_3_100_apndex_6_1,""
PT_TALK_TXT_4_10_1_1,"Beautiful town... It's so different from our Ogre\ntowns, isn't it."
PT_TALK_TXT_4_10_2_1,"...This is Royal City Kamiharmui, huh. Peaceful\nplace, isn't it."
PT_TALK_TXT_4_10_3_1,"This is Royal City Kamiharmui! It feels bigger than\nAzlan."
PT_TALK_TXT_4_10_4_1,"In other countries, ya don't see many buildin's like\nthese, do ya? I'm hopin' it has some different junk!"
PT_TALK_TXT_4_10_5_1,"Viewing the cherry blossoms planted in the city puts\none's mind at ease, does it not."
PT_TALK_TXT_4_20_1_1,"A royal curse? Wouldn't it be careless of the King\nto go to such a terrifying place on his own."
PT_TALK_TXT_4_20_2_1,"...Hmm. An abandoned castle, huh? There's definitely\nsome history there, isn't there."
PT_TALK_TXT_4_20_3_1,"That one from a little earlier, umm, Kyusuke?\n<br>\nJust when I thought I'd seen the last of him, after\nhe finally graduated the Garden of Learning, he just\nhad to be working here..."
PT_TALK_TXT_4_20_4_1,"Hoho! An abandoned castle! *This guy* has high hopes!"
PT_TALK_TXT_4_20_5_1,"An incident in which the royal family died in a\ndisturbing manner... A sacred place that lost its\npower..."
PT_TALK_TXT_4_20_5_2,"Why do you think Master Nikolai is going to such a\ndangerous place now, after 50 years?"
PT_TALK_TXT_4_23_1_1,"Those kids... They didn't give off an impression of\nevil, but..."
PT_TALK_TXT_4_23_2_1,"...What were those just now? Ghosts?"
PT_TALK_TXT_4_23_3_1,"......"
PT_TALK_TXT_4_23_3_2,"Oi, Fuura! You look pale! Are you alright!?"
