Key,SourceString
SYSTEXT_QUESTLIST_NAME_AQ_001_1_000,"Something seems to be happening in the village of Tsuskul.\nLet's go to her elf boys, Shishinota and Konota, in the dining room of the Garden of Learning."
SYSTEXT_QUESTLIST_NAME_AQ_001_1_005,"In the village of Tsuskuru, please ask Himea's servant Yonja to\nprepare the immortal's elixir to save Himea who has fallen ill!\nIt seems that the recipe is written in a book on medicine kept at the Shrine of Wisdom in the West."
SYSTEXT_QUESTLIST_NAME_AQ_001_1_010,"In the village of Tsuskuru, please ask Himea's servant Yonja to\nprepare the immortal's elixir to save Himea who is sick!\nIt seems that the recipe is written in a book on medicine kept at the Shrine of Wisdom in the West."
SYSTEXT_QUESTLIST_NAME_AQ_001_1_015,"In the village of Tsuskuru, ask Himea's servant Yonja to\nPrepare the immortal's elixir to save Himea who is sick!\nIt seems that the recipe is written in a book on medicine kept at the Shrine of Wisdom in the West."
SYSTEXT_QUESTLIST_NAME_AQ_001_1_023,"In the village of Tsuskuru, please make the\nSage's elixir for Himea's servant Yonja! Apparently, the material is the fossilized worm that\n<%sEV_QUE_NAME0> in Kirika Plains has.\nOnce he has it, he will give it to his girlfriend Akashi in the boarding house in Tskuru Village."
SYSTEXT_QUESTLIST_NAME_AQ_001_1_026,"In the village of Tsuskuru, please make the sage's elixir for Himea's servant Yonja!\nwas asked. He obtained a fossil of a worm as a material and asked Akashi to mix the hermit's elixir.\nLet's take it to Youngja."
SYSTEXT_QUESTLIST_NAME_AQ_001_1_030,"At Yonja's request in the village of Tsuskuru, I prepared the\nSage's Elixir with Akashi.\nAt that time, he found a mysterious book at the Shrine of Wisdom and decided to read it in Akashi's room."
SYSTEXT_QUESTLIST_NAME_AQ_001_1_200,"In the village of Tsuskuru, Yonja asked me to prepare the immortal's elixir with\nAkashi.\nAt that time, I found a mysterious book at the Shrine of Wisdom that described the existence of an unknown room during the Age of the Gods."
SYSTEXT_QUESTLIST_NAME_AQ_001_2_000,"Shishinota seems to be waiting for you at the dining room in the learning garden of Tsuskuru Village."
SYSTEXT_QUESTLIST_NAME_AQ_001_2_005,"Let's look for Shishinota in the learning garden of Tsuskuru Village\nMysterious Room, Age of the Gods Room!\ninvited me."
SYSTEXT_QUESTLIST_NAME_AQ_001_2_010,"Let's look for Shishinota in the learning garden of Tsuskuru Village\nMysterious Room, Age of Gods Room! I was invited.\nWakaba's expedition team was formed and she was immediately ordered to interview them."
SYSTEXT_QUESTLIST_NAME_AQ_001_2_020,"Let's look for Shishinota in the learning garden of Tsuskuru Village\nMysterious Room, Age of Gods Room! I was invited.\nAt Akashi's suggestion, she decided to visit the Dong family, a family of architects living in the Dolworm Kingdom."
SYSTEXT_QUESTLIST_NAME_AQ_001_2_030,"Let's go look for Shishinota in the mysterious room of the Age of Gods in Tsuskuru Village!\ninvited me. A visit to the architect of Dolworm reveals that the Sakura Room in the staff quarters is the entrance to an underground labyrinth that leads to the Age of Gods Room. Let's return to the Garden of Learning and report to her, Shishinota."
SYSTEXT_QUESTLIST_NAME_AQ_001_2_200,"Let's look for the mysterious room\nAge of the Gods in Shishinota in the village of Tsuskuru! I was invited.\nA visit to the architect of Dolworm reveals that the Sakura Room in the staff quarters is the entrance to an underground labyrinth that leads to\nThe Age of Gods Room."
SYSTEXT_QUESTLIST_NAME_AQ_001_3_000,"Shishinota seems to be waiting for you at the dining room in the learning garden of Tsukuru Village."
SYSTEXT_QUESTLIST_NAME_AQ_001_3_005,"In the learning garden of Tsuskuru village, ask Shishinota, the leader of Wakaba's expedition,\nLet's go underground exploring the mysterious room, the Age of Gods! I was invited.\nFirst of all, it seems like we're heading for the Sakura Room, which is the entrance to the underground labyrinth."
SYSTEXT_QUESTLIST_NAME_AQ_001_3_010,"In the learning garden of Tsuskuru village, ask Shishinota, the leader of Wakaba's expedition team, to\nLet's go underground exploring the Age of Gods! I was invited.\nLet's head to the Sakura Room in the staff dormitory."
SYSTEXT_QUESTLIST_NAME_AQ_001_3_015,"In the learning garden of Tsuskuru village, ask Shishinota, the leader of the Wakaba expedition team,\nLet's go underground exploring the Age of Gods! I was invited.\nLet's head to the Sakura Room in the staff dormitory."
SYSTEXT_QUESTLIST_NAME_AQ_001_3_020,"A ladder leading to the\nunderground labyrinth was found in the Cherry Blossom Room, a room in the staff quarters in the Garden of Learning.\nMy girlfriend, Hajika-sensei, will also join us in the underground exploration as a guide for everyone."
SYSTEXT_QUESTLIST_NAME_AQ_001_3_200,"When we finally arrived at the Age of Gods room in the village of Tsuskuru, it became clear that\nMr. Hajika was aiming for the forbidden technique of eternal youth.\nThe shrine maiden Himea chased the beast that had escaped from the Age of Gods."
SYSTEXT_QUESTLIST_NAME_AQ_001_4_000,"It seems that Akashi is waiting for you at the dormitory in the learning garden of Tsukuru Village."
SYSTEXT_QUESTLIST_NAME_AQ_001_4_005,"Let's find Akashi\nShrine Maiden Himea in the learning garden of Tsuskuru Village! I was told.\nIt seems that Himea chased a mysterious beast that had escaped from the Age of Gods."
SYSTEXT_QUESTLIST_NAME_AQ_001_4_010,"Let's find Akashi\nShrine Maiden Himea in the learning garden of Tsuskuru Village! I was told.\nIf she goes to her mansion in Himea, she might be able to get some clues."
