Key,SourceString
SYSTEXT_QUESTLIST_SERIES_AQ_001,"Distant Vow"
SYSTEXT_QUESTLIST_SERIES_AQ_002,"Dolls' Ragnarok"
SYSTEXT_QUESTLIST_SERIES_AQ_003,"Dark Tree's Guardian"
SYSTEXT_QUESTLIST_SERIES_AQ_004,"Girl Detective Rubecca"
SYSTEXT_QUESTLIST_SERIES_AQ_005,"I Want To Forgive Meow"
SYSTEXT_QUESTLIST_SERIES_AQ_006,"To Whom It May Concern"
SYSTEXT_QUESTLIST_SERIES_AQ_007,"Laugh Festival!"
SYSTEXT_QUESTLIST_SERIES_AQ_008,"Joyful Orphea Children"
SYSTEXT_QUESTLIST_SERIES_AQ_009,"Darkness Hidden In Glory"
SYSTEXT_QUESTLIST_SERIES_AQ_010,"Champion Of Rangao Village"
SYSTEXT_QUESTLIST_SERIES_AQ_011,"Sexy Swordsman's Sorrow"
SYSTEXT_QUESTLIST_SERIES_AQ_012,"Gazbalan's Fang"
SYSTEXT_QUESTLIST_SERIES_AQ_013,"Sage's Staff Speaks"
SYSTEXT_QUESTLIST_SERIES_AQ_014,"Time To Move"
SYSTEXT_QUESTLIST_SERIES_AQ_015,"Orphan's Skyview"
SYSTEXT_QUESTLIST_SERIES_AQ_016,"Hero & Witch Finale"
SYSTEXT_QUESTLIST_SERIES_AQ_017,"Soul Strumming Sound"
SYSTEXT_QUESTLIST_SERIES_AQ_018,"Desert Thirst Quencher"
SYSTEXT_QUESTLIST_SERIES_AQ_019,"Kingdom Revival"
SYSTEXT_QUESTLIST_SERIES_JQ_001,"Warriors' Gate"
SYSTEXT_QUESTLIST_SERIES_JQ_002,"High Priest's Pick"
SYSTEXT_QUESTLIST_SERIES_JQ_003,"I Want To Meet A Mage"
SYSTEXT_QUESTLIST_SERIES_JQ_004,"Mighty Martial Artist's Footsteps"
SYSTEXT_QUESTLIST_SERIES_JQ_005,"Thief King's Pride"
SYSTEXT_QUESTLIST_SERIES_JQ_006,"Way Of The Legendary Minstrel"
SYSTEXT_QUESTLIST_SERIES_JQ_007,"Mask Of The Battle Master"
SYSTEXT_QUESTLIST_SERIES_JQ_008,"A True Paladin Is..."
SYSTEXT_QUESTLIST_SERIES_JQ_009,"Grand Armamentalists' Group"
SYSTEXT_QUESTLIST_SERIES_JQ_010,"Grand Forest Rangers"
SYSTEXT_QUESTLIST_SERIES_JQ_011,"Sage & Fool"
SYSTEXT_QUESTLIST_SERIES_JQ_012,"World's Greatest Superstar"
SYSTEXT_QUESTLIST_SERIES_JQ_013,"Monster Master Proof"
SYSTEXT_QUESTLIST_SERIES_JQ_014,"Road Of The Item Master"
SYSTEXT_QUESTLIST_SERIES_JQ_015,"Legendary Dancer's Revival"
SYSTEXT_QUESTLIST_SERIES_JQ_016,"Dreaming Fortune-Tellers"
SYSTEXT_QUESTLIST_SERIES_JQ_017,"Way Of The Druid"
SYSTEXT_QUESTLIST_SERIES_JQ_018,"Gadabout's Life's Work"
SYSTEXT_QUESTLIST_SERIES_KQ_001,"Love & Trust Depository"
SYSTEXT_QUESTLIST_SERIES_KQ_002,"Rumored Item Bag Workshop"
SYSTEXT_QUESTLIST_SERIES_KQ_008,"Teach! Miracle Sorting Technique"
SYSTEXT_QUESTLIST_SERIES_KQ_020,"Keymasters' Challenges"
SYSTEXT_QUESTLIST_SERIES_KQ_025,"Dolboard's Whisper"
SYSTEXT_QUESTLIST_SERIES_KQ_028,"Lucky Salon"
SYSTEXT_QUESTLIST_SERIES_KQ_111,"Teacher Of All Things"
SYSTEXT_QUESTLIST_SERIES_KQ_112,"Faraway Fishing Path"
SYSTEXT_QUESTLIST_SERIES_KQ_138,"A Special Stone For You"
SYSTEXT_QUESTLIST_SERIES_KQ_161,"Druid's Ascension"
SYSTEXT_QUESTLIST_SERIES_MQ_001,"Tale Of A Hero & A Girl"
SYSTEXT_QUESTLIST_SERIES_MQ_002,"Life & Death Overlap"
SYSTEXT_QUESTLIST_SERIES_MQ_003,"Dawn Of Arahaghiro"
SYSTEXT_QUESTLIST_SERIES_MQ_012,"Career Change & Calling"
SYSTEXT_QUESTLIST_SERIES_MQ_025,"Reunion Across Time"
