Key,SourceString
SYSTEXT_GetItemText_Comp_AQ_001_1_15,"<%sEV_QUE_NAME0> dropped a\nworm fossil.\n<auto_br=5000>\n{pc} obtained an important worm fossil! <se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_002_4_14,"{Deadmons_Target} dropped the\nKey of Nibelheim.\n<auto_br=5000>\n{pc} obtained the key to Nibelheim! <se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_004_1_10,"<%sEV_QUE_NAME0> dropped\na stack of papers.\n<br>\n{pc} obtained the\nOld Village Census (Key Item)!<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_004_4_30,"The <%sEV_QUE_NAME0> dropped a keyring.\n<br>\n{pc} obtained the\nPriest's Keyring (Key Item)!<se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_005_2_10,"<%sEV_QUE_NAME0> dropped the\nNekomamma fruit.\n<auto_br=5000>\n{pc} obtained the\nNekomamma no Mi (Key Item)! <se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_006_1_10,"<%sEV_QUE_NAME0> dropped\nNagomi Oil.\n<auto_br=5000>\n{pc} obtained the\nNagomi Oil (Key Item)! <se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_007_2_10,"<%sEV_QUE_NAME0> dropped\nsticky extract.\n<auto_br=5000>\n{pc} has recovered the\nsticky extract (Key Item)! <se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_007_3_10,"<%sEV_QUE_NAME0> dropped the\nGolden Goddess Statue.\n<auto_br=5000>\n{pc} has recovered the\nGolden Goddess Statue (Key Item)! <se_nots System Item>\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Comp_AQ_007_4_11,"Defeated {SucceedNum_Now} <%sEV_QUE_NAME0>!\nNow I have killed <%nEV_QUE_T_NUM0>!\n<auto_bw=5000><close>"
SYSTEXT_GetItemText_Mid_AQ_007_4_11,"<%sEV_QUE_NAME0>Suppressed {SucceedNum}th animal!\n{SucceedNum_remain} animals remaining\n<auto_bw=5000><close>"
