Key,SourceString
SYSTXT_QUEST_00010,"Reward"
SYSTXT_QUEST_00030,"Other"
SYSTXT_QUEST_00040,"See destination"
SYSTXT_QUEST_00050,"Cancel quest"
SYSTXT_QUEST_01010,"You have not completed this quest yet.\nAre you sure you want to cancel?\n<yesno2><break>"
SYSTXT_QUEST_01020,"If you cancel, you will have to start over from\nthe beginning. Are you sure?\n<yesno2><break>"
SYSTXT_QUEST_01030,"Quest '{Quest_Name_Selected}'\ncancelled."
SYSTXT_QUEST_01040,"You cannot display the destination for this quest\nat this time."
SYSTXT_QUEST_01050,"You have been asked to complete a quest.\nDo you accept?\n<yesno><break>"
SYSTXT_QUEST_01060,"Quest '{Quest_Name_Selected}'\naccepted."
SYSTXT_QUEST_01070,"This quest cannot be canceled."
SYSTXT_QUEST_01080,"This quest cannot be canceled here."
SYSTXT_QUEST_02010,"Quest '{Quest_Name_Selected}'\ncleared!"
SYSTXT_QUEST_03010,"Do you want to\npass {ItemName} to {NpcName}?\n<yesno><close>"
SYSTXT_QUEST_03020,"Which one would you like to give?\n<break>"
SYSTXT_QUEST_03030,"Do you want to give this {ItemName}?\n<yesno><close>"
SYSTXT_QUEST_03040,"It is equipped; are you sure you want to give it?\n<yesno 2><close>"
SYSTXT_QUEST_03050,"{PlayerName} {NpcName} the {ItemName}!\n<end>"
SYSTXT_QUEST_03060,"The item is colored.\nAre you sure you want to give it to me?\n<yesno2><break>"
SYSTXT_QUEST_03070,"The item is used in a Glamour set.\n<br>\nTo re-register, you'll need to obtain it again. Is it okay if you give it to me?\n*Your registered Glamour will not be deleted.\n<yesno2><break>"
SYSTXT_QUEST_03080,"Colored equipment"
SYSTXT_QUEST_04010,"You attempted to receive the reward\n{Item_Name}.\nBut your bag is full.\n<br>\nWould you like to throw away\nother items to receive the reward?\n<yesno><break>"
SYSTXT_QUEST_04020,"You attempted to receive the reward\n{Item_Name}.\nBut your bag is full.\n<br>\nWould you like to throw away\nother items to receive the reward?\n<yesno><break>"
SYSTXT_QUEST_04030,"Do you want to stop\nselecting items to discard?\n<yesno2><break>"
SYSTXT_QUEST_04040,"Are you sure you want to\nthrow away {Item_Get_Number} {Item_Name} pieces?\n<yesno2><break>"
SYSTXT_QUEST_04050,"{Item_Name} is very valuable, but\nare you sure you want to throw it away?\n<yesno2><break>"
SYSTXT_QUEST_04060,"Are you sure you want to\nthrow away {Item_Get_Number} {Item_Name} pieces?\n<yesno><break>"
SYSTXT_QUEST_04070,"{Item_Get_Number} {Item_Name} items were discarded."
