Key,SourceString
SYSTXT_SHOP_DOUGU_NPC_01010,"Welcome to the {Shop_Type}.\n<select>\nBuy\nSell\nLeave\n<select_end><break>"
SYSTXT_SHOP_DOUGU_NPC_01020,"Come back anytime!\n<turn_end>"
SYSTXT_SHOP_DOUGU_NPC_01030,"You're here to buy some.\nWhich one do you want?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01040,"Would you like to buy something else?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01050,"Oh, it looks like you don't\nhave enough money to buy that.\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01060,"Well, that's a shame.\n<br_break>"
SYSTXT_SHOP_DOUGU_NPC_01070,"Thank you very much!\n<br_break>"
SYSTXT_SHOP_DOUGU_NPC_01080,"This is also\neffective when used as a\ntool in battle.\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01090,"{Item_Selected_Name}.\n{Item_Costs} gold,\nwould you like to buy this?\n<yesno><break>"
SYSTXT_SHOP_DOUGU_NPC_01100,"No one seems to be able to\nequip the {Item_Selected_Name}.\nWould you like to put it in the bag?\n<yesno><break>"
SYSTXT_SHOP_DOUGU_NPC_01110,"Would you like to\nequip {Item_Selected_Name} now?\n<yesno><break>"
SYSTXT_SHOP_DOUGU_NPC_01120,"Then I'll\nput it in my bag.\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01130,"Who's going to\nequip {Item_Selected_Name}?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01140,"Oh, it looks like {Character_Selected_Name} can't\nequip\n{Item_Selected_Name}.\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01150,"Oh, looks like {Character_Selected_Name} is\nequipped with\n{Item_Selected_Name}.\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01160,"{Character_Selected_Name} is going to equip it?\n<yesno><break>"
SYSTXT_SHOP_DOUGU_NPC_01170,"Then put {Item_Selected_Name} in\nbag?\n<yesno><break>"
SYSTXT_SHOP_DOUGU_NPC_01180,"Then I'll\nput it in my bag.\nThank you very much!\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01190,"Then I'll\nkeep what I was looking for in my storage bag.\nThank you very much!\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01200,"Huh? It looks like you\ndon't have anything to sell.\n<bw_break>"
SYSTXT_SHOP_DOUGU_NPC_01210,"What can you sell me?\n<select>\nConsumables\nEquipment\n<select_end><break>"
SYSTXT_SHOP_DOUGU_NPC_01220,"Which one would you sell me?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01230,"Anything else you want to sell?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01240,"How many would you sell?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01250,"What would you sell me?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01260,"Anything else you want to sell?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01270,"Oh? That's hard to come by\nand it's precious, but\nare you sure you want to sell it?\n<yesno2><break>"
SYSTXT_SHOP_DOUGU_NPC_01280,"How many would you sell?\n<break>"
SYSTXT_SHOP_DOUGU_NPC_01290,"Huh? It looks like you have one\nequipped right now.\nAre you sure you want to sell it?\n<yesno2><break>"
