Key,SourceString
SYSTXT_SHOP_INN_NPC_01010,"Welcome to the Traveler's Inn.\n<br_break>"
SYSTXT_SHOP_INN_NPC_01020,"Welcome to the Traveler's Inn.\nLate at night\nGood work.\n<br_break>"
SYSTXT_SHOP_INN_NPC_01030,"Are you staying?\nOr would you like to rest for a while?\nBoth will be {YADOYA_GOLD} Gold.\n<select>\nStay\nRelax\nStop.\n<select_end><break>"
SYSTXT_SHOP_INN_NPC_01040,"Oh,\nit looks like you're short on money.\n<bw_break>"
SYSTXT_SHOP_INN_NPC_01050,"Goodbye Traveler.\nPlease stop by again.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_01060,"When are you going to rest?\n<select>\nBy morning\nBy night\n<select_end><break>"
SYSTXT_SHOP_INN_NPC_01070,"You're going to stop.\nThen you should pick yourself up....\n<br_break>"
SYSTXT_SHOP_INN_NPC_01080,"Then take it easy\ngood night."
SYSTXT_SHOP_INN_NPC_01090,"Good morning. See you at\n.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_01100,"Have a nice day off. See you\n.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_02010,"Welcome to the Traveler's Inn.\n<br_break>"
SYSTXT_SHOP_INN_NPC_02020,"Welcome to the Traveler's Inn.\nLate at night\nGood work.\n<br_break>"
SYSTXT_SHOP_INN_NPC_02030,"Are you staying?\nOr would you like to rest for a while?\nBoth will be {YADOYA_GOLD} gold.\n<select>\nStay\nRelax\nStop\n<select_end><break>"
SYSTXT_SHOP_INN_NPC_02040,"Unfortunately\nyou seem to be short of money.\n<bw_break>"
SYSTXT_SHOP_INN_NPC_02050,"Goodbye Traveler\nPlease come again.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_02060,"When are you going to rest?\n<select>\nBy morning\nBy night\n<select_end><break>"
SYSTXT_SHOP_INN_NPC_02070,"You're going to stop.\nThen you'll have to pick yourself up....\n<br_break>"
SYSTXT_SHOP_INN_NPC_02080,"We've\nprepared a fluffy futon for you.\nPlease rest well."
SYSTXT_SHOP_INN_NPC_02090,"Good morning\nthen\ntake care\n\n<turn_end>"
SYSTXT_SHOP_INN_NPC_02100,"Have a nice day off.\nSo be careful\nand have a nice day.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_03010,"Welcome.\nThis is a traveler's inn.\n<br_break>"
SYSTXT_SHOP_INN_NPC_03020,"This is a traveler's inn.\nGood work until late at night.\n<br_break>"
SYSTXT_SHOP_INN_NPC_03030,"Would you like to stay the night?\nOr would you like to rest for a while?\nBoth are {YADOYA_GOLD} gold.\n<select>\nStay\nrest\nstop\n<select_end><break>"
SYSTXT_SHOP_INN_NPC_03040,"Oh, sorry\nyou don't seem to have enough money.\n<bw_break>"
SYSTXT_SHOP_INN_NPC_03050,"Goodbye Traveler.\nTake a rest next time.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_03060,"How long are you going to rest?\n<select>\nuntil morning\nuntil night\n<select_end><break>"
SYSTXT_SHOP_INN_NPC_03070,"Don't do it.\nThen calm yourself down....\n<br_break>"
SYSTXT_SHOP_INN_NPC_03080,"Looks like you worked hard today.\nNow go get some rest."
SYSTXT_SHOP_INN_NPC_03090,"Good morning Looks like you had a good rest.\nNice to meet you.\nCome back here when you're tired.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_03100,"Looks like you had a good rest.\nHave a nice day.\nCome back here when you're tired.\n<turn_end>"
SYSTXT_SHOP_INN_NPC_04010,"Welcome.\nThis is a traveler's inn.\n<br_break>"
