Key,SourceString
PA_ACTION_NO_I_YAKUSOU,"Restores 30 HP\nto a single\nally."
PA_ACTION_NO_I_JYOUYAKUSOU,"Restores 50 HP\nto a single\nally."
PA_ACTION_NO_I_AMORUNOMIZU,"Restores 60 HP\nto a single\nally."
PA_ACTION_NO_I_IYASISOU,"Restores about\n70 HP to a\nsingle ally."
PA_ACTION_NO_I_TOKUYAKUSOU,"Restores about\n80 HP to\na single ally."
PA_ACTION_NO_I_YAKUSOU_4500,"Restores about\n300 HP to\na single ally."
PA_ACTION_NO_I_DOKUKESISOU,"Cures a single\nally of\npoison."
PA_ACTION_NO_I_JYOUDOKUKESISOU,"Restores about\n30 HP and\ncures poison."
PA_ACTION_NO_I_TOKUDOKUKESISOU,"Restores about\n60 HP and\ncures poison."
PA_ACTION_NO_I_MANGETUSOU,"Cures a single\nally of\nparalysis."
PA_ACTION_NO_I_KITUKESOU,"Restores about\n30 HP and\ncures paralysis."
PA_ACTION_NO_I_TUKINOMEGUMI,"Restores about\n60 HP and\ncures paralysis."
PA_ACTION_NO_I_TENSINOSUZU,"Cures a single\nally of\nconfusion."
PA_ACTION_NO_I_SEKAIJYUNOHA,"Revives a\nsingle ally\nat half HP."
PA_ACTION_NO_I_SEKAIJYUNOSIZUKU,"Restores full\nHP to all\nallies."
PA_ACTION_NO_I_MAHOUNO_KOBIN,"Restores 10 MP\nto a single\nally."
PA_ACTION_NO_I_MAHOUNO_SEISUI,"Restores about\n36 MP to\na single ally."
PA_ACTION_NO_I_KENJANO_SEISUI,"Restores about\n70 MP to a\nsingle ally."
PA_ACTION_NO_I_MP_HEAL_90,"Restores about\n90 MP to\na single ally."
PA_ACTION_NO_I_MAHOUNO_KOBIN_4500,"Restores about\n150 MP to a\nsingle ally."
PA_ACTION_NO_I_ERUHUNONOMIGUSURI,"Restores full\nMP to a single\nally."
PA_ACTION_NO_I_DOKUGANOKONA,"Paralyzes a\nsingle enemy."
PA_ACTION_NO_I_MADARAKUMOITO,"Decreases the\nagility of a\nsingle enemy."
PA_ACTION_NO_I_YUMEMINOHANA,"Sends a\nsingle enemy\nto sleep."
PA_ACTION_NO_I_MEZAMENOHANA,"Cures a single\nally of sleep."
PA_ACTION_NO_I_IKAZUCHINOTSUE,"Lightning hits\nenemies when\nused in battle."
PA_ACTION_NO_I_OYABUNNOOOTATE,"May frighten\nenemies when\nused in battle."
PA_ACTION_NO_I_KEIRONNOYUMI,"Bow restores HP\nwhen used in\nbattle."
PA_ACTION_NO_I_KOORINOTSUME,"Ice crushes the\nenemy when used\nin battle."
PA_ACTION_NO_I_KOORINOYAIBA,"Sends ice at\nthe enemy when\nused in battle."
PA_ACTION_NO_I_KOORINOTSUE,"Ice crushes the\nenemy when used\nin battle."
PA_ACTION_NO_I_SAJINNOYARI,"Dazzles the\nenemy when\nused in battle."
PA_ACTION_NO_I_SABAKINOTSUE,"Cuts enemies\nwith wind when\nused in battle."
PA_ACTION_NO_I_SEIRENNOTSUE,"More resistant\nto spells when\nused in battle."
PA_ACTION_NO_I_DORAGONNOTSUE,"Shoots fireball\nand drains a\ndragons's MP."
PA_ACTION_NO_I_HAJYANOTSURUGI,"Sends flames at\nthe enemy when\nused in battle."
PA_ACTION_NO_I_BASHOUSEN,"Cuts enemies\nwith wind when\nused in battle."
PA_ACTION_NO_I_PIORANOTSUE,"Increases\nAgility when\nused in battle."
PA_ACTION_NO_I_HONOONOTSUME,"Shoots out\nfireballs when\nused in battle."
PA_ACTION_NO_I_MAGUMANOTSUE,"Creates an\nexplosion when\nused in battle."
PA_ACTION_NO_I_MADOUSHINOTSUE,"Shoots out\nfireballs when\nused in battle."
PA_ACTION_NO_I_MAHUJINOTSUE,"Blocks enemy\nspells when\nused in battle."
PA_ACTION_NO_I_KENJYANOTSUE,"Ward off breath\nattacks when\nused in battle."
PA_ACTION_NO_I_FUKUINNOTSUE,"Restores HP\nwhen used in\nbattle."
