Key,SourceString
PA_ACTION_NO_IO,"You learned Bang!"
PA_ACTION_NO_IORA,"You learned Boom!"
PA_ACTION_NO_IONAZUN,"You learned Kaboom!"
PA_ACTION_NO_IOGURANDE,"You learned Kaboomle!"
PA_ACTION_NO_KIARI,"You learned Squelch!"
PA_ACTION_NO_KIARIKU,"You learned Tingle!"
PA_ACTION_NO_GIRA,"You learned Sizz!"
PA_ACTION_NO_BEGIRAMA,"You learned Sizzle!"
PA_ACTION_NO_BEGIRAGON,"You learned Kasizz!"
PA_ACTION_NO_KUMONO,"You learned Web Trap!"
PA_ACTION_NO_ZAORA,"You learned Zin!"
PA_ACTION_NO_ZAORARU,"You learned Zing!"
PA_ACTION_NO_ZAORIKU,"You learned Kazing!"
PA_ACTION_NO_ZAKI,"You learned Whack!"
PA_ACTION_NO_ZAMEHA,"You learned Cock-a-doodle-doo!"
PA_ACTION_NO_ZIBARIA,"You learned Rubblerouser!"
PA_ACTION_NO_ZIBARIKA,"You learned Boulderbringer!"
PA_ACTION_NO_ZIBARINA,"You learned Mountainmover!"
PA_ACTION_NO_ZIBARUNBA,"You learned Ridgeraiser!"
PA_ACTION_NO_SUKARA,"You learned Buff!"
PA_ACTION_NO_SUKURUTO,"You learned Kabuff!"
PA_ACTION_NO_ZUSSIDO,"You learned Thunk!"
PA_ACTION_NO_DIVINESPELL,"You learned Anathematise!"
PA_ACTION_NO_DORUMA,"You learned Zam!"
PA_ACTION_NO_DORUKUMA,"You learned Zammle!"
PA_ACTION_NO_DORUMOA,"You learned Kazam!"
PA_ACTION_NO_DORUMADON,"You learned Kazammle!"
PA_ACTION_NO_BAISION,"You learned Oomph!"
PA_ACTION_NO_BAIKIRUTO,"You learned Oomphle!"
PA_ACTION_NO_BAGI,"You learned Woosh!"
PA_ACTION_NO_BAGIKUROSU,"You learned Kaswoosh!"
PA_ACTION_NO_BAGIMA,"You learned Swoosh!"
PA_ACTION_NO_BAGIMUTYO,"You learned Kaswooshle!"
PA_ACTION_NO_PIORA,"You learned Accelerate!"
PA_ACTION_NO_PIORIMU,"You learned Acceleratle!"
PA_ACTION_NO_HYADO,"You learned Crack!"
PA_ACTION_NO_HYADARUKO,"You learned Crackle!"
PA_ACTION_NO_MAHYADO,"You learned Kacrack!"
PA_ACTION_NO_MAHYADEDOSU,"You learned Kacrackle!"
PA_ACTION_NO_BAHA,"You learned Insulate!"
PA_ACTION_NO_HUBAHA,"You learned Insulatle!"
PA_ACTION_NO_HENATOSU,"You learned Blunt!"
PA_ACTION_NO_HOIMI,"You learned Heal!"
PA_ACTION_NO_BEHOIMI,"You learned Midheal!"
PA_ACTION_NO_BEHOIMU,"You learned Moreheal!"
PA_ACTION_NO_BEHOMA,"You learned Fullheal!"
PA_ACTION_NO_BEHOMARA,"You learned Multiheal!"
PA_ACTION_NO_BOMIE,"You learned Decelerate!"
PA_ACTION_NO_BOMIOSU,"You learned Deceleratle!"
PA_ACTION_NO_MAGICBARRIER,"You learned Magic Barrier!"
PA_ACTION_NO_MADANTE,"You learned Magic Burst!"
PA_ACTION_NO_MANUSA,"You learned Dazzle!"
PA_ACTION_NO_MANUHA,"You learned Dedazzle!"
PA_ACTION_NO_MAHOKANTA,"You learned Bounce!"
