Key,SourceString
PA_ODDSTATUS_NO_ABSORBMP1_ROD,"More MP can be\nabsorbed when attacking\nwith a staff."
PA_ODDSTATUS_NO_ABSORBMP1_STK,"MP that can be absorbed\nduring stick attack increases."
PA_ODDSTATUS_NO_ABSORBMP2_STK,"MP that can be absorbed\nduring stick attack increases."
PA_ODDSTATUS_NO_BUKIGUARD1_POL,"Weapon guard rate\nincreases by 0.5%\nwhen equipped with\na club."
PA_ODDSTATUS_NO_BUKIGUARD1_SPR,"Weapon guard rate\nincreases by 1%\nwhen equipped with\na spear."
PA_ODDSTATUS_NO_BUKIGUARD1_SWD,"Weapon guard rate\nincreases by 2%\nwhen equipped with\nsword"
PA_ODDSTATUS_NO_BUKIGUARD1_TSW,"Weapon guard rate\nincreases by 2%\nwhen equipped with\na greatsword."
PA_ODDSTATUS_NO_BUKIGUARD2_POL,"Weapon guard rate\nincreases by 1%\nwhen equipped with\na club."
PA_ODDSTATUS_NO_BUKIGUARD2_SPR,"Weapon guard rate\nincreases by 2%\nwhen equipped with\na spear."
PA_ODDSTATUS_NO_BUKIGUARD2_SWD,"Weapon guard rate\nincreases by 4%\nwhen equipped with\nsword"
PA_ODDSTATUS_NO_BUKIGUARD2_TSW,"Weapon guard rate\nincreases by 2%\nwhen equipped with\na greatsword"
PA_ODDSTATUS_NO_BUKIGUARD3_POL,"Weapon guard rate\nincreases by 4%\nwhen equipped with\na club."
PA_ODDSTATUS_NO_BUKIGUARD3_SPR,"Weapon guard rate\nincreases by 4%\nwhen equipped with\na spear."
PA_ODDSTATUS_NO_CHARM1_FAN,"Charm rate\nincreases by 2%\nwhen equipped with\na fan."
PA_ODDSTATUS_NO_CHARM1_WHP,"Charm rate\nincreases by 1%\nwhen equipped with\na whip."
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU1_STK,"When equipped with\na stick,\nMagic Mending\nincreases by 5."
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU2_STK,"When equipped with\na stick,\nMagic Mending\nincreases by 10."
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU3_STK,"When equipped with\na stick,\nMagic Mending\nincreases by 20."
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU4_STK,"When equipped with\na stick,\nMagic Mending\nincreases by 30."
PA_ODDSTATUS_NO_KAISIN1_AXE,"Crit rate\nincreases by 0.5%\nwhen equipped with\nan ax"
PA_ODDSTATUS_NO_KAISIN1_BOO,"when equipped with\na boomerang,\ncritical hit rate increases by\n0.5%"
PA_ODDSTATUS_NO_KAISIN1_BOW,"Critical rate\nincreases by 0.5%\nwhen equipped with\na bow."
PA_ODDSTATUS_NO_KAISIN1_CLW,"Crit rate\nincreases by 0.5%\nwhen equipped with\nclaws"
PA_ODDSTATUS_NO_KAISIN1_DGR,"Crit rate\nincreases by 0.5%\nwhen equipped with\na dagger."
PA_ODDSTATUS_NO_KAISIN1_FAN,"Crit rate\nincreases by 0.5%\nwhen equipped with\na fan."
PA_ODDSTATUS_NO_KAISIN1_HMR,"Critical rate\nincreases by 0.5%\nwhen equipped with\na hammer."
PA_ODDSTATUS_NO_KAISIN1_NOT,"Critical rate\nincreases by 0.5% when attacking in melee"
PA_ODDSTATUS_NO_KAISIN1_POL,"Crit rate\nincreases by 0.5%\nwhen equipped with\na club."
PA_ODDSTATUS_NO_KAISIN1_SPR,"Creating rate\nincreases by 0.5%\nwhen equipped with\na spear."
PA_ODDSTATUS_NO_KAISIN1_SWD,"Crit rate\nincreases by 0.5%\nwhen equipped with\na sword."
PA_ODDSTATUS_NO_KAISIN1_TSW,"Crit rate\nincreases by 0.5%\nwhen equipped with\na greatsword."
PA_ODDSTATUS_NO_KAISIN1_WHP,"Critical rate\nincreases by 0.5%\nwhen equipped with\na whip."
PA_ODDSTATUS_NO_KAISIN2_AXE,"Crit rate\nincreases by 0.5%\nwhen equipped with\nan ax"
PA_ODDSTATUS_NO_KAISIN2_BOO,"when equipped with\na boomerang,\ncritical hit rate increases by\n1%"
PA_ODDSTATUS_NO_KAISIN2_BOW,"Critical rate\nincreases by 1%\nwhen equipped with\na bow."
PA_ODDSTATUS_NO_KAISIN2_CLW,"critical hit rate\nincreases by  1%\nwhen equipped with\nclaws"
PA_ODDSTATUS_NO_KAISIN2_DGR,"Critical rate\nincreases by 0.5%\nwhen equipped with\na dagger."
PA_ODDSTATUS_NO_KAISIN2_FAN,"Crit rate\nincreases by 1%\nwhen equipped with\na fan."
PA_ODDSTATUS_NO_KAISIN2_HMR,"Critical rate\nincreases by 1%\nwhen equipped with\na hammer."
PA_ODDSTATUS_NO_KAISIN2_NOT,"Critical rate\nincreases by  1% when attacking in melee"
PA_ODDSTATUS_NO_KAISIN2_POL,"Crit rate\nincreases by 1%\nwhen equipped with\na club."
PA_ODDSTATUS_NO_KAISIN2_SPR,"Critical rate\nincreases by 1%\nwhen equipped with\na spear."
PA_ODDSTATUS_NO_KAISIN2_SWD,"Critical rate\nincreases by 1%\nwhen equipped with\na sword."
PA_ODDSTATUS_NO_KAISIN2_TSW,"Critical rate\nincreases by  1%\nwhen equipped with\na greatsword"
PA_ODDSTATUS_NO_KAISIN2_WHP,"Crit rate\nincreases by 1%\nwhen equipped with\na whip."
PA_ODDSTATUS_NO_KAISIN3_AXE,"critical hit rate\nincreases by  1%\nwhen equipped with\nax"
PA_ODDSTATUS_NO_KAISIN3_BOO,"when equipped with\na boomerang,\ncritical hit rate increases by\n3%"
PA_ODDSTATUS_NO_KAISIN3_BOW,"Critical rate\nincreases by 3%\nwhen equipped with\na bow."
PA_ODDSTATUS_NO_KAISIN3_CLW,"Crit rate\nincreases by 2% when claws are equipped."
PA_ODDSTATUS_NO_KAISIN3_DGR,"Crit rate\nincreases by 1%\nwhen equipped with\na dagger."
PA_ODDSTATUS_NO_KAISIN3_FAN,"Crit rate\nincreases by 3%\nwhen equipped with\na fan."
PA_ODDSTATUS_NO_KAISIN3_HMR,"Critical rate\nincreases by 2%\nwhen equipped with\na hammer."
PA_ODDSTATUS_NO_KAISIN3_NOT,"Critical rate\nincreases by  2% when attacking in melee"
PA_ODDSTATUS_NO_KAISIN3_POL,"Critical rate\nincreases by 2%\nwhen equipped with\na club."
PA_ODDSTATUS_NO_KAISIN3_SPR,"Critical rate\nincreases by 2%\nwhen equipped with\na spear."
PA_ODDSTATUS_NO_KAISIN3_SWD,"Crit rate\nincreases by 2%\nwhen equipped with\na sword."
PA_ODDSTATUS_NO_KAISIN3_TSW,"Crit rate\nincreases by 2%\nwhen equipped with\na greatsword."
PA_ODDSTATUS_NO_KAISIN3_WHP,"Critical rate\nincreases by 2%\nwhen equipped with\na whip."
PA_ODDSTATUS_NO_KAISIN4_AXE,"Critical rate\nincreases by 2%\nwhen equipped with\nan ax"
PA_ODDSTATUS_NO_KAISIN4_HMR,"Critical rate\nincreases by 2%\nwhen equipped with\na hammer."
PA_ODDSTATUS_NO_KAISIN4_NOT,"Critical rate\nincreases by 0% when attacking in melee"
PA_ODDSTATUS_NO_KAISIN4_SWD,"Critical rate\nincreases by 0%\nwhen equipped with\na sword."
PA_ODDSTATUS_NO_KAISIN4_TSW,"Critical rate\nincreases by 0%\nwhen equipped with\na greatsword"
PA_ODDSTATUS_NO_KOUGEKI1_AXE,"Attack power when equipped with\nax\nincreases by 3"
PA_ODDSTATUS_NO_KOUGEKI1_BOO,"when equipped with\na boomerang, attack power increases by\n3"
PA_ODDSTATUS_NO_KOUGEKI1_BOW,"Attack power\nincreases by 3\nwhen equipped with\na bow."
PA_ODDSTATUS_NO_KOUGEKI1_CLW,"Attack power\nincreases by 3\nwhen equipped with\nclaws."
PA_ODDSTATUS_NO_KOUGEKI1_DGR,"Attack power\nincreases by 3\nwhen equipped with\na dagger."
PA_ODDSTATUS_NO_KOUGEKI1_FAN,"Attack power\nincreases by 3\nwhen equipped with\na fan."
PA_ODDSTATUS_NO_KOUGEKI1_HMR,"Attack power\nincreases by 3\nwhen equipped with\na hammer."
PA_ODDSTATUS_NO_KOUGEKI1_NOT,"Attack power when fighting\nincreases by 3"
PA_ODDSTATUS_NO_KOUGEKI1_POL,"Attack power\nincreases by 3\nwhen equipped with\na club."
PA_ODDSTATUS_NO_KOUGEKI1_SPR,"Attack power\nincreases by 5\nwhen equipped with\na spear."
