Key,SourceString
PA_ODDSTATUS_NO_ABSORBMP1_ROD,"MP absorption rate +2% when equipped"
PA_ODDSTATUS_NO_ABSORBMP1_STK,"MP absorption rate +1% when equipped"
PA_ODDSTATUS_NO_ABSORBMP2_STK,"MP absorption rate +2% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD1_POL,"Weapon guard rate +0.5% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD1_SPR,"Weapon guard rate +1% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD1_SWD,"Weapon guard rate +2% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD1_TSW,"Weapon guard rate +2% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD2_POL,"Weapon guard rate +1% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD2_SPR,"Weapon guard rate +2% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD2_SWD,"Weapon guard rate +4% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD2_TSW,"Weapon guard rate +2% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD3_POL,"Weapon guard rate +4% when equipped"
PA_ODDSTATUS_NO_BUKIGUARD3_SPR,"Weapon guard rate +4% when equipped"
PA_ODDSTATUS_NO_CHARM1_FAN,"+2% visibility when equipped"
PA_ODDSTATUS_NO_CHARM1_WHP,"+1% visibility when equipped"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU1_STK,"Healing Magic Power +5 when equipped"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU2_STK,"Healing magic power +10 when equipped"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU3_STK,"Healing magic power +20 when equipped"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU4_STK,"Healing magic power +30 when equipped"
PA_ODDSTATUS_NO_KAISIN1_AXE,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_BOO,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_BOW,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_CLW,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_DGR,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_FAN,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_HMR,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_NOT,"Unarmed Critical +0.5%"
PA_ODDSTATUS_NO_KAISIN1_POL,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_SPR,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_SWD,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_TSW,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN1_WHP,"Critical +0.5% when equipped"
PA_ODDSTATUS_NO_KAISIN2_AXE,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_BOO,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_BOW,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_CLW,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_DGR,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_FAN,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_HMR,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_NOT,"Unarmed Critical +1%"
PA_ODDSTATUS_NO_KAISIN2_POL,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_SPR,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_SWD,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_TSW,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN2_WHP,"Critical +1% when equipped"
PA_ODDSTATUS_NO_KAISIN3_AXE,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_BOO,"Critical +3% when equipped"
PA_ODDSTATUS_NO_KAISIN3_BOW,"Critical +3% when equipped"
PA_ODDSTATUS_NO_KAISIN3_CLW,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_DGR,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_FAN,"Critical +3% when equipped"
PA_ODDSTATUS_NO_KAISIN3_HMR,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_NOT,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_POL,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_SPR,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_SWD,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_TSW,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN3_WHP,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN4_AXE,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN4_HMR,"Critical +2% when equipped"
PA_ODDSTATUS_NO_KAISIN4_NOT,"Unarmed Critical +0%"
PA_ODDSTATUS_NO_KAISIN4_SWD,"Critical +0% when equipped"
PA_ODDSTATUS_NO_KAISIN4_TSW,"Critical +0% when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_AXE,"Strength +3 when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_BOO,"Strength +3 when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_BOW,"Strength +3 when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_CLW,"Strength +3 when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_DGR,"Strength +3 when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_FAN,"Power +3 when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_HMR,"Strength +3 when equipped"
PA_ODDSTATUS_NO_KOUGEKI1_NOT,"Unarmed Attack +3"
