Key,SourceString
PA_ACTION_NO_KABAU,"warrior feat to take\ndamage from allies without taking action"
PA_ACTION_NO_LOSTATTACK,"Release\nanger and SHT with damage\ndecrease tension"
PA_ACTION_NO_TAIATARI,"Warrior feat that damages and\nshocks the enemy"
PA_ACTION_NO_YAIBAKUDAKI,"Attacks the enemy while\nlowering attack power\nwarrior feat"
PA_ACTION_NO_CHARGETACKLE,"A\nwarrior feat that deals heavy damage and\nshocks"
PA_ACTION_NO_YAIBAKUDAKI2,"Decrease attack power by 2 and\ndamage\nwarrior feat"
PA_ACTION_NO_LOSTBREAK_1,"Release rage or SHT\nTension down\nWarrior feat"
PA_ACTION_NO_ISITUBUTE,"Throw\na piece of stone at\nan enemy"
PA_ACTION_NO_KAMAITATI,"Kazekiri Yaiba, which is\neffective against elements."
PA_ACTION_NO_SEIKENDUKI,"Push\nan enemy straight\nwith power"
PA_ACTION_NO_MOONSALTO,"A\nspectacular somersault that\nhits flying enemies."
PA_ACTION_NO_BAKURETUKEN,"Attack a single enemy with\nShippudouto\n4 times."
PA_ACTION_NO_TATUJINNOKOKYU,"Fix your breathing\nand gradually\nrecover your HP."
PA_ACTION_NO_SEIKENDUKI2,"Power\nto\na single enemy with a powerful blow\n"
PA_ACTION_NO_SHINKUHA_160,"Slash an enemy group\nwith a vacuum slash\n"
PA_ACTION_NO_KAENGIRI,"Use\nthe power of fire to slash the\nenemy"
PA_ACTION_NO_DRAGONGIRI,"dragon-slaying sword skill that is\neffective against dragon-type enemies"
PA_ACTION_NO_MIRACLESWORD,"A secret sword that cuts down the enemy\nand heals your own wounds\n"
PA_ACTION_NO_HAYABUSAGIRI,"Hayabusa-like\nfast double attack"
PA_ACTION_NO_GIGASLASH,"Change a blade of light into a sword\nmow down the enemy\nsword's secret"
PA_ACTION_NO_HAYABUSAGIRI2,"4 attack with super speed over Hayabusa"
PA_ACTION_NO_BLADEGUARD,"Weapon guard rate\nsignificantly increased\ntwo-handed sword"
PA_ACTION_NO_DRAGONSLASH,"A\ndragon-slaying swing that is\neffective against dragon-type enemies."
PA_ACTION_NO_BUNMAWASI,"mow down a group of enemies with a swinging sword"
PA_ACTION_NO_ZETTAIREIDO,"Crush all enemies with\nfreezing ice\n"
PA_ACTION_NO_DAIZYOUDANGIRI,"Slash\none enemy from above and cause\ngreat damage."
PA_ACTION_NO_PLASMABLADE_160,"Continuously\nlightning a group of enemies and\nreduce fire resistance"
PA_ACTION_NO_TAIBOKUZAN,"Reliable swing that\nworks against plant enemies"
PA_ACTION_NO_SOUTENMAZAN,"A great move of\nspirit that occasionally\nparalyzes one enemy."
PA_ACTION_NO_KABUTOWARI,"Slash an enemy from above\nand also\nlower their defense."
PA_ACTION_NO_MAZINGIRI,"It's easy to fail, but if you\nhit it well, it's\na big deal."
PA_ACTION_NO_ONOMUSOU,"Crushing a group of enemies\n"
PA_ACTION_NO_TEKKOUZAN,"Slashes an enemy\nlowers defense and\nspeed"
PA_ACTION_NO_BIGSHIELD,"The shield guard rate is\ngreatly increased\n"
PA_ACTION_NO_SHIELDATTACK,"Protect\nand attack an enemy"
PA_ACTION_NO_MAMORINOTATE,"Protect yourself from\nbad effects with holy light"
PA_ACTION_NO_KAISINGUARD,"Fortify your defenses to reduce the\ndamage of\nAnger Strike"
PA_ACTION_NO_PHALANX,"Reduce damage dealt and\ndamage received in exchange for\n"
PA_ACTION_NO_SPELLGUARD,"Give yourself a\nbarrier that dispels\nspells only once"
PA_ACTION_NO_DUALGUARD_160,"Reduces damage and also grants\nBig Shield and\nCritical Guard"
PA_ACTION_NO_TIKARANOTATE_190,"Gives the effect of\nrecovering HP while guarding\nwhile recovering HP."
PA_ACTION_NO_OHARAI,"Remove the\ncurse on one of your allies"
PA_ACTION_NO_MAHOTORANOKOROMO,"Take damage and\nMP recovery\nMonk feat"
PA_ACTION_NO_SEIZYONOMAMORI,"When your HP is over half\n, you can avoid instant death\nas a priest skill."
PA_ACTION_NO_TENSINOMAMORI,"Cleric feats that will\nreturn you to life even if you die"
PA_ACTION_NO_SEINARUINORI,"priest feat that\nconsiderably increases the effectiveness of healing spells"
PA_ACTION_NO_HOLLYLIGHT,"priest feat that deals\ndamage with holy light"
