Key,SourceString
SKILLUP_00,"Skills around \n of this panel will be \n level +1"
SKILLUP_01,"Skills around \n of this panel will be \n level +2"
SKILLUP_02,"Skills around \n of this panel will be \n level +3"
SKILLUP_03,"Skills around \n of this panel will be \n level +4"
SKILLUP_04,"When equipped with {0}, increases \n attack power by \n 10"
SKILLUP_05,"When equipped with {0}, increase \n Attack Power by \n 20"
SKILLUP_06,"When equipped with {0}, increase \n Attack Power by \n 30"
SKILLUP_07,"When equipped with {0}, increases \n Attack Power by \n 40"
SKILLUP_08,"When equipped with {0}, increases \n attack magic power by \n 10"
SKILLUP_09,"When equipped with {0}, increase \n attack magic power by \n 20"
SKILLUP_10,"When equipped with {0}, increases \n attack magic power by \n 30"
SKILLUP_11,"When equipped with {0}, increases \n attack magic power by \n 40"
SKILLUP_12,"When equipped with {0}, \n Kaifuku magic power increases by \n 10"
SKILLUP_13,"When equipped with {0}, \n Kaifuku magic power increases by \n 20"
SKILLUP_14,"When equipped with {0}, \n Kaifuku magic power increases by \n 30"
SKILLUP_15,"When equipped with {0}, increases \n Kaifuku magic power by \n 40"
SKILLUP_16,"When equipped with {0}, increases \n power by \n 10"
SKILLUP_17,"When equipped with {0}, increases \n power by \n 20"
SKILLUP_18,"When equipped with {0}, increases \n power by \n 30"
SKILLUP_19,"Increases power by \n 40 when equipped with {0}"
SKILLUP_20,"Increases max MP by \n 10 when equipped with {0}"
SKILLUP_21,"Increases max MP by \n 20 when equipped with {0}"
SKILLUP_22,"Increases max MP by \n 30 when equipped with {0}"
SKILLUP_23,"Increases max MP by \n 40 when equipped with {0}"
SKILLUP_24,"Increase \n MP absorption rate by \n 2% when equipped with {0}"
SKILLUP_25,"Increase \n MP absorption rate by \n 4% when equipped with {0}"
SKILLUP_26,"When equipped with {0}, increases \n MP absorption rate by \n 6%"
SKILLUP_27,"Increase \n MP absorption rate by \n 8% when equipped with {0}"
SKILLUP_28,"When equipped with {0}, increases \n guard rate by \n 2%"
SKILLUP_29,"When equipped with {0}, increases \n guard rate by \n 4%"
SKILLUP_30,"When equipped with {0}, increases \n guard rate by \n 6%"
SKILLUP_31,"When equipped with {0}, increase \n guard rate by \n 8%"
SKILLUP_32,"When equipped with {0}, \n damage rate increases by \n 2%"
SKILLUP_33,"When equipped with {0}, \n damage rate increases by \n 4%"
SKILLUP_34,"When equipped with {0}, \n damage rate increases by \n 6%"
SKILLUP_35,"When equipped with {0}, \n damage rate increases by \n 8%"
SKILLUP_36,"When equipped with {0}, \n evasion rate increases by \n 2%"
SKILLUP_37,"When equipped with {0}, \n evasion rate increases by \n 4%"
SKILLUP_38,"When equipped with {0}, \n evasion rate increases by \n 6%"
SKILLUP_39,"\n evasion rate increased by \n 8% when equipped with {0}"
