Key,SourceString
SKILLUP_00,"Skill Up Panel (Bronze)"
SKILLUP_01,"Skill Up Panel (Silver)"
SKILLUP_02,"Skill Up Panel (Gold)"
SKILLUP_03,"Skill Up Panel (Rainbow)"
SKILLUP_04,"Attack +10"
SKILLUP_05,"Attack +20"
SKILLUP_06,"Attack +30"
SKILLUP_07,"Attack +40"
SKILLUP_08,"Magical Might +10"
SKILLUP_09,"Magical Might +20"
SKILLUP_10,"Magical Might +30"
SKILLUP_11,"Magical Might +40"
SKILLUP_12,"Magical Mending +10"
SKILLUP_13,"Magical Mending +20"
SKILLUP_14,"Magical Mending +30"
SKILLUP_15,"Magical Mending +40"
SKILLUP_16,"Defense +10"
SKILLUP_17,"Defense +20"
SKILLUP_18,"Defense +30"
SKILLUP_19,"Defense +40"
SKILLUP_20,"Max MP +10"
SKILLUP_21,"Max MP +20"
SKILLUP_22,"Max MP +30"
SKILLUP_23,"Max MP +40"
SKILLUP_24,"MP Absorption +2%"
SKILLUP_25,"MP Absorption +4%"
SKILLUP_26,"MP Absorption +6%"
SKILLUP_27,"MP Absorption +8%"
SKILLUP_28,"Parry Rate +2%"
SKILLUP_29,"Parry Rate +4%"
SKILLUP_30,"Parry Rate +6%"
SKILLUP_31,"Parry Rate +8%"
SKILLUP_32,"Critical Rate +2%"
SKILLUP_33,"Critical Rate +4%"
SKILLUP_34,"Critical Rate +5%"
SKILLUP_35,"Critical Rate +8%"
SKILLUP_36,"Dodge Rate +2%"
SKILLUP_37,"Dodge Rate +4%"
SKILLUP_38,"Dodge Rate +6%"
SKILLUP_39,"Dodge Rate +8%"
