Key,SourceString
PA_ACTION_NO_KAISINHITYU,"Warrior special move:\nLands a critical hit\nwith guaranteed success"
PA_ACTION_NO_SEIJANOUTA,"Priest special move:\nHeal all allies' HP\n and status conditions"
PA_ACTION_NO_BEHOMA,"Priest special move:\nFully recovers one\nally's HP"
PA_ACTION_NO_MIRACLEZONE,"Mage special move:\nSpells consume no MP\nand can activate twice"
PA_ACTION_NO_MAHYADEDOSU,"Mage special move:\nA huge storm of ice\npierces all enemies"
PA_ACTION_NO_MERAGAIA,"Mage special move:\nA huge ball of fire\nincinerates one enemy"
PA_ACTION_NO_IKKATU,"Martial artist special:\nUnleash a powerful\nforce- stuns the enemy"
PA_ACTION_NO_OTAKARAHUNTER,"Thief special move:\nIncreases the chance\nof obtaining treasure"
PA_ACTION_NO_ACROBATSTAR,"Minstrel special:\nIncreases counter rate\nand ally dodge rate"
PA_ACTION_NO_TENSIONBOOST,"Battlemaster special:\nAll allies obtain\nsuper high tension!"
PA_ACTION_NO_PALADINGUARD,"Paladin special:\nNullify all enemies'\nrage and damage"
PA_ACTION_NO_MAGICROULETTE,"Armamentalist special:\nGrants MP recovery and\noccasional damage increase"
PA_ACTION_NO_MADANTE,"Armamentalist special:\nUse all MP to\nobliterate the enemy"
PA_ACTION_NO_YOUSEITATINOPOLKA,"Ranger special move:\nAll allies' offense\nand defense increased"
PA_ACTION_NO_CERBERUSRONDO,"Ranger special move:\nCerberus attacks one\nenemy- defense reduced"
PA_ACTION_NO_KAMINOIBUKI,"Sage special move:\nIncrease spell damage\nand spells can echo"
PA_ACTION_NO_IOGURANDE,"Sage special move:\nA huge explosion of\nlight blasts all foes"
PA_ACTION_NO_DORUMADON,"Sage special move:\nA huge eldritch blast\ndamages one enemy"
PA_ACTION_NO_MONSTERZONE,"Superstar special:\nParalyzes an\nattacking enemy"
PA_ACTION_NO_MILLIONSMILE,"Superstar special:\nA million-dollar smile\nboosts exp and gold"
PA_ACTION_NO_LUXURYREMOVE,"Superstar special:\nAttack all enemies and\nnullify gold consumption"
PA_ACTION_NO_BEASTMODE,"Monster Master special:\nAttack and defense up\nOccasionally act twice"
PA_ACTION_NO_KYOUKAGADGETREISIKI,"Item Master special:\nCreates magic circle-\ndamage and crit rate up"
PA_ACTION_NO_KAIHUKUMAHOUZIN,"Item Master special:\nCreates magic circle\nthat recovers HP"
PA_ACTION_NO_KOUSINNOMAI,"Dancer special move:\n50% tension increase\nfor all allies"
PA_ACTION_NO_SENKINOMIDAREMAI,"Dancer special move:\nIncreases attack power\nof all allies"
