Key,SourceString
PA_ACTION_NO_KAISINHITYU,"Critical Claim"
PA_ACTION_NO_SEIJANOUTA,"Saint's Song"
PA_ACTION_NO_BEHOMA,"Fullheal"
PA_ACTION_NO_MIRACLEZONE,"0 Zone"
PA_ACTION_NO_MAHYADEDOSU,"Kacrackle"
PA_ACTION_NO_MERAGAIA,"Kafrizzle"
PA_ACTION_NO_IKKATU,"Roaring Tirade"
PA_ACTION_NO_OTAKARAHUNTER,"Itemised Kill"
PA_ACTION_NO_ACROBATSTAR,"Rough 'n' Tumble"
PA_ACTION_NO_TENSIONBOOST,"Tension Boost"
PA_ACTION_NO_PALADINGUARD,"Knight Watch"
PA_ACTION_NO_MAGICROULETTE,"Magic Roulette"
PA_ACTION_NO_MADANTE,"Magic Burst"
PA_ACTION_NO_YOUSEITATINOPOLKA,"Brownie Boost"
PA_ACTION_NO_CERBERUSRONDO,"Cerberus Rondo"
PA_ACTION_NO_KAMINOIBUKI,"Spelly Breath"
PA_ACTION_NO_IOGURANDE,"Kaboomle"
PA_ACTION_NO_DORUMADON,"Kazammle"
PA_ACTION_NO_MONSTERZONE,"Shocking Twist"
PA_ACTION_NO_MILLIONSMILE,"Million Smile"
PA_ACTION_NO_LUXURYREMOVE,"Luxury Rim"
PA_ACTION_NO_BEASTMODE,"Wild Side"
PA_ACTION_NO_KYOUKAGADGETREISIKI,"Gadget Type-0"
PA_ACTION_NO_KAIHUKUMAHOUZIN,"Medical Device"
PA_ACTION_NO_KOUSINNOMAI,"Deity Dance"
PA_ACTION_NO_SENKINOMIDAREMAI,"Demon's Duet"
PA_ACTION_NO_GIRAGRADE,"Kasizzle "
PA_ACTION_NO_ZODIACBURST,"Zodiac Code"
PA_ACTION_NO_TENTIMEIDOUNOIN,"Mark on Nature"
PA_ACTION_NO_PARUPUNTE,"Hocus Pocus"
PA_ACTION_NO_PAHUPAHU,"Puff-puff"
PA_ACTION_NO_GANSEKI_OTOSI,"Boulder Toss"
PA_ACTION_NO_BAKURETSUKYAKU,"Multifeet"
PA_ACTION_NO_GIGABRAKE,"Gigagash"
PA_ACTION_NO_ULTIMASWORD,"Ultimate Blade"
PA_ACTION_NO_FUSICHOUTENBU,"Phoenix Dance"
PA_ACTION_NO_BIGBAN,"Big Banga"
PA_ACTION_NO_DAISENPUUGIRI,"Swirlwind"
PA_ACTION_NO_ZENSINZENREIGIRI,"Unbridled Blade"
PA_ACTION_NO_SHINONOMUSOU,"Axes of True Evil"
PA_ACTION_NO_DAICHIRETUDAN,"Earthshatter"
PA_ACTION_NO_KOUMAGURENZAN,"Lotus Slash"
PA_ACTION_NO_JIGOSPARK,"Lightning Storm"
PA_ACTION_NO_CHOUSAMIDAREZUKI,"Uber Multithrust"
PA_ACTION_NO_SPIRITZONE,"Spirit Zone"
PA_ACTION_NO_TINKLEBATON,"Cheer Leader"
PA_ACTION_NO_OUGIKONSENSATSU,"Flash Kill"
PA_ACTION_NO_GOUSETSUHYOUKETSURANGEKI,"Heavy Ice Storm"
PA_ACTION_NO_CHOUBOUSOUMAHOUJIN,"Super Ring of Ruin"
PA_ACTION_NO_REIMYAKUMAHOUJIN,"Ring of Spirit"
PA_ACTION_NO_ONEIROSHUNT,"Oneros Hunt"
PA_ACTION_NO_NEMESISEDGE,"Nemesis Edge"
PA_ACTION_NO_GOKURYUUTI,"Wyrm Whip"
PA_ACTION_NO_MONZETSUZENPOUUCHI,"All Out Aggro"
PA_ACTION_NO_SHIPPUUJINRAI,"Whipcrackle"
PA_ACTION_NO_LIGERCRASH,"Wild Animaul"
PA_ACTION_NO_GODSMASH,"Hand of God"
PA_ACTION_NO_PINKTYPHOON,"Pinky Typhoon"
PA_ACTION_NO_OUGIRANBU,"Fan Tastic"
PA_ACTION_NO_HYAKKARYOURAN,"Flowerstorm"
PA_ACTION_NO_DEVILCRUSH,"Devil Crusher"
PA_ACTION_NO_EARTHCRUSH,"Earth Crash"
PA_ACTION_NO_PLATEIMPACT,"Plate Impact"
PA_ACTION_NO_SHININGBOW,"Shining Shot"
PA_ACTION_NO_SUNLIGHTARROW,"Sunlight Arrow"
PA_ACTION_NO_KYUUSEINOMAMORIBOSHI,"Ailment Curtailment"
PA_ACTION_NO_FROZENBIRD,"Icebird Throw"
PA_ACTION_NO_GIGATHROW,"Gigathrow"
PA_ACTION_NO_DUALBREAKER,"Double Down"
PA_ACTION_NO_QUEENOFHEART,"Queen of Hearts"
PA_ACTION_NO_TOUKONIKKATSU,"Warrior's Roar"
PA_ACTION_NO_RENGEKITENBU,"Celestial Combo"
PA_ACTION_NO_HYAKUSENRENMAGIRI,"Battle-Hardened Slash"
PA_ACTION_NO_SANMAIOROSHI,"Triple Takedown"
PA_ACTION_NO_CRITICALARTS,"Critical Arts"
PA_ACTION_NO_PONKOTSUNARHYTHM,"Junkey's Jam"
PA_ACTION_NO_GARAKUTAHUNTER,"Garbage Collector"
PA_ACTION_NO_GARAKUTABOX,"Box o' Junk"
PA_ACTION_NO_SEIREINOKAZE,"Spirit Winds"
PA_ACTION_NO_KISEKINOKAZE,"Miracle Winds"
PA_ACTION_NO_DOTOUNOKAMUSHIKA,"Azlantelope Assault"
PA_ACTION_NO_MEGISUTORISUNOSYUKUHUKU,"Blessing of Megistris"
PA_ACTION_NO_IYASHINOSHIRABE,"Soothing Song"
PA_ACTION_NO_GRANDLIGHT,"Grand Light"
PA_ACTION_NO_YUSYANOHIKARI,"Heroic Light"
PA_ACTION_NO_YUUSHANOME,"Hero's Eye"
PA_ACTION_NO_YUSYANOTATE,"Hero's Shield"
PA_ACTION_NO_YUSYANOKOKORO,"Hero's Heart"
PA_ACTION_NO_PAHUPAHU_MAIYU,"Puff-puff"
PA_ACTION_NO_MAHYADEDOSU_FUURA,"Kacrackle"
PA_ACTION_NO_DORUMADON_URA,"Kazammle"
PA_ACTION_NO_MADANTE_FUURA,"Magic Burst"
PA_ACTION_NO_BEHOMA_RAGUASU,"Fullheal"
PA_ACTION_NO_MILLIONSMILE_RAGUASU,"Million Smile"
PA_ACTION_NO_PINKTYPHOON_FUURA,"Pink Typhoon"
PA_ACTION_NO_PINKTYPHOON_MAIYU,"Pink Typhoon"
PA_ACTION_NO_PARUPUNTE_RYUSEI,"Hocus Pocus Box"
PA_ACTION_NO_PARUPUNTE_RYUSEI2,"Hocus Pocus Meteor"
PA_ACTION_NO_PARUPUNTE_KAZE,"Hocus Pocus Wind"
PA_ACTION_NO_PARUPUNTE_YAMABIKO,"Hocus Pocus Echo"
PA_ACTION_NO_PARUPUNTE_KOWARERU,"Hocus Pocus Break"
PA_ACTION_NO_PARUPUNTE_HPMP,"Hocus Pocus Recovery"
PA_ACTION_NO_GIGADEIN,"Kazap"
