Key,SourceString
SYSTXT_SKILL_PANEL_00010,"Skill Panel"
SYSTXT_SKILL_PANEL_00020,"Character Name"
SYSTXT_SKILL_PANEL_00030,"Skill Points"
SYSTXT_SKILL_PANEL_00040,"Check Skills Learned"
SYSTXT_SKILL_PANEL_00050,"End"
SYSTXT_SKILL_PANEL_10010,"Skill Panel"
SYSTXT_SKILL_PANEL_10020,"Character Name"
SYSTXT_SKILL_PANEL_10030,"Skill Points"
SYSTXT_SKILL_PANEL_10040,"Pagination"
SYSTXT_SKILL_PANEL_10050,"Skilled / Overall"
SYSTXT_SKILL_PANEL_10060,"{0} Skill"
SYSTXT_SKILL_PANEL_10070,"{0}/{1}"
SYSTXT_SKILL_PANEL_10080,"Batch distribution"
SYSTXT_SKILL_PANEL_10090,"Skill Reset"
SYSTXT_SKILL_PANEL_10100,"Skill Item Description"
SYSTXT_SKILL_PANEL_20030,"{0}P"
SYSTXT_SKILL_PANEL_20070,"Lv.{0} {1}{2}%"
SYSTXT_SKILL_PANEL_20080,"Equipped"
SYSTXT_SKILL_PANEL_20090,"MP Consumed"
SYSTXT_SKILL_PANEL_20100,"{0}"
SYSTXT_SKILL_PANEL_20110,"Consumed Tension"
SYSTXT_SKILL_PANEL_20120,"{0}"
SYSTXT_SKILL_PANEL_20140,"{0}%"
SYSTXT_SKILL_PANEL_20150,"Panel State"
SYSTXT_SKILL_PANEL_20160,"Skilled"
SYSTXT_SKILL_PANEL_20170,"Can be learned"
SYSTXT_SKILL_PANEL_20180,"Unreleased"
SYSTXT_SKILL_PANEL_20190,"Secret Panel"
SYSTXT_SKILL_PANEL_20220,"Panel Release"
SYSTXT_SKILL_PANEL_20230,"Batch distribution"
SYSTXT_SKILL_PANEL_30070,"Not sure"
SYSTXT_SKILL_PANEL_30080,"The rest"
SYSTXT_SKILL_PANEL_50010,"Skill Reset"
SYSTXT_SKILL_PANEL_50050,"Back Point"
SYSTXT_SKILL_PANEL_00060,"Back"
SYSTXT_SKILL_PANEL_20200,"Required Equipment"
SYSTXT_SKILL_PANEL_20210,"G required"
SYSTXT_SKILL_PANEL_90000,"Fighting"
SYSTXT_SKILL_PANEL_90001,"One Handed Sword"
SYSTXT_SKILL_PANEL_90002,"Two Handed Sword"
SYSTXT_SKILL_PANEL_90003,"Ono"
SYSTXT_SKILL_PANEL_90004,"Spear"
SYSTXT_SKILL_PANEL_90005,"Stick"
SYSTXT_SKILL_PANEL_90006,"Staff"
SYSTXT_SKILL_PANEL_90007,"Two-Handed Cane"
SYSTXT_SKILL_PANEL_90008,"Dagger"
SYSTXT_SKILL_PANEL_90009,"Whip"
SYSTXT_SKILL_PANEL_90010,"Claw"
SYSTXT_SKILL_PANEL_90011,"Fan"
SYSTXT_SKILL_PANEL_90012,"Hammer"
SYSTXT_SKILL_PANEL_90013,"Bow"
SYSTXT_SKILL_PANEL_90014,"Boomerang"
SYSTXT_SKILL_PANEL_90015,"Shield"
SYSTXT_SKILL_PANEL_90016,"Powerful"
SYSTXT_SKILL_PANEL_90017,"Cool"
SYSTXT_SKILL_PANEL_90018,"Wind Rider"
SYSTXT_SKILL_PANEL_90019,"Royal"
SYSTXT_SKILL_PANEL_90020,"Junk"
SYSTXT_SKILL_PANEL_90021,"Courage"
SYSTXT_SKILL_PANEL_90022,"Truth"
SYSTXT_SKILL_PANEL_90023,"Justice"
SYSTXT_SKILL_PANEL_90024,"Fighting Spirit"
SYSTXT_SKILL_PANEL_90025,"Perseverance"
SYSTXT_SKILL_PANEL_90026,"Slapper"
SYSTXT_SKILL_PANEL_90027,"Slaforth"
SYSTXT_SKILL_PANEL_90028,"Slapper II"
SYSTXT_SKILL_PANEL_90029,"Suraforce II"
SYSTXT_SKILL_PANEL_90030,"Thrassoul"
SYSTXT_SKILL_PANEL_90031,"Huimin Martial Arts"
SYSTXT_SKILL_PANEL_90032,"Hoimin Style Recovery"
SYSTXT_SKILL_PANEL_90033,"Hoiming Martial Arts II"
SYSTXT_SKILL_PANEL_90034,"Hoimin Style Recovery II"
SYSTXT_SKILL_PANEL_90035,"Hoimin Ryuujutsu"
SYSTXT_SKILL_PANEL_90036,"Hikari Mormon"
SYSTXT_SKILL_PANEL_90037,"Yami Mormon"
SYSTXT_SKILL_PANEL_90038,"Hikari Mormon II"
SYSTXT_SKILL_PANEL_90039,"Yami Mormon II"
SYSTXT_SKILL_PANEL_90040,"Satori Mormon"
SYSTXT_SKILL_PANEL_90041,"Martial Nyatz"
SYSTXT_SKILL_PANEL_90042,"Martial Meow II"
SYSTXT_SKILL_PANEL_90043,"Knowledge of Hyad II"
SYSTXT_SKILL_PANEL_90044,"Hyad's Secret"
SYSTXT_SKILL_PANEL_90045,"Cat Magic"
SYSTXT_SKILL_PANEL_90046,"Nekomahou II"
SYSTXT_SKILL_PANEL_90047,"Mera's Knowledge II"
SYSTXT_SKILL_PANEL_90048,"Mera's Secret"
SYSTXT_SKILL_PANEL_90049,"Prank"
SYSTXT_SKILL_PANEL_90050,"Mole's love"
SYSTXT_SKILL_PANEL_90051,"Mischief II"
SYSTXT_SKILL_PANEL_90052,"Kai Mole II"
SYSTXT_SKILL_PANEL_90053,"Mole Turmeric"
SYSTXT_SKILL_PANEL_90054,"Chimera flapping"
SYSTXT_SKILL_PANEL_90055,"Chimera Healing"
SYSTXT_SKILL_PANEL_90056,"Chimera Flapping II"
SYSTXT_SKILL_PANEL_90057,"Chimera Healing II"
SYSTXT_SKILL_PANEL_90058,"Chimera Prayer"
SYSTXT_SKILL_PANEL_90059,"Sword Rider"
SYSTXT_SKILL_PANEL_90060,"Magic Rider"
SYSTXT_SKILL_PANEL_90061,"Sword Rider II"
SYSTXT_SKILL_PANEL_90062,"Magic Rider II"
SYSTXT_SKILL_PANEL_90063,"Knight Rider"
SYSTXT_SKILL_PANEL_90064,"Gekko Style Swordsmanship"
SYSTXT_SKILL_PANEL_90065,"Gecko Fluid"
SYSTXT_SKILL_PANEL_90066,"Gecko Style Swordsmanship II"
SYSTXT_SKILL_PANEL_90067,"Gecko Fluid II"
SYSTXT_SKILL_PANEL_90068,"Gecko Style Swordsmanship"
SYSTXT_SKILL_PANEL_90069,"Rexsense"
SYSTXT_SKILL_PANEL_90070,"Fire Breath Knowledge"
SYSTXT_SKILL_PANEL_90071,"Rexsense II"
SYSTXT_SKILL_PANEL_90072,"Fire Breath Knowledge II"
SYSTXT_SKILL_PANEL_90073,"Fire Breath Secret"
SYSTXT_SKILL_PANEL_90074,"Dragon Guts"
SYSTXT_SKILL_PANEL_90075,"Fire Breath Knowledge"
SYSTXT_SKILL_PANEL_90076,"Dragon Guts II"
SYSTXT_SKILL_PANEL_90077,"Fire Breath Knowledge II"
SYSTXT_SKILL_PANEL_90078,"Fire Breath Secret"
SYSTXT_SKILL_PANEL_90079,"Amber magic"
SYSTXT_SKILL_PANEL_90080,"Blizzard Breath Knowledge"
SYSTXT_SKILL_PANEL_90081,"Amber Magic II"
SYSTXT_SKILL_PANEL_90082,"Blizzard Breath Knowledge II"
SYSTXT_SKILL_PANEL_90083,"Adult only"
SYSTXT_SKILL_PANEL_90084,"Mahodraky"
SYSTXT_SKILL_PANEL_90085,"Mahodraky II"
SYSTXT_SKILL_PANEL_90086,"Dolma's Knowledge II"
SYSTXT_SKILL_PANEL_90087,"Dorma Secret"
SYSTXT_SKILL_PANEL_90088,"Tension King"
SYSTXT_SKILL_PANEL_90089,"Ippatsuya"
SYSTXT_SKILL_PANEL_90090,"Tension King II"
SYSTXT_SKILL_PANEL_90091,"Ippatsuya II"
SYSTXT_SKILL_PANEL_90092,"Power Mochi"
SYSTXT_SKILL_PANEL_90093,"Hell Slayer"
SYSTXT_SKILL_PANEL_90094,"Skill"
SYSTXT_SKILL_PANEL_90095,"Hell Killer II"
SYSTXT_SKILL_PANEL_90096,"Shunsoku II"
SYSTXT_SKILL_PANEL_90097,"Feline"
SYSTXT_SKILL_PANEL_90098,"Enta Flower Path"
SYSTXT_SKILL_PANEL_90099,"Enter Step"
SYSTXT_SKILL_PANEL_90100,"Enta Hanamichi II"
SYSTXT_SKILL_PANEL_90101,"Enter Step II"
SYSTXT_SKILL_PANEL_90102,"Entertainer"
SYSTXT_SKILL_PANEL_90103,"Ruby of Happiness"
SYSTXT_SKILL_PANEL_90104,"Demonic Diamond"
SYSTXT_SKILL_PANEL_90105,"Ruby of Happiness II"
SYSTXT_SKILL_PANEL_90106,"Damage Diamond II"
SYSTXT_SKILL_PANEL_90107,"Emerald of Destiny"
SYSTXT_SKILL_PANEL_90108,"Fighting Power"
SYSTXT_SKILL_PANEL_90109,"Power to protect"
