Key,SourceString
SYSTXT_TITLE_DLCTXT_00010,"Super Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_00020,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_00030,"Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_00040,"PlayStation® Bonus（Metal Prince Prism）"
SYSTXT_TITLE_DLCTXT_00050,"PlayStation® Bonus（Lunatick Prism）"
SYSTXT_TITLE_DLCTXT_00060,"Download Bonus"
SYSTXT_TITLE_DLCTXT_00070,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_00080,"Lawson Loppi・HMV Order Bonus"
SYSTXT_TITLE_DLCTXT_00090,"Amazon Order Bonus"
SYSTXT_TITLE_DLCTXT_00100,"Square-Enix e-STORE Order Bonus"
SYSTXT_TITLE_DLCTXT_01010,"Super Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_01020,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_01030,"Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_01040,"Download Bonus"
SYSTXT_TITLE_DLCTXT_01050,"Lawson Loppi・HMV Order Bonus"
SYSTXT_TITLE_DLCTXT_01060,"Amazon Order Bonus"
SYSTXT_TITLE_DLCTXT_01070,"Square-Enix e-STORE Order Bonus"
SYSTXT_TITLE_DLCTXT_02010,"Preorder Bonus"
SYSTXT_TITLE_DLCTXT_02020,"Deluxe Edition Bonus"
SYSTXT_TITLE_DLCTXT_02030,"Download Bonus"
SYSTXT_TITLE_DLCTXT_02040,"Steam® Order Bonus"
SYSTXT_TITLE_DLCTXT_02050,"Square-Enix e-STORE Order Bonus"
SYSTXT_TITLE_DLCTXT_03010,"Adventure Step-Up Set"
SYSTXT_TITLE_DLCTXT_03020,"Bang-On Adventure Set"
SYSTXT_TITLE_DLCTXT_03030,"Adventure Challenge Set"
SYSTXT_TITLE_DLCTXT_03040,"All-Out Adventure Set 1"
SYSTXT_TITLE_DLCTXT_03045,"All-Out Adventure Set 2"
SYSTXT_TITLE_DLCTXT_03050,"Super Loiterer Adventure Guide Order Bonus"
SYSTXT_TITLE_DLCTXT_03060,"V Jump DQX Offline Bonus 1"
SYSTXT_TITLE_DLCTXT_03070,"V Jump DQX Offline Bonus 2"
SYSTXT_TITLE_DLCTXT_10010,"Received from Super Deluxe Edition\npurchase."
SYSTXT_TITLE_DLCTXT_10020,"Received from month-one purchase."
SYSTXT_TITLE_DLCTXT_10030,"Received from Super Deluxe Edition or\nDeluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_10040,"Received from PlayStation®5 Edition\n・PlayStation®4 Edition Super Deluxe\nEdition or Deluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_10050,"Received from PlayStation®5 Edition\n・PlayStation®4 Edition Standard Edition\n・Deluxe Edition・Super Deluxe Edition\npurchase."
SYSTXT_TITLE_DLCTXT_10060,"Received from Download Edition or\nSuper Deluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_10070,"Received from PlayStation™ Store\nPreorder purchase."
SYSTXT_TITLE_DLCTXT_10080,"Received from Lawson Loppi・HMV\npurchase."
SYSTXT_TITLE_DLCTXT_10090,"Received from Amazon purchase."
SYSTXT_TITLE_DLCTXT_10100,"Received from Square-Enix e-STORE\npurchase."
SYSTXT_TITLE_DLCTXT_11010,"Received from Super Deluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_11020,"Received from month-one purchase."
SYSTXT_TITLE_DLCTXT_11030,"Received from Super Deluxe Edition\nor Deluxe Edition purchase."
SYSTXT_TITLE_DLCTXT_11040,"Received from Download Edition or\nSuper Deluxe Edition purchase."
