Key,SourceString
SYSTXT_RESTRICTED_GAMEPLAY_00010,"Draconian Quests"
SYSTXT_RESTRICTED_GAMEPLAY_01010,"Cancel Draconian Quest"
SYSTXT_RESTRICTED_GAMEPLAY_01020,"Setup Draconian Quest"
SYSTXT_RESTRICTED_GAMEPLAY_01030,"Cancel active\nDraconian Quests"
SYSTXT_RESTRICTED_GAMEPLAY_02010,"Draconian Quest Status"
SYSTXT_RESTRICTED_GAMEPLAY_02020,"Achievement status"
SYSTXT_RESTRICTED_GAMEPLAY_02030,"Achieved"
SYSTXT_RESTRICTED_GAMEPLAY_02040,"Release"
SYSTXT_RESTRICTED_GAMEPLAY_02050,"Temporary release"
SYSTXT_RESTRICTED_GAMEPLAY_02060,"Setting up"
SYSTXT_RESTRICTED_GAMEPLAY_03010,"Draconian Quest settings"
SYSTXT_RESTRICTED_GAMEPLAY_03020,"Set and confirm\nDraconian Quest"
SYSTXT_RESTRICTED_GAMEPLAY_03110,"Check settings"
SYSTXT_RESTRICTED_GAMEPLAY_03120,"Screen display settings"
SYSTXT_RESTRICTED_GAMEPLAY_03130,"You can check the\nDraconian Quest you\nare trying."
SYSTXT_RESTRICTED_GAMEPLAY_03140,"Change screen\ndisplay settings\nfor Draconian Quests."
SYSTXT_RESTRICTED_GAMEPLAY_03210,"Screen display settings"
SYSTXT_RESTRICTED_GAMEPLAY_03220,"Yes"
SYSTXT_RESTRICTED_GAMEPLAY_03230,"No"
SYSTXT_RESTRICTED_GAMEPLAY_03240,"Display status\nof Draconian Quests\non screen."
SYSTXT_RESTRICTED_GAMEPLAY_03250,"Do not display the\nstatus of Draconian\nQuests on screen."
SYSTXT_RESTRICTED_GAMEPLAY_20010,"No Armor"
SYSTXT_RESTRICTED_GAMEPLAY_20020,"Reduced EXP from Easy Fights"
SYSTXT_RESTRICTED_GAMEPLAY_20030,"MP Consumption is Doubled"
SYSTXT_RESTRICTED_GAMEPLAY_20040,"Party Wiped Out if Protag Perishes"
SYSTXT_RESTRICTED_GAMEPLAY_20050,"All Enemies Are Super Strong"
SYSTXT_RESTRICTED_GAMEPLAY_20060,"No Fleeing from Battle"
SYSTXT_RESTRICTED_GAMEPLAY_20070,"Special Moves Consume 100 Tension"
SYSTXT_RESTRICTED_GAMEPLAY_20080,"Restrict Number of Items You Can Have"
SYSTXT_RESTRICTED_GAMEPLAY_30010,"You can't equip any defensive items,\nso you'll have to make the most of\nany spells, skills, or items that\ncan boost your survivability!"
SYSTXT_RESTRICTED_GAMEPLAY_30020,"Will not receive experience points\nfrom enemies whose level is lower\nthan your own! Target tougher\nenemies to level up!"
SYSTXT_RESTRICTED_GAMEPLAY_30030,"Special Skill MP consumption will\nbe doubled! Make it count!"
SYSTXT_RESTRICTED_GAMEPLAY_30040,"The whole party will be wiped out if\nthe protagonist is defeated. Make\nsure you keep them nice and safe!"
SYSTXT_RESTRICTED_GAMEPLAY_30050,"Enemies you encounter will be tougher\nthan usual, making your quest a true\ntest of your combat skills. Only\nhardened warriors need apply!"
SYSTXT_RESTRICTED_GAMEPLAY_30060,"You will no longer be able to run away from\nenemies in all battles.\nLet's make good use of\nskills and her tools!"
SYSTXT_RESTRICTED_GAMEPLAY_30070,"The tension consumption of all\nspecial moves will be the maximum\nvalue. Use it as your special trump\ncard in this particular situation."
SYSTXT_RESTRICTED_GAMEPLAY_30080,"There is a limit on the number of\nnon-material items you can carry.\nMake the most of your items!"
SYSTXT_RESTRICTED_GAMEPLAY_40010,"Please select the Draconian Quest you\nwould like to try."
SYSTXT_RESTRICTED_GAMEPLAY_40020,"You can check the progress of your limited play.\nHis Draconian Quest that have been completed will be marked with a ★.\nRecords of all adventures are reflected."
SYSTXT_RESTRICTED_GAMEPLAY_20011,"Cannot equip armor There are quests that\ncannot be cleared and occupations that\ncannot be obtained during limited play.\n<br>\nAre you sure you want to continue playing this way?\n(Tight play can be canceled even during the game)\n<yesno><break>"
SYSTXT_RESTRICTED_GAMEPLAY_20012,"The game will start with all equipped armor and accessories removed.\nRemoved equipment will be sent to his sobi bag."
SYSTXT_RESTRICTED_GAMEPLAY_20081,"The game will start with\n10 items other than materials.\nExcess items will be sent to her concierge."
SYSTXT_RESTRICTED_GAMEPLAY_40030,"New story added. Do you want to set up\nDraconian Quests?\n<yesno><break>"
SYSTXT_RESTRICTED_GAMEPLAY_20090,"Are you sure you want to continue\nplaying this Draconian Quest?\n(Draconian Quests can be canceled during the game)\n<yesno><break>"
SYSTXT_RESTRICTED_GAMEPLAY_20100,"Currently playing!"
