Key,SourceString
SYSTXT_MONSTER_TIPS1_MONSTER_NO_00208,"Skill Master's treasured child. \nShe overcame her trembling through training.\nThe \nstrike delivered from the steel protrusion is a powerful one."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_00703,"A monster clad in black fur that protects the \nGate of Trials. \nSkewer your prey with the BBQ stinger."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_01003,"Dark Spell An evil ghost body \nborn from Dormadon. \nHis favorite spell is \nOf course, he is Dormadon."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_01004,"If you are just playing around, \nkeep the enemy off guard and \nJibakuya Iogrande will \n inflict huge damage."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_01103,"Release all the tension that you have built up and \n will come at you in a state of super high tension."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_01203,"A monster feared as the devil's tentacles. \nDancing the hustle dance, \nhe heals his sea friends."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_01400,"A timid ghost that appears out of the blue and \n surprises travelers, but \n runs away when a battle begins."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_01407,"A master of the comedy world who is revered as a teacher by comedians around the world. \nHe is particularly particular about the Pafupafu performance."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_01911,"For generations, defeating the Mononoke for a trial that can only be summoned by the leader of the Yin group will greatly increase the \nYin power of the Heavenly Thunderer."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_03304,"A cheerful and energetic evil fairy who swings around a huge and ferocious dragonfly while \ngetting excited."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_04404,"Darkness in Sarashina's heart was born inside Sarashina, who was troubled by unrequited love. It splits into 3 bodies and \ncooperates to attack.\n Is she alone or not?"
SYSTXT_MONSTER_TIPS1_MONSTER_NO_05504,"A surprisingly dexterous tree monster that confuses enemies with its enchanting dance."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_06104,"A trial prepared by the sage Broggen to learn the \n secret technique of destroying evil. \nIt will be difficult for him to defeat the \n main body unless he sees through the illusion that has appeared."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07209,"A \n mysterious giant rock that I encountered in a strange parallel space. \nThe power of the explosion is \n said to be on the same level as a big bang."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07405,"A monster who is in charge of the clumsy children of the Elements and protects the \nGate of Trials. \nHe tries to use the breath of light, but \n he often falls down and fails."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07406,"A monster who is in charge of the handsome men of the Elements and protects the \nGate of Trials. \nIf you are captivated by the sweet mask, \nHe will ruthlessly kill you."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07407,"A monster that is in charge of the herbivores of the elements and protects the \nGate of Trials. \nHe usually has a calm personality, but \nhe changes when his friends get hurt."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07408,"A monster who is in charge of the elements and protects the \nGate of Trials. \nI feel more pleasure than anything in defeating enemies with my proud flame."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07409,"A monster who is in charge of sexy elements and protects the gate of \ntrials. \nIf you are attacked and your makeup breaks, \n you will get angry, so be careful."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07703,"One half of the savage twin gods who are the \n core of Chiya Arashi, the Great Calamity of Mizzou. \nI enjoy controlling the wind and blowing people away."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07903,"A \npitch black minnow created by monster merchants as a product through \n wicked methods. \nI can understand some people's words."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_07909,"A beast from the \nPhantom Bird Trial that once flew across the \nsky with hope on its wings. \nPray with hope in your heart!"
SYSTXT_MONSTER_TIPS1_MONSTER_NO_08201,"The fate of a poor hero who incurred the wrath of a god and was turned into a monster. \nWith a devastating blow or Zygodein,\nthrow away those who stand against you."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_08206,"A soldier who transformed into a monster. \nHe is good at raising the tension, and with his superhuman strength he can overwhelm everything \n."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_08300,"A \ncold and terrifying demon who guards the gates of hell. \nHe weakens his enemies with his power and uses the sickle in his hand to cut down their lives."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_08709,"A monster used by Captain Morva of the grave robbing group "Desert Earth Dragon". \nBe careful of the \n fierce attack using four arms."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_08804,"Captain Basler's transformation into a ferocious monster. His classic strategy is to use Rarihoma to make \nEmono fall asleep and eat \nMahyadedos."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09004,"A soldier who transformed into a monster. \nUses Bagimucho's spell.\nHis runaway rate is also high. \nHe is also good at attacks that take advantage of his huge body."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09005,"Those who are hostile to you will \nnot miss any of them and will attack all \n enemies with \njibiki and rengoku fireballs."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09310,"With a smooth and chewy body \noverflowing with love, \na beast of trial. \nEnvelop yourself with the power of compassion!"
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09409,"A monster carved from underground ice that protects the \nGate of Trials. \nHe gets excited all at once.\nHe defeats the challenger with her."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09607,"A ferocious demonic bird from the underworld. \nAlthough its sharp claws are dangerous, \nWhat you should be most wary of is \n its powerful dark magic."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09709,"Darkness within \n was born within Shrina, who was worried about her future. Be careful of the attack that she brings out after storing all the feelings that you can't handle."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09804,"A monster born in the dark deep sea. \nRun wildly and \nwipe out all the enemies around you."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09805,"Use your shout to stop the enemy,\nSwinging out your giant Masakari,\nYou will be shocked. \nBe careful of Melagaier as well."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09810,"A beast of trials that freely wields a large weapon and \n is not afraid of anything that stands in its way. \nStand up with courage!"
SYSTXT_MONSTER_TIPS1_MONSTER_NO_09811,"He wields a sharp weapon and \nNo matter how many times he kneels down, he bravely stands up\n to the trials that stand in his way. \nStand up with courage!"
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10105,"A huge bull-shaped monster that uses its width on the Togas Rock Road. \nTake advantage of its large body to launch powerful attacks."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10203,"A trial prepared by the sage Hollow to learn the \n secret technique of destroying evil. \nWith a roaring cry, \nnegates your attack."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10407,"A great devil who loves sweets and holds a giant spoon in his hand. \nAmong his fellow demons, he is known as a benevolent and \npersonal person."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10502,"A descendant of the \ntroll royal family that has existed since ancient times. \nIf you receive a devastating blow, \nbe prepared for death."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10506,"A self-proclaimed maiden troll. \nBut when it gets angry, its power is \ntremendous. It is the embodiment of violence that would be unsuspecting even \nan average troll."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10710,"A giant monster that once used \nthe researcher Delcroa. \nThe blow he delivers from his huge body can shatter even a huge rock."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10805,"An emerald-colored strange demon who freely wields a large ax and casts a strong wind spell.\nSends anyone who approaches hell."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_10808,"Contrary to \nhis appearance of a martial artist, he is a testing beast with \n wisdom and courage who has mastered the mysteries of spells. \nUse your wisdom to give up!"
SYSTXT_MONSTER_TIPS1_MONSTER_NO_11006,"Gieghammer's fighting instincts went out of control due to a certain man's plot. \nSwinging the hammer in a frenzy, \ndestroys everything in sight."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_11604,"The eldest of the three Anaume brothers. \nHis favorite color is blue. \nStop the opponent's movement with \n its specialty, Grave Hole."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_11605,"The second son of the three Anaume brothers. \nHis favorite color is green. \nHe loves battles, and \nhe is very quick to fight."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_11606,"The youngest of the three Anaume brothers. \nHer favorite color is red. \nStop the opponent's movement with \n its specialty, Grave Hole."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_12006,"A little mischievous \n rabbit girl. \nBertie and her are very good friends and \nlove jam."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_12007,"A little mischievous \n rabbit girl. \nJami and her are very good friends, and \nshe loves butter."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13009,"Twin dragons \n look so much alike that you can't tell them apart. \nThis attack will be nullified.\nBe careful as it uses Longan."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13104,"An ultra-rare species on the verge of extinction \nGolden King Lizard. \nFaber's partner \n has completely changed."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13306,"A monster in the form of a giant Mormon that protects the \nGate of Trials. \nDance a fascinating dance and steal the hearts of \nadventurers!"
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13407,"The soul of the Tenji Raimonshi who lost his life resided in the \nkatana and became a demon sword. \nDrops a dark meteor from the sky\nDrags it into the abyss of night."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13408,"Things that have been around for many years are filled with evil spirits and have taken the form of monsters. \nIt's fluffy and makes you let your guard down.\nIt comes to suck out your life force."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13500,"Kozou is good at doing mysterious dances, \n lowering defense power, and \n harassment. \nHe seems to have a pretty bad personality."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13501,"An evil fairy from hell who uses ice spell attacks and recovery spells. \nHe has a capricious personality."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13502,"In addition to using powerful ice spells, she is a multi-talented fairy who can perform \nmysterious dances and even chant \nZaoral."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13504,"Fight by fooling the \n opponent with \n skillful steps such as mysterious dances and \nmedapani dances."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13508,"A spirit princess who came from a land of flowers somewhere. \nShe transforms her opponents into roses.\nShe is a troubled princess who loves mischief."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13600,"It is said to be \nborn from the shadows of monsters. \nWraps the area in darkness.\nReduces attack power and magic power."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13601,"A monster that \n overflows from the depths of darkness, darker than a shadow. \nIt freezes travelers with its chilling dust and hydrangeas."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13602,"A ghost born from the grief and hatred of people. \nCast the death spell Zaraki. \nTurns the area into a world of death."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13609,"A doll made from mud that gains magical power and begins to move. \nI like to dance mysterious dances and \nlower the enemy's MP."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13701,"A doll that wanders aimlessly, abandoned by its owner's puppet master. \nIn addition to his mysterious dance, he also masters \nSkult's spells."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13702,"Proud of its rainbow-colored body. \nHe's good at mysterious dances, but \nhe also likes to use powerful explosive spells.\nHe's as good as he looks."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13800,"A \nfunky beastman with a bright red mohawk. \nWhile attacking and intimidating, \nrecite Behomara confidently."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13801,"A beastman with a face like a mad dog and sharp fangs. \nLet out a loud cry and \nmake everyone around you look up at her."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13900,"Like counting sheep, it makes you fall asleep with the peaceful sound of a whistle.\nVery troublesome beastmen. \nLet's defeat it as soon as possible."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13901,"Contrary to his playful appearance, \nHe curses with the sound of a flute and \n gathers his friends to attack.\nHe has an envious personality."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13903,"A ferocious, strange beastman said to have come from the demon world. \nThe sound of that flute gets them fired up, and \nthey attack like a nightmare."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_13904,"A \nsly and clever demon who serves the demon Enraja. \nIt will produce things such as bowls and magic horns, so defeat it quickly."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_14001,"A free-spirited humanoid monster said to have been born from the clouds. \nControls the monsters and \ncuts people with joy."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_14002,"A wizard with an evil heart who escaped from a \nlamp that was sealed away in the ancient times. \nIt is said to be able to freely control the wind."
SYSTXT_MONSTER_TIPS1_MONSTER_NO_14004,"A ferocious demon that was once sealed in Rinja Tower. \nIn order to increase the number of his servants, \nhe spreads evil spirits."
