Key,SourceString
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00208,"His potential was discovered by the skill master and he began his training. \nThe enemy is frightened by her strength.\nInvoluntarily, he begins to tremble."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00703,"The meat is apparently of exquisite taste, but \nall the cooks who challenged the Queen became prey to the horn. \nThis world is a survival of the fittest."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_01003,"Unlike the failed Mera Ghost, it is an \nelite ghost born from the \ntop-level dark spells of the selected magicians of the demon world!"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_01004,"I am very particular about the \nsharpness of the flickering flares, and \n get in a bad mood when the flare set is disrupted."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_01103,"As a legendary pickaxe user, \na master of tunnel construction is passed down from generation to generation among the Mole Demon Tribe. \nThere are countless caves that have been dug."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_01203,"In the past, it was \na gigantic monster octopus that could sink ocean ships, but \nTentacorus claims that it shrank due to the water pressure of the deep sea."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_01400,"The cheerful and angry ghost seems to be a \nghost writer who comes up with \ngags instead of \nstraw bags."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_01407,"The special trick ``Iyan Madante!'' is an old joke of Mr."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_01911,"It seems to be a fusion of the \n spirits of the ancestors of the shadows. \nPerhaps because of this, his personality is a bit twisted and holds grudges."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_03304,"Her round eyes are said to be \nher charm point, but \nthey blend in with her black body, so \nI don't really know what she really is."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_04404,"I'm a sinner for trying to \nact like this even though I was all about studying...\nSometimes I get lost in thoughts. It's my first love."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_05504,"Jinmenju has evolved as the leaves change color over the years. \nHis old-fashioned footwork \n has a reputation for being versatile."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_06104,"So lonely, Wow! As I was crying, I was picked up by the wise man Broggen. \nI have become attached to him ever since."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_07209,"It is said that only a \n patient bomb rock that endured \n the desire to explode without becoming desperate can become a \n big bang rock."
SYSTXT_MONSTER_TIPS2_MONSTER_NO_07405,"When I use Medapaneema, \nI try my best to resist the fact that I too feel confused. \nIts appearance is both adorable and cruel."
