Key,SourceString
SYSTXT_BATTLE_OPTION_00010,"Battle Speed"
SYSTXT_BATTLE_OPTION_00020,"Battle Commands"
SYSTXT_BATTLE_OPTION_01010,"Battle Settings"
SYSTXT_BATTLE_OPTION_01020,"Edit which\nspells and skills\nto display."
SYSTXT_BATTLE_OPTION_01030,"Please choose\nwhat to\nunhide."
SYSTXT_BATTLE_OPTION_10010,"Skill Settings"
SYSTXT_BATTLE_OPTION_10020,"Spell Settings"
SYSTXT_BATTLE_OPTION_10030,"Hidden Skills"
SYSTXT_BATTLE_OPTION_10040,"Hidden Spells"
SYSTXT_BATTLE_OPTION_10050,"Reset Sorting"
SYSTXT_BATTLE_OPTION_10060,"Hide"
SYSTXT_BATTLE_OPTION_10070,"Unhide"
SYSTXT_BATTLE_OPTION_10080,"Resetting will\nreturn everything to\nits original position.\n<br>\nAre you sure?\n<yesno2><break>"
SYSTXT_BATTLE_OPTION_10100,"No known skills."
SYSTXT_BATTLE_OPTION_10110,"No known spells."
SYSTXT_BATTLE_OPTION_19010,"Select the skill\nyou'd like to\nmove."
SYSTXT_BATTLE_OPTION_19020,"Select the skill\nto swap it\nwith."
SYSTXT_BATTLE_OPTION_19030,"Select the spell\nyou'd like to\nmove."
SYSTXT_BATTLE_OPTION_19040,"Select the spell\nto swap it\nwith."
SYSTXT_BATTLE_OPTION_20010,"Setting can't be used!"
SYSTXT_BATTLE_OPTION_21000,"Battle Settings"
SYSTXT_BATTLE_OPTION_22000,"Battle Speed"
SYSTXT_BATTLE_OPTION_22010,"Normal"
SYSTXT_BATTLE_OPTION_22020,"Fast"
SYSTXT_BATTLE_OPTION_22030,"Very Fast"
SYSTXT_BATTLE_OPTION_22040,"Confirm"
SYSTXT_BATTLE_OPTION_23000,"Skills"
SYSTXT_BATTLE_OPTION_23010,"Spells"
SYSTXT_BATTLE_OPTION_23020," - Warrior"
SYSTXT_BATTLE_OPTION_23030," - Priest"
SYSTXT_BATTLE_OPTION_23040," - Mage"
SYSTXT_BATTLE_OPTION_23050," - Martial Artist"
SYSTXT_BATTLE_OPTION_23060," - Thief"
SYSTXT_BATTLE_OPTION_23070," - Minstrel"
SYSTXT_BATTLE_OPTION_23080," - Battle Master"
SYSTXT_BATTLE_OPTION_23090," - Paladin"
SYSTXT_BATTLE_OPTION_23100," - Armamentalist"
SYSTXT_BATTLE_OPTION_23110," - Ranger"
SYSTXT_BATTLE_OPTION_23120," - Sage"
SYSTXT_BATTLE_OPTION_23130," - Superstar"
SYSTXT_BATTLE_OPTION_23140," - Dancer"
SYSTXT_BATTLE_OPTION_23150," - Gadabout"
SYSTXT_BATTLE_OPTION_23160," - Monster Master"
SYSTXT_BATTLE_OPTION_23170," - Item Master"
SYSTXT_BATTLE_OPTION_23180," - Fortune Teller"
SYSTXT_BATTLE_OPTION_23190," - Druid"
SYSTXT_BATTLE_OPTION_23200," - Adventurer"
SYSTXT_BATTLE_OPTION_24000,"      "
SYSTXT_BATTLE_OPTION_25000,"MP Cost"
SYSTXT_BATTLE_OPTION_25010,"Gold"
