Key,SourceString
SYSTXT_UI_SAKUSEN_00010,"Everyone is at full health,\nso nothing happened!"
SYSTXT_UI_SAKUSEN_00020,"But nothing happened!"
SYSTXT_UI_SAKUSEN_00030,"Everyone is near full health,\nso nothing happened!"
SYSTXT_UI_SAKUSEN_10010,"{Character_Active_Name} casts {Action_Name}!"
SYSTXT_UI_SAKUSEN_10020,"But they didn't have enough MP!"
SYSTXT_UI_SAKUSEN_10030,"But {Character_Passive_Name} did not come back to life!"
SYSTXT_UI_SAKUSEN_10040,"{Character_Passive_Name} has returned to life!"
SYSTXT_UI_SAKUSEN_10050,"The poison was cleared from {Character_Passive_Name}'s body!"
SYSTXT_UI_SAKUSEN_10060,"{Character_Passive_Name}'s curse has been broken!"
SYSTXT_UI_SAKUSEN_10070,"{Character_Passive_Name}'s has recovered {Recovery_Point} HP!"
