Key,SourceString
SYSTXT_Main_UI_00010,"Items"
SYSTXT_Main_UI_00020,"Spells"
SYSTXT_Main_UI_00030,"Equip"
SYSTXT_Main_UI_00040,"Records"
SYSTXT_Main_UI_00050,"Stats"
SYSTXT_Main_UI_00060,"Misc."
SYSTXT_Main_UI_01010,"Yes"
SYSTXT_Main_UI_01020,"No"
SYSTXT_Main_UI_10010,"Item Bag"
SYSTXT_Main_UI_10020,"Equipment Bag"
SYSTXT_Main_UI_10030,"Zoomstone"
SYSTXT_Main_UI_10050,"Currency Bag"
SYSTXT_Main_UI_10060,"Fish Bag"
SYSTXT_Main_UI_10070,"Monster Tarot"
SYSTXT_Main_UI_10080,"Blacksmithing"
SYSTXT_Main_UI_10090,"Alchemy Pot"
SYSTXT_Main_UI_10100,"Key Items"
SYSTXT_Main_UI_11010,"Do what?"
SYSTXT_Main_UI_11020,"Use"
SYSTXT_Main_UI_11030,"Discard"
SYSTXT_Main_UI_12010,"Big Size"
SYSTXT_Main_UI_12020,"King Size"
SYSTXT_Main_UI_12030,"Examine"
SYSTXT_Main_UI_12040,"Set Free"
SYSTXT_Main_UI_12050,"Fish Owned"
SYSTXT_Main_UI_19010,"You don't know the recipe!"
SYSTXT_Main_UI_19020,"You can't use that here!\nIt should be used in a safe place."
SYSTXT_Main_UI_19030,"You don't have any {Item_Type}!"
SYSTXT_Main_UI_19040,"Equipment"
SYSTXT_Main_UI_19050,"Fish"
SYSTXT_Main_UI_19060,"Subjugation Forms"
SYSTXT_Main_UI_19070,"Coins"
SYSTXT_Main_UI_50010,"Stats"
SYSTXT_Main_UI_50020,"Base"
SYSTXT_Main_UI_50030,"Equip"
SYSTXT_Main_UI_50040,"Set"
SYSTXT_Main_UI_50050,"Skill Points"
SYSTXT_Main_UI_50060,"Seed"
SYSTXT_Main_UI_50070,"Badge"
SYSTXT_Main_UI_50080,"Fishing BR"
SYSTXT_Main_UI_51010,"Resistance"
SYSTXT_Main_UI_51020,"Food Buff"
SYSTXT_Main_UI_51030,"No resistances."
SYSTXT_Main_UI_52010,"Vocations"
SYSTXT_Main_UI_53010,"Spells:"
SYSTXT_Main_UI_53020,"You don't know any spells!"
SYSTXT_Main_UI_54010,"Skills:"
SYSTXT_Main_UI_54020,"Required Skill Points"
SYSTXT_Main_UI_54030,"Required Level"
SYSTXT_Main_UI_54040,"Specials:"
SYSTXT_Main_UI_54050,"Tokugi"
SYSTXT_Main_UI_54060,"You don't know any specials!"
SYSTXT_Main_UI_54070,"You don't know any skills!"
SYSTXT_Main_UI_54080,"Other Occupations"
SYSTXT_Main_UI_54090,"(Exclusive)"
SYSTXT_Main_UI_54100,"Mastered Level"
SYSTXT_Main_UI_55010,"Mysterious Blacksmith"
SYSTXT_Main_UI_56010,"Fishing Battle Road"
SYSTXT_Main_UI_56020,"Battle Lord Rank"
SYSTXT_Main_UI_56030,"Battle Road Points:"
SYSTXT_Main_UI_56040,"To next rank:"
SYSTXT_Main_UI_56050,"Fishing Level"
SYSTXT_Main_UI_56060,"Fishing Experience:"
SYSTXT_Main_UI_56070,"To next level:"
SYSTXT_Main_UI_56080,"Rank"
SYSTXT_Main_UI_56090,"Fishing"
SYSTXT_Main_UI_56100,"Battle Lord"
SYSTXT_Main_UI_57010,"Money On Hand"
SYSTXT_Main_UI_57020,"Money In Bank"
SYSTXT_Main_UI_57030,"Mini Medals"
SYSTXT_Main_UI_57040,"Casino Chips"
SYSTXT_Main_UI_57050,"Fish Coin"
SYSTXT_Main_UI_57060,"Perfectionist's Pearls"
