Key,SourceString
ID_TEXT_UNUSEABLE_GENERAL,"{Character_Head} tried using {Item_Selected_Name}.\n<br>\nBut now nothing happened..."
ID_TEXT_DOUGUBUKURO_UNUSEABLE_NOTARGET_1,"{Character_Head} attempted to\nuse {Item_Selected_Name}. <br>"
ID_TEXT_DOUGUBUKURO_UNUSEABLE_NOTARGET_2_TOALL,"But {Character_Head} and others don't seem to need\nnow."
ID_TEXT_DOUGUBUKURO_UNUSEABLE_NOTARGET_2_TOONE,"But {Character_Selected_Name} doesn't seem to need\nnow."
ID_TEXT_DOUGUBUKURO_USEABLE_1_SINGULAR,"{Character_Head} used the\n{Item_Selected_Name}! <br>"
ID_TEXT_DOUGUBUKURO_USEABLE_1_PRURAL,"{Character_Head} used\n{Item_Selected_Quantity} of {Item_Selected_Name}! <br>"
ID_TEXT_DOUGUBUKURO_USEABLE_2_HP_SINGULAR,"{Character_Selected_Name}'s wounds have been healed!"
ID_TEXT_DOUGUBUKURO_USEABLE_2_HP_PRURAL,"{Character_Head}'s wounds have been healed!"
ID_TEXT_DOUGUBUKURO_USEABLE_2_MP_SINGULAR,"{Character_Selected_Name}'s MP has been recovered!"
ID_TEXT_DOUGUBUKURO_USEABLE_2_MP_PRURAL,"{Character_Head}'s MP has been recovered!"
ID_TEXT_DOUGUBUKURO_USEABLE_2_POISON,"The skull has disappeared from {Character_Selected_Name}'s body!"
ID_TEXT_DOUGUBUKURO_USEABLE_2_DEATH,"{Character_Selected_Name} is back!"
ID_TEXT_DOUGUBUKURO_USEABLE_2_STATUSUP,"{UpStatus_Name} of {Character_Selected_Name} has increased by\n{UpStatus_Point} points!"
ID_TEXT_DOUGUBUKURO_USEABLE_2_STATUSUP_PERCENT,"{UpStatus_Name} of {Character_Selected_Name} has increased by\n{UpStatus_Point}%!"
ID_TEXT_DOUGUBUKURO_USEABLE_SEISUI,"{Character_Head} is full of wisdom!\n<br>\nShe was enveloped in sacred power, making it difficult for monsters to notice her!"
ID_TEXT_DOUGUBUKURO_USEABLE_OTAKARASAGASINOSUZU,"{Character_Head} has searched for you!"
ID_TEXT_DOUGUBUKURO_REUSE_OTAKARASAGASINOSUZU,"Can I rewrite\nthe location of the treasure with new information?\n<yesno><break>"
ID_TEXT_DOUGUBUKURO_USEABLE_KISEKINOKOUSUI,"It's now easier to meet reincarnated monsters\n!"
ID_TEXT_DOUGUBUKURO_USEABLE_METALNAKOUSUI,"Metal monsters are now\neasier to meet!"
ID_TEXT_DOUGUBUKURO_USEABLE_GENKIDAMA,"Activated Double Time!"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_1,"{Item_Selected_Name} is a scout book for\n{Job_Type}!\nAre you sure you want to use it?\n<yesno><break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_2,"Read {Item_Selected_Name}.\n<br_break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_3,"{Character_Head} has learned how to recruit\n{Monster_Name} to\n!\n<br_break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_4,"Try using\nspecial skill ''Scout Attack'' on {Monster_Name}!\n<br_break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_5,"{Item_Selected_Name} was enveloped in\nlight and disappeared!\n<end>"
