Key,SourceString
SYSTXT_UI_Jumon_00010,"{Character_Active_Name} spoke {Action_Name_Spell}!"
SYSTXT_UI_Jumon_00020,"{Character_Active_Name} attempted to cast {Action_Name_Spell}."
SYSTXT_UI_Jumon_00030,"Which one should I use?"
SYSTXT_UI_Jumon_01010,"{Character_Active_Name} has performed {Action_Name_Ability}!"
SYSTXT_UI_Jumon_01020,"{Character_Active_Name} attempted to perform {Action_Name_Ability}."
SYSTXT_UI_Jumon_02010,"But it seems like it can't be used now."
SYSTXT_UI_Jumon_02020,"But I don't have enough MP!"
SYSTXT_UI_Jumon_10010,"But {Character_Passive_Name} doesn't \n need it now."
SYSTXT_UI_Jumon_10020,"{Character_Passive_Name}'s scratches have been healed!"
SYSTXT_UI_Jumon_10030,"{Character_Passive_Name}'s body is free of \n poison!"
SYSTXT_UI_Jumon_10040,"Wow, {Character_Passive_Name} has come back to life!"
SYSTXT_UI_Jumon_10050,"{Character_Passive_Name}'s wounds have been healed!"
SYSTXT_UI_Jumon_10060,"But {Character_Passive_Name} did not come back to life."
SYSTXT_UI_Jumon_10070,"But {Character_Passive_Name} is already dead."
SYSTXT_UI_Jumon_10080,"But {Character_Passive_Name} doesn't seem to need it now."
SYSTXT_UI_Jumon_11010,"Enveloped in sacred power, \nIt is now difficult to keep monsters at bay!"
SYSTXT_UI_Jumon_20010,"{Character_Active_Name} searched the treasure chest."
SYSTXT_UI_Jumon_20020,"But there's nothing nearby to look at!"
SYSTXT_UI_Jumon_20030,"There is nothing suspicious... \nIt looks like a normal treasure chest."
SYSTXT_UI_Jumon_20040,"A monster was hiding in the treasure chest! \nThe monster ran away!"
SYSTXT_UI_Jumon_21010,"{Character_Active_Name} is looking for you!"
SYSTXT_UI_Jumon_21020,"But I couldn't find anything."
SYSTXT_UI_Jumon_21030,"Can I \n rewrite your whereabouts with new information? \n<yesno><break>"
SYSTXT_UI_Jumon_22010,"{Character_Active_Name} had a meal!"
SYSTXT_UI_Jumon_22020,"{Character_Passive_Name}'s curse has been broken!"
SYSTXT_UI_Jumon_23010,"{Character_Passive_Name} pretended to be quiet."
SYSTXT_UI_Jumon_23020,"But since I'm on the dolboard, \nI can't pretend to be quiet!"
SYSTXT_UI_Jumon_24010,"\n Bad effects have disappeared from {Character_Passive_Name}!"
