Key,SourceString
SYSTXT_WARP_RIREMITO_00010,"Would you like to escape from the \n dungeon with Riremito? \n<yesno><break>"
SYSTXT_WARP_RIREMITO_00020,"Yes"
SYSTXT_WARP_RIREMITO_00030,"No"
SYSTXT_WARP_RIREMITO_01010,"{Character_Name} roared RIREMITO! \n<break>"
SYSTXT_WARP_RIREMITO_01020,"{Character_Name} used the tin from my memory!"
SYSTXT_WARP_RIREMITO_01030,"{Character_Name} tried using the tin of his memories as a \n tool."
SYSTXT_WARP_RIREMITO_02010,"But nothing happened here. \n<end>"
SYSTXT_WARP_RIREMITO_02020,"Would you like to escape from the \n dungeon with Riremito? \n<yesno><break>"
SYSTXT_WARP_RIREMITO_02030,"But it was drowned out by a mysterious power! \n<end>"
SYSTXT_WARP_RIREMITO_21010,"I will now escape from the dungeon. \nAre you sure? \n<yesno><close>"
