Key,SourceString
SYSTXT_SHOP_DOUGU_43020,"WAR"
SYSTXT_SHOP_DOUGU_43030,"PRI"
SYSTXT_SHOP_DOUGU_43040,"MGE"
SYSTXT_SHOP_DOUGU_43050,"MRT"
SYSTXT_SHOP_DOUGU_43060,"THF"
SYSTXT_SHOP_DOUGU_43070,"MIN"
SYSTXT_SHOP_DOUGU_43080,"BTL"
SYSTXT_SHOP_DOUGU_43090,"PLD"
SYSTXT_SHOP_DOUGU_43100,"ARM"
SYSTXT_SHOP_DOUGU_43110,"RNG"
SYSTXT_SHOP_DOUGU_43120,"SGE"
SYSTXT_SHOP_DOUGU_43130,"STA"
SYSTXT_SHOP_DOUGU_43140,"MON"
SYSTXT_SHOP_DOUGU_43150,"ITM"
SYSTXT_SHOP_DOUGU_43160,"DNC"
SYSTXT_SHOP_DOUGU_43170,"FOR"
SYSTXT_SHOP_DOUGU_43180,"DRU"
SYSTXT_SHOP_DOUGU_43190,"GAD"
