Key,SourceString
SYSTXT_BR_RECEPTION_NPC_01010,"Welcome to the Monster Battle Road!\n<br>\nBattle Roadとは　Friend Monsterの\n　強さを競い　誇りと誇りをかけて戦う\n　アラハギーロ王国の　伝統ある競技です！\n<br>\nBattle Roadに出場するには\n　Friend Monster４匹が必要なのですが……\n　どうやら　お持ちではないようですね。\n<br>\nFriend Monsterが　４匹以上になったら\n　ぜひとも　また　お越しくださいませ。\n　ご参加　いつでも　お待ちしておりますわ！\n<end>"
SYSTXT_BR_RECEPTION_NPC_01020,"Welcome to the Monster Battle Road!\n<br>\nBattle Roadとは　Friend Monsterの\n　強さを競い　誇りをかけて戦う\n　アラハギーロの　伝統ある競技です！\n<br>\n戦いに参加できるのは　Friend Monster４匹。\n　どうぐは一切使えない　ガチンコBattleですわ！\n<br>\n勝者には　豪華景品は　もちろんのこと\n　Friend Monsterと　心を通わせた者として\n　最高の名誉が与えられますの！\n<br>\nさあ　いかがでしょう　お客様！\n　Battle Roadに　出場登録なさいますか？\n<yesno><break>"
SYSTXT_BR_RECEPTION_NPC_01030,"Certainly!　では　ええと……\n　{Character_Name}様は　はじめてのご出場ですので\n　ＧRankからの　スタートになりますわ。\n<br>\nBattle Roadでは　出場者の強さに応じた\n　Rank制度を設けています。Rankが上がれば\n　対戦相手は強くなり　景品が豪華になるんです！\n<br>\nRankを上げるには　試合に勝てばもらえる\n　Battle Roadポイントを　ためてください。\n　Rank-up Examの挑戦権が　与えられますの！\n<br>\n現在は　ＳRankまで　解放されてますわ。\n　とにかく　どんどん試合に勝って\n　Rank-upを目指してくださいませ！\n<br>\nそれでは　改めまして……\n<end>"
SYSTXT_BR_RECEPTION_NPC_01040,"あらっ　残念ですわ。\n　気が変わったら　いつでも　お越しくださいね！\n<end>"
SYSTXT_BR_RECEPTION_NPC_01050,"まあっ　{Character_Name}様\n　お待ちしておりました！\n<br>\nついに　{Character_Name}様の\n　Battle Roadポイントが　条件をみたしたので\n　Rank-up Examに　ご挑戦いただけますわ！\n<br>\nご準備ができましたら　となりにいる\n　チャンプ教官に　声をおかけください。\n　健闘を　お祈りしております！\n<br>\nもちろん　いつもの　Battle Roadにも\n　ご参加いただけますわ。さて……\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01060,"Battle Roadポイントが　条件をみたしたので\n　Rank-up Examに　ご挑戦いただけます！\n　チャンプ教官に　声をおかけください。さて……\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01070,"Welcome to the Monster Battle Road!\nWhat would you like to do?\n<break>"
SYSTXT_BR_RECEPTION_NPC_01080,"他に　ご用は　ありますか？\n<break>"
SYSTXT_BR_RECEPTION_NPC_01090,"ありがとうございました！\n　Monster Battle Roadは　いつでも\n　ご来場を　お待ちしております！\n<end>"
SYSTXT_BR_RECEPTION_NPC_01100,"Battle Roadに　エントリーするには\n　まず最初に　Partyの作成が必要ですわ。\n　''Party Setup''を　お選びくださいませ。\n<end>"
SYSTXT_BR_RECEPTION_NPC_01110,"それでは参加される試合の\n　Rankを　お選びくださいませ！\n<break>"
SYSTXT_BR_RECEPTION_NPC_01120,"対戦Partyを　お選びください！\n　名前が　黄色く表示されているものがあれば\n　手強い相手なので　ご注意くださいね。\n<break>"
SYSTXT_BR_RECEPTION_NPC_01130,"''{Match_Party}''との対戦で\n　よろしいですか？\n<yesno><break>"
SYSTXT_BR_RECEPTION_NPC_01140,"……あらっ？　どうぐかばんが　いっぱいで\n　報酬が　受け取れないので\n　その対戦Partyは　お選びいただけませんわ。　\n<end>"
SYSTXT_BR_RECEPTION_NPC_01150,"あら…　コインの上限を超えてしまいますわね。\n　上限を超える分は　かくとくできませんが\n　その対戦Partyで　よろしいですか？\n<yesno><break>"
SYSTXT_BR_RECEPTION_NPC_01160,"Battle Roadに参加するには　まず\n　''Party Setup''で　Friend Monsterたちの\n　Party登録が　必要になっておりますの。\n<br>\nまずは　''Party Setup''を\n　お願いいたしますわ。\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01170,"ここでは　Battle Roadに出場する\n　Partyの作成や　そうびの変更ができます。\n　まず　''Partyを作成''を　お選びください。\n<break>"
SYSTXT_BR_RECEPTION_NPC_01180,"Partyを　バッチリ作成できましたか？\n　Partyの作成が　できましたら　次は\n　''そうび変更・登録''を　オススメしますわ！\n<break>"
SYSTXT_BR_RECEPTION_NPC_01190,"Party Setupで　ございますね！\nWhat would you like to do?\n<break>"
SYSTXT_BR_RECEPTION_NPC_01200,"他に　何か準備することは　ございますか？\n<break>"
SYSTXT_BR_RECEPTION_NPC_01210,"Battle Roadに出場する　Partyに入れる\n　Friend Monsterを　４匹　お選びください。\n<break>"
SYSTXT_BR_RECEPTION_NPC_01220,"どの　Friend Monsterを\n　Partyに　くわえますか？\n<break>"
SYSTXT_BR_RECEPTION_NPC_01230,"{FriendMonster_Name}を　Partyに　くわえた！<end>"
SYSTXT_BR_RECEPTION_NPC_01240,"入れ替えたMonsterは\n　バッジが　はずれてしまいますが\n　よろしいですか？\n<yesno 2><break>"
SYSTXT_BR_RECEPTION_NPC_01250,"{FriendMonster_Name}ですね。\n　すでに　Partyに参加されているので\n　順番の変更となりますが　よろしいですか？　\n<yesno><break>"
SYSTXT_BR_RECEPTION_NPC_01260,"{FriendMonster_Name}の順番を　入れ替えた！<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01270,"あらっ？　Partyの作成の途中ですが\n　この状態を　破棄して\n　終了して　よろしいでしょうか？\n<yesno 2><break>"
SYSTXT_BR_RECEPTION_NPC_01280,"Partyを作成するには\n　Friend Monster４匹の登録が　必要です。\n　Friend Monsterを４匹　お選びくださいませ。\n<end>"
SYSTXT_BR_RECEPTION_NPC_01290,"それでは　こちらのPartyを\n　Battle Road出場メンバーとして\n　登録して　よろしいでしょうか？\n<yesno><break>"
SYSTXT_BR_RECEPTION_NPC_01300,"Partyを　登録いたしました！\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01310,"<バッジ名>は\n<モンスター名>が　装備中です。\nはずして　<モンスター名>が　装備しますか？"
SYSTXT_BR_RECEPTION_NPC_01320,"<バッジ名>は\n他のFriend Monsterが装備しています。\nどのFriend Monsterから　はずして装備しますか？"
SYSTXT_BR_RECEPTION_NPC_01330,"あらっ？　{Character_Name}様は\n　バッジを　お持ちではないようですわ。\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01340,"バッジのそうびは　Partyを作成してから\n　ご利用になれますわ。まずは\n　''Partyを作成''を　お選びくださいませ。\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01350,"Partyメンバーの　さくせんを\n　設定してくださいませ。\n<break>"
SYSTXT_BR_RECEPTION_NPC_01360,"さくせんの変更は　Partyを作成してから\n　ご利用になれますわ。まずは\n　''Partyを作成''を　お選びくださいませ。\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01370,"つよさの確認は　Partyを作成してから\n　ご利用になれますわ。まずは\n　''Partyを作成''を　お選びくださいませ。\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01380,"何について　ご説明いたしますか？\n<break>"
SYSTXT_BR_RECEPTION_NPC_01390,"他に　何か　ご説明いたしますか？\n<break>"
SYSTXT_BR_RECEPTION_NPC_01400,"Monster Battle Roadとは　Friend Monsterの\n　強さを競って戦う　伝統ある競技です！\n　どうぐは一切使えない　ガチンコBattleですわ。\n<br>\nBattle Roadでは　出場者の強さに応じた\n　Rank制度を設けています。Rankが上がれば\n　対戦相手は強くなり　景品が豪華になるんです！\n<br>\nRankを上げるには　試合に勝てばもらえる\n　Battle Roadポイントを　ためてください。\n　Rank-up Examの挑戦権が　与えられますの。\n<br>\nBattleに勝てば　それ以外にも　\n　Battle Roadコインというものが　もらえて\n　隣の景品交換所で　景品に交換できますわ。\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01410,"Battle Roadには　Friend Monster４匹の\n　Partyで　Battleに参加します！\n<br>\nFriend Monsterには\n　さくせんで　''めいれいさせろ''　を選ぶと\n　試合中に　命令をすることができますわ。\n<bw_break>"
SYSTXT_BR_RECEPTION_NPC_01420,"バッジは　Battle Roadで\n　勝ち上がっていくためには　必需品とも言える\n　装備品ですわ！\n<br>\nFriend Monsterに　装備させることで\n　能力を強化したり　とくぎを覚えたりと\n　いろんな効果が　ありますの。\n<br>\nBattle Roadの装備と　通常の装備は\n　わかれているので　お気をつけくださいませ。\n<br>\nBattle Road用の　バッジを装備させる時は\n　わたくしに　声を　おかけくださいませ！\n<br>\nそれと　バッジを手に入れる方法ですが\n　まず　Battle Roadで勝利した時に\n　手に入ることが　ありますわ！\n<br>\nそれから　Battle Roadコインを集めれば\n　となりの景品交換所で　バッジパックに\n　交換することが　できますの。\n<br>\nそれから　ムーニ……あっ　いえっ！！\n　……バッジじいさんという方が　この辺りに\n　いつも　いらっしゃるのは　ご存じですか？\n<br>\nバッジじいさんは　いらなくなったバッジを\n　引き取って　バッジコインに変えてくれます。\n<br>\nバッジコインを集めると\n　好きなバッジと　交換してくださるそうですので\n　ご興味があれば　声を　おかけくださいませ。\n<bw_break>"
