Key,SourceString
SYSTXT_BATTLEROAD_00010,"Battle Road Desk"
SYSTXT_BATTLEROAD_00020,"Battle entry"
SYSTXT_BATTLEROAD_00030,"Party setup"
SYSTXT_BATTLEROAD_00040,"Listen to explanation"
SYSTXT_BATTLEROAD_00050,"Complete registration\nPartyで\nBattleへ参加"
SYSTXT_BATTLEROAD_00060,"Party registration and\nchange equipment, etc.\n準備をします"
SYSTXT_BATTLEROAD_00070,"About Battle Road System"
SYSTXT_BATTLEROAD_00080,"Current Rank: "
SYSTXT_BATTLEROAD_00090,"Rank"
SYSTXT_BATTLEROAD_00100,"Current BP: "
SYSTXT_BATTLEROAD_00110,"Until next rank: "
SYSTXT_BATTLEROAD_00120,"S"
SYSTXT_BATTLEROAD_00130,"A"
SYSTXT_BATTLEROAD_00140,"B"
SYSTXT_BATTLEROAD_00150,"C"
SYSTXT_BATTLEROAD_00160,"D"
SYSTXT_BATTLEROAD_00170,"E"
SYSTXT_BATTLEROAD_00180,"F"
SYSTXT_BATTLEROAD_00190,"G"
SYSTXT_BATTLEROAD_01010,"Battle Road Description"
SYSTXT_BATTLEROAD_01020,"About Battles"
SYSTXT_BATTLEROAD_01030,"About Parties"
SYSTXT_BATTLEROAD_01040,"About Badges"
SYSTXT_BATTLEROAD_02010,"Rank Selection"
SYSTXT_BATTLEROAD_02020,"S Rank"
SYSTXT_BATTLEROAD_02030,"A Rank"
SYSTXT_BATTLEROAD_02040,"B Rank"
SYSTXT_BATTLEROAD_02050,"C Rank"
SYSTXT_BATTLEROAD_02060,"D Rank"
SYSTXT_BATTLEROAD_02070,"E Rank"
SYSTXT_BATTLEROAD_02080,"F Rank"
SYSTXT_BATTLEROAD_02090,"G Rank"
SYSTXT_BATTLEROAD_03010,"の対戦Party　一覧"
SYSTXT_BATTLEROAD_03020,"BP: "
SYSTXT_BATTLEROAD_03030,"Coin: "
SYSTXT_BATTLEROAD_03040,"Next Rank: "
SYSTXT_BATTLEROAD_04010,"Battle Results"
SYSTXT_BATTLEROAD_04020,"Battle Road Point"
SYSTXT_BATTLEROAD_04030,"Battle Road Coin"
SYSTXT_BATTLEROAD_04040,"Until next rank-up exam"
SYSTXT_BATTLEROAD_04050,"Point"
SYSTXT_BATTLEROAD_04060,"へのExamが受けられるようになった！"
SYSTXT_BATTLEROAD_05010,"Partyを作成"
SYSTXT_BATTLEROAD_05020,"Battleに参加する\nPartyを\nRegistrationします"
SYSTXT_BATTLEROAD_05030,"Obtained the\nEquipment Badgeや\n閲覧ができます"
SYSTXT_BATTLEROAD_05040,"Change Optionsや\n使用特技の\n設定ができます"
SYSTXT_BATTLEROAD_05050,"Monsterの\nつよさを\n確認します"
SYSTXT_BATTLEROAD_06010,"(Monster Friend Selection)"
SYSTXT_BATTLEROAD_06020,"[おとも中]"
SYSTXT_BATTLEROAD_07010,"Change Options"
SYSTXT_BATTLEROAD_08010,"Rank Limit"
SYSTXT_BATTLEROAD_09010,"Badge Collection"
SYSTXT_BATTLEROAD_10010,"Badge Exchange"
