Key,SourceString
SYSTXT_CAREER_STORY_YYY2_001,"港町レンドアでは　グランドタイタス号の\n出港準備が　進んでいる。\n旅のコンシェルジュに　出港に関する\n特別な依頼が　送られたようだ。\n旅のコンシェルジュの所に　行ってみよう。"
SYSTXT_CAREER_STORY_YYY2_002,"港町レンドアでは　グランドタイタス号の\n出港準備が　進んでいる。\n{PC}は　旅のコンシェルジュからの\n特別な依頼を果たし　乗船パス引換券を\n手に入れた。\n港町レンドア南の　船舶管理局にいる\nスギム局長に　渡せばいいようだ。"
SYSTXT_CAREER_STORY_YYY2_003,"{PC}は　港町レンドア南の\n船舶管理局にいる　スギム局長に\n乗船パス引換券と　タイタス号乗船パスを\n交換してもらった。賢者ホーローが\n完成した魔法の羅針盤を　届けに現れ\nついに　出港準備が　ととのった。\nグランゼドーラ王国の　勇者姫に会うため\nグランドタイタス号に　乗り込もう。"
SYSTXT_CAREER_STORY_YYY3_001,"{PC}は　港町レンドア南に\n停泊する　グランドタイタス号に乗船した。\nダグという男が　ある青年に　乗船券を\n高く売りつけようとしているのを見るが\n青年は不思議なチカラで　安く買い取ると\n船に乗り込んでいった。\nグランドタイタス号は　人々の見送る中\nレンダーシアへ向けて　出航した。"
SYSTXT_CAREER_STORY_YYY3_002,"グランドタイタス号の船上　{PC}は\n魔法の羅針盤が　消失するという事件に\n出くわしたが　クロウズと名乗る青年の\n不思議なチカラによって　魔法の羅針盤の\n行方を知る人物が　あぶりだされた。\n最初に操舵室を出ていった　赤い髪の船員は\n１階のデッキに　向かったようだ。"
SYSTXT_CAREER_STORY_YYY3_003,"魔法の羅針盤を盗んだ　船員の正体は\n冥王ネルゲルの使いの魔物だったが\nクロウズの活躍により　魔法の羅針盤を\n無事に　取り戻すことができた。\nグランドタイタス号は　迷いの霧に向けて\n航行を再開した。グランゼドーラ王国に\n到着するまでの間　休みたい場合は\n１階カウンターの客室案内係と　話そう。"
SYSTXT_CAREER_STORY_NIS1_001,"レンダーシア大陸のグランゼドーラ王国に\n向かって航行を続け　迷いの霧を抜けた\nグランドタイタス号だったが\n潮の流れが強く　王国の港とは異なる\nココラタの浜辺に　停泊することに。\nグランゼドーラ王国へは　ここから\n陸路で向かうしかないようだ。"
SYSTXT_CAREER_STORY_NIS1_002,"レンダーシア大陸のグランゼドーラ王国に\n向かって航行を続け　迷いの霧を抜けた\nグランドタイタス号だったが\n潮の流れが強く　王国の港とは異なる\nココラタの浜辺に　停泊することに。\nグランゼドーラ王国へは　ここから\n陸路で向かうしかないようだ。"
SYSTXT_CAREER_STORY_NIS1_003,"{PC}は　ココラタの浜辺から\nグランゼドーラ王国を目指したが\n三門の関所の　グランゼドーラへ通じる門は\n閉ざされていることが　判明した。\nそこに現れたクロウズに　門を越えたければ\nメルサンディ村　セレドの町\nアラハギーロ王国で　３匹の蝶を探して\nここに戻ってくればいい！　と言われた。"
SYSTXT_CAREER_STORY_NIS1_004,"{PC}は　メルサンディ村\nセレドの町　アラハギーロ王国をめぐって\n蝶にまつわる　３つの品を集めた。\nクロウズによると　それらを持っていれば\nグランゼドーラへの門が　開かれるらしい。\n三門の関所へ　行ってみよう。"
SYSTXT_CAREER_STORY_NIS1_005,"蝶にまつわる　３つの品を集め\n三門の関所の　グランゼドーラへの門に\n向かったが　門番の兵士に阻まれた。\nクロウズに　３つの蝶を渡すと　そこに\nMishuaが現れ　なぜか通行を許可された。\n{PC}たちは　それに便乗して\n門を通ることができた。\nグランゼドーラ王国に　向かおう。"
SYSTXT_CAREER_STORY_NIS1_006,"蝶にまつわる　３つの品を集め\n三門の関所の　グランゼドーラへの門に\n向かったが　門番の兵士に阻まれた。\nクロウズに　３つの蝶を渡すと　そこに\nMishuaが現れ　なぜか通行を許可された。\n{PC}たちは　それに便乗して\n門を通ることができた。\nグランゼドーラ王国に　向かおう。"
SYSTXT_CAREER_STORY_NIS1_007,"蝶にまつわる　３つの品を集め\n三門の関所の　グランゼドーラへの門に\n向かったが　門番の兵士に阻まれた。\nクロウズに　３つの蝶を渡すと　そこに\nMishuaが現れ　なぜか通行を許可された。\n{PC}たちは　それに便乗して\n門を通ることができた。\nグランゼドーラ王国に　向かおう。"
SYSTXT_CAREER_STORY_NIS1_009,"港町レンドア～ココラタの浜辺間を\n航行していた　グランドタイタス号だったが\n賢者ホーローが　新しく作りあげた\n魔法の羅針盤により　グランゼドーラ王国へ\nたどり着くことができた。\nこれにより　グランゼドーラ王国と\n港町レンドアを結ぶ航路が　復活した。　"
SYSTXT_CAREER_STORY_NIS2_001,"We arrived at Melsandy Village."
SYSTXT_CAREER_STORY_NIS2_002,"３匹の蝶を探す途中で　{PC}は\nメルサンディ村に　たどり着いた。\n村の入り口で　Mishuaという名の村娘と\nラスカという少年に出会い　歓迎されたが\n門番の青年には　化け物の手先と疑われた。\n村では　何か　事件が起こっているようだ。\n村長の家へ　行ってみよう。"
SYSTXT_CAREER_STORY_NIS2_003,"村長の家を訪ねると　ガッシュ村長と\n息子のラスカが　かつて　村を救った英雄\nザンクローネのことで　ケンカをしていた。\n村は　謎の化け物に襲われているらしい。\n村人が行方不明との　しらせがあり\n{PC}は　母親のことを心配する\nガッシュに　村の北西のメルン水車郷へ\n母親を迎えに行ってほしい！　と頼まれた。"
SYSTXT_CAREER_STORY_NIS2_004,"村長の家を訪ねると　ガッシュ村長と\n息子のラスカが　かつて　村を救った英雄\nザンクローネのことで　ケンカをしていた。\n村は　謎の化け物に襲われているらしい。\n村人が行方不明との　しらせがあり\n{PC}は　母親のことを心配する\nガッシュに　村の北西のメルン水車郷へ\n母親を迎えに行ってほしい！　と頼まれた。"
SYSTXT_CAREER_STORY_NIS2_005,"泣いているラスカを　なぐさめていた\n村娘のMishuaと一緒に\nメルン水車郷へ向かった　{PC}。\n水車小屋に住む　ガッシュ村長の母親コペは\nMishuaの説得で　村へ帰るのを　納得したが\nその前に　{PC}とMishuaは\n水車小屋の修理を　することになった。"
SYSTXT_CAREER_STORY_NIS2_006,"水車小屋を　修理しにいくと\n２匹のウサギの魔物が　水車の歯車に\nしびれくらげを　押し込んでいた。\nウサギの魔物たちは　{PC}を見ると\nあわてて逃げだし　しびれくらげは\nうれしそうに　川へ帰っていった。"
SYSTXT_CAREER_STORY_NIS2_008,"Mishuaの提案で　チカラを合わせて\n小川の掃除もこなした　{PC}たち。\nMishuaは　村に来る前の記憶を\n失っていることを明かし　メルサンディ村で\n生きていく決意を語った。\nそこに　しびれくらげが現れ　助けたお礼に\n紅蓮の大宝石をくれたが　コペに奪われた。\nコペを　メルサンディ村に連れて帰ろう。"
