Key,SourceString
SYSTXT_LOADING_ARASUJI_YYY2_001,"港町レンドアでは　グランドタイタス号の\n出港準備が　進んでいる。\n旅のコンシェルジュに　出港に関する\n特別な依頼が　送られたようだ。\n旅のコンシェルジュの所に　行ってみよう。"
SYSTXT_LOADING_ARASUJI_YYY2_002,"港町レンドアでは　グランドタイタス号の\n出港準備が　進んでいる。\n{PC}は　旅のコンシェルジュからの\n特別な依頼を果たし　乗船パス引換券を\n手に入れた。\n港町レンドア南の　船舶管理局にいる\nスギム局長に　渡せばいいようだ。"
SYSTXT_LOADING_ARASUJI_YYY2_003,"{PC}は　港町レンドア南の\n船舶管理局にいる　スギム局長に\n乗船パス引換券と　タイタス号乗船パスを\n交換してもらった。賢者ホーローが\n完成した魔法の羅針盤を　届けに現れ\nついに　出港準備が　ととのった。\nグランゼドーラ王国の　勇者姫に会うため\nグランドタイタス号に　乗り込もう。"
SYSTXT_LOADING_ARASUJI_YYY3_001,"{PC}は　港町レンドア南に\n停泊する　グランドタイタス号に乗船した。\nダグという男が　ある青年に　乗船券を\n高く売りつけようとしているのを見るが\n青年は不思議なチカラで　安く買い取ると\n船に乗り込んでいった。\nグランドタイタス号は　人々の見送る中\nレンダーシアへ向けて　出航した。"
SYSTXT_LOADING_ARASUJI_YYY3_002,"グランドタイタス号の船上　{PC}は\n魔法の羅針盤が　消失するという事件に\n出くわしたが　クロウズと名乗る青年の\n不思議なチカラによって　魔法の羅針盤の\n行方を知る人物が　あぶりだされた。\n最初に操舵室を出ていった　赤い髪の船員は\n１階のデッキに　向かったようだ。"
SYSTXT_LOADING_ARASUJI_YYY3_003,"魔法の羅針盤を盗んだ　船員の正体は\n冥王ネルゲルの使いの魔物だったが\nクロウズの活躍により　魔法の羅針盤を\n無事に　取り戻すことができた。\nグランドタイタス号は　迷いの霧に向けて\n航行を再開した。グランゼドーラ王国に\n到着するまでの間　休みたい場合は\n１階カウンターの客室案内係と　話そう。"
SYSTXT_LOADING_ARASUJI_NIS1_001,"レンダーシア大陸のグランゼドーラ王国に\n向かって航行を続け　迷いの霧を抜けた\nグランドタイタス号だったが\n潮の流れが強く　王国の港とは異なる\nココラタの浜辺に　停泊することに。\nグランゼドーラ王国へは　ここから\n陸路で向かうしかないようだ。"
SYSTXT_LOADING_ARASUJI_NIS1_002,"レンダーシア大陸のグランゼドーラ王国に\n向かって航行を続け　迷いの霧を抜けた\nグランドタイタス号だったが\n潮の流れが強く　王国の港とは異なる\nココラタの浜辺に　停泊することに。\nグランゼドーラ王国へは　ここから\n陸路で向かうしかないようだ。"
SYSTXT_LOADING_ARASUJI_NIS1_003,"{PC}は　ココラタの浜辺から\nグランゼドーラ王国を目指したが\n三門の関所の　グランゼドーラへ通じる門は\n閉ざされていることが　判明した。\nそこに現れたクロウズに　門を越えたければ\nメルサンディ村　セレドの町\nアラハギーロ王国で　３匹の蝶を探して\nここに戻ってくればいい！　と言われた。"
SYSTXT_LOADING_ARASUJI_NIS1_004,"{PC}は　メルサンディ村\nセレドの町　アラハギーロ王国をめぐって\n蝶にまつわる　３つの品を集めた。\nクロウズによると　それらを持っていれば\nグランゼドーラへの門が　開かれるらしい。\n三門の関所へ　行ってみよう。"
SYSTXT_LOADING_ARASUJI_NIS1_005,"蝶にまつわる　３つの品を集め\n三門の関所の　グランゼドーラへの門に\n向かったが　門番の兵士に阻まれた。\nクロウズに　３つの蝶を渡すと　そこに\nMishuaが現れ　なぜか通行を許可された。\n{PC}たちは　それに便乗して\n門を通ることができた。\nグランゼドーラ王国に　向かおう。"
SYSTXT_LOADING_ARASUJI_NIS1_006,"蝶にまつわる　３つの品を集め\n三門の関所の　グランゼドーラへの門に\n向かったが　門番の兵士に阻まれた。\nクロウズに　３つの蝶を渡すと　そこに\nMishuaが現れ　なぜか通行を許可された。\n{PC}たちは　それに便乗して\n門を通ることができた。\nグランゼドーラ王国に　向かおう。"
