Key,SourceString
Content_ID_TIPS_BASIC_00010,"人と話したり　ものを調べたりするときは <emoji FaceButton_Right>を使います。 調べられる物に近づくと　カーソルが出るので それを目印に　いろいろ調べてみましょう。"
Content_ID_TIPS_BASIC_00020,"冒険をしていて どこに行けばいいのか　わからなくなったら 地図を見て　ピンクの<emoji Fukidashi_Icon>が出ている人がいないか 確認してみましょう。 次の目的地など　ヒントを聞くことができます。 自分のまわりの地図は　画面左下に表示されています。 また　<emoji FaceButton_Left>で　広範囲の地図を見ることもできます。"
Content_ID_TIPS_BASIC_00030,"フィールドや町には　ロープや　はしごなどで のぼったり　おりたりして 移動できる場所があります。 近づいて調べてみましょう。"
Content_ID_TIPS_BASIC_00040,"フィールドなどで　キラキラ光っている場所を 見つけたら　アイテムが手に入るので 調べてみましょう。 キラキラは　拾うとなくなりますが マップを移動したり　時間がたつと 復活して　また拾えるようになります。"
Content_ID_TIPS_BASIC_00050,"教会の神父や　シスターのもとで おいのりをすることで　冒険の書に それまでの冒険を　記録することができます。 記録をすると　その続きから　冒険を再開できるので こまめに　おいのりすることを　心がけましょう。"
Content_ID_TIPS_BASIC_00060,"冒険をしていると　オートセーブが 行われることがあります。 画面の右下に　「オートセーブしました」と 表示されている間は　電源を切ったり　 リセットを　しないでください。 冒険の書に記録し忘れて　冒険を中断してしまっても オートセーブから　冒険を再開することができます。"
Content_ID_TIPS_BASIC_00070,"バトルに参加できる人数は　最大４人までで このメンバーを　バトルメンバーと呼びます。 バトルに参加しない仲間は　スタンバイと呼ばれ 『さくせん』の『いれかえ』で入れ替えられます。 スタンバイにいても　経験値は同じだけもらえます。 戦うモンスターや　仲間の状態に応じて バトルメンバーの組み合わせを　かえてみましょう。"
Content_ID_TIPS_BASIC_00080,"<emoji RightStick>で　カメラの向きを　操作することができます。 カメラの向きを　キャラの向いている方向に したいときは　<emoji RightStickButton>を押してください。"
Content_ID_TIPS_BASIC_00090,"フィールドや町などで　<emoji LeftShoulder>を押すと 自分が向いている方向へ 自動で走り続けることができます。 走っている間も　<emoji LeftStick>で　走る方向を変えたり <emoji FaceButton_Bottom>でジャンプをしたりできます。"
Content_ID_TIPS_BASIC_00100,"フィールドで　<emoji LeftTrigger>を押すと ドルボードに乗ることができます。 歩きよりも　ずっと速く移動できるので 長距離移動の時は　使ってみましょう。 ドルボードに乗っている時に　<emoji LeftTrigger>を押すと ドルボードから　降りる事ができます。"
Content_ID_TIPS_BASIC_00110,"フィールドや町で　<emoji RightTrigger>を押すと べんりメニューが　開きます。 一部の　だいじなものや　コマンドが選べます。"
Content_ID_TIPS_BASIC_00120,"『さくせん』の『システム設定』では ゲーム内の　さまざまな設定が　おこなえます。 初期設定を変更したくなった時や オートセーブの設定などが　あります。"
Content_ID_TIPS_BASIC_00130,"冒険をしていると　仲間が加わることがあります。 仲間は　一時的に加わる仲間と 以後　ずっと一緒に　戦ってくれる仲間がいます。 一時的に加わる仲間は　めいれいをすることができず 成長もしないし　装備の変更や　スキルの取得を 行うことができません。 ずっと一緒にいてくれる仲間は　主人公と同じ様に 戦闘に勝利することで　経験値が手に入り レベルアップします。 レベルがあがると　スキルポイントが手に入るので スキルパネルを設定し　成長させましょう。 また　仲間の武器や防具を　変更することもできます。 主人公と違って　防具にあわせて 見た目が変わることはありませんが 武器や防具の効果は　発揮されますので 仲間たちの強化も　忘れないようにしましょう。 もしどこかで　仲間専用のおしゃれ装備を 手に入れることができたら 装備画面から　見た目を変えることもできます。 ぜひ　探してみてください。"
Content_ID_TIPS_MENU_00010,"メニュー画面の『まんたん』を選ぶと 効率よくMPを使って　全員のHPを完全に回復します。 状態異常を回復できる呪文を　覚えていれば ちからつきている仲間を　生き返らせたり 毒などの状態異常も　回復します。 また『さくせん』の『ほぼまんたん』を選ぶと HPがほぼまんたんに　近いところまで回復し MPを節約します。 いずれも　MPが同じくらいになるように使いますが 途中でMPがなくなった場合は そこまでしか回復しません。 メニュー画面を開いた状態で<emoji FaceButton_Left>ボタンを押すと 『ほぼまんたん』で回復することもできます。"
Content_ID_TIPS_MENU_00020,"冒険をしていると さまざまなアイテムが手に入ります。 アイテムは　使うことで効果を得られる「道具」 身につけることで　効果を得られる「装備品」 そして　道具や装備品を作るための「素材」 にわけられます。 また　冒険を進めるうえで　特に重要なアイテムは 「だいじなもの」として保管され すてたり　売ったりすることは　できません。 その他　いちぶのアイテムは「おまとめぶくろ」に 自動的に入り　保管されます。"
Content_ID_TIPS_MENU_00030,"メニュー画面の『どうぐ』を選ぶと 持っているアイテムを　くわしく見たり 使うことができます。 効果のあるアイテムは　このメニューで アイテムを選び　『つかう』で決定すると 使うことができます。 アイテムを持ちきれない時は　このメニューから アイテムを選び　『すてる』で決定すると 捨てられます。 「つかうもの」に入れられる　アイテムの数には 限りがありますが　冒険をすすめることで 持てる数を増やせることもあります。"
Content_ID_TIPS_MENU_00040,"専用の施設で　使ったり　交換に使う いちぶのアイテムは　自動的に 『おまとめぶくろ』の中に入ります。 このメニューから　入っているアイテムの数や 詳細を確認することができます。"
