Key,SourceString
SYSTXT_DUNGEON_KINGDOM_SYS_00010,"光の扉"
SYSTXT_DUNGEON_KINGDOM_SYS_00020,"迷宮へ行く"
SYSTXT_DUNGEON_KINGDOM_SYS_00030,"勇気の輝石交換"
SYSTXT_DUNGEON_KINGDOM_SYS_00040,"See Explanation"
SYSTXT_DUNGEON_KINGDOM_SYS_00050,"王家の迷宮 到達状況"
SYSTXT_DUNGEON_KINGDOM_SYS_00060,"B"
SYSTXT_DUNGEON_KINGDOM_SYS_00070,"Floor"
SYSTXT_DUNGEON_KINGDOM_SYS_00080,"まで開放"
SYSTXT_DUNGEON_KINGDOM_SYS_00090,"勇気の輝石"
SYSTXT_DUNGEON_KINGDOM_SYS_00100,"光の扉を通って\n迷宮に入ります"
SYSTXT_DUNGEON_KINGDOM_SYS_00110,"輝石をささげて\nベルトや効果と\n交換します"
SYSTXT_DUNGEON_KINGDOM_SYS_00120,"迷宮の\nシステムについて\n説明します"
SYSTXT_DUNGEON_KINGDOM_SYS_01010,"輝石のベルト交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01020,"効果を付与する"
SYSTXT_DUNGEON_KINGDOM_SYS_01030,"輝石のベルト選択"
SYSTXT_DUNGEON_KINGDOM_SYS_01040,"輝石効果"
SYSTXT_DUNGEON_KINGDOM_SYS_01050,"輝石効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01060,"必要数"
SYSTXT_DUNGEON_KINGDOM_SYS_01070,"銅の効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01080,"銀の効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01090,"金の効果と交換"
SYSTXT_DUNGEON_KINGDOM_SYS_01100,"王家の迷宮の遊び方"
SYSTXT_DUNGEON_KINGDOM_SYS_01110,"行き先選択"
SYSTXT_DUNGEON_KINGDOM_SYS_10010,"Twilight 空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10020,"Twilight 砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10030,"Twilight 聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10040,"Sunny 空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10050,"Sunny 砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10060,"Sunny 聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10070,"Dusk 空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10080,"Dusk 砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10090,"Dusk 聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10100,"Midnight 空園"
SYSTXT_DUNGEON_KINGDOM_SYS_10110,"Midnight 砂漠"
SYSTXT_DUNGEON_KINGDOM_SYS_10120,"Midnight 聖林"
SYSTXT_DUNGEON_KINGDOM_SYS_10130,"深淵の間"
SYSTXT_DUNGEON_KINGDOM_SYS_11010,"勇気の輝き残り"
SYSTXT_DUNGEON_KINGDOM_SYS_20010,"Enter the Royal Maze?\n<yesno><close>"
SYSTXT_DUNGEON_KINGDOM_SYS_20020,"勇気の輝石　{Kiseki_Need}個を使って\n輝石のベルトと交換しますか？\n<yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20030,"勇気の輝石　{Kiseki_Need}個を使って\n輝石のベルトと交換した！"
SYSTXT_DUNGEON_KINGDOM_SYS_20040,"輝石のベルトを手に入れた！"
SYSTXT_DUNGEON_KINGDOM_SYS_20050,"{Kiseki_Belt_Selected_Name}には　\n最大まで輝石効果が　付与されています。\n選択した輝石効果を　入れ替えますか？\n<yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20060,"どの輝石効果と　入れ替えますか？\n<break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20070,"{Kiseki_Effect_Old}を\n{Kiseki_Effect_Selected}に付け替えます。\nよろしいですか？\n<yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20080,"{Kiseki_Effect_Old}を\n{Kiseki_Effect_Selected}に付け替えた！"
SYSTXT_DUNGEON_KINGDOM_SYS_20090,"勇気の輝石を　{Kiseki_Need}個使って\n{Kiseki_Effect_Selected}　の輝石効果を付与します。\nよろしいですか？\n<yesno><break>"
SYSTXT_DUNGEON_KINGDOM_SYS_20100,"{Kiseki_Belt_Selected_Name}に\n{Kiseki_Effect_Selected}を　つけた！"
SYSTXT_DUNGEON_KINGDOM_SYS_21010,"王家の迷宮は　アンルシアと\n仲間モンスターを　連れていくことができる\nソロプレイダンジョンです。\n<br>\n迷宮の中では画面左上に表示されている\n勇気の輝きが　少しずつ減っていき\n０になれば　外に　追いだされてしまいます。\n<br>\nモンスターを倒して　光の霊玉を集めながら\n勇気の輝きが　無くなる前に\n次の部屋へ進みましょう。\n<br>\n集めた光の霊玉は　次の部屋で勇気の輝きに変わり\n代わりに　それまでに残っていた勇気の輝きは\n消えてなくなります。"
SYSTXT_DUNGEON_KINGDOM_SYS_21020,"王家の迷宮から持ち帰った　勇気の輝石を使って\n輝石のベルトと交換することができます。\n<br>\n輝石のベルトには　最大４種まで\n輝石効果を　付与することができます。"
