Key,SourceString
SYSTXT_FACILITY_CHURCH_NPC_01010,"「生きとし生ける者は　皆　神の子。\n　我が教会に　どんな　ご用かな？\n<ask><break>"
SYSTXT_FACILITY_CHURCH_NPC_01020,"「他にも　用はあるかね？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01030,"「やめるのだな。\n　それも　また　よろしかろう。\n　他に　用はあるかな？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01040,"「冒険を続けるのだな。\n　では　他に用はあるかね？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01050,"「困ったときは　いつでも立ち寄りなさい。\n　{PC}に　神のご加護が　あらんことを。\n<turn_end>"
SYSTXT_FACILITY_CHURCH_NPC_01060,"「では　神の前に\n　これまでの行いを　告白し\n　冒険の書に記録するがよい。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01061,"「では　神の前に\n　これまでの　おこないを　告白なさい。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01070,"「なんばんの　冒険の書に\n　記録するおつもりか？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01080,"「{Boukennosho_Slot}：{PC}　{Play_Time}　に\n　上書きするが　それで　よろしいかな？\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01090,"「たしかに　記録しましたぞ。\n　まだ　冒険を　続けられる\n　おつもりか？\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01100,"「おお　神よ！\n　この者に　ひとときの\n　休息を　与えたまえ。\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01101,"「おお　神よ！\n　この者たちに　ひとときの\n　休息を　与えたまえ。\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01110,"「ルーラストーンに\n　{Place_Name}を　記憶させるかね？\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01120,"「よろしかろう。\n　ならば　ルーラストーンに\n　念じるがよい……。\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01130,"「そのルーラストーンには\n　{Place_Name}が　記憶された。\n　他に　用はあるかな？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01140,"「ふむ。そなたは　すでに\n　この場所を記憶させた　ルーラストーンを\n　持っているようだな。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01150,"「神の声が　聞こえます。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01160,"「{Character_Name}よ。\n　そなたは　あと　{Exp_Require}の経験で\n　次のレベルに　なるじゃろう。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01170,"「{Character_Name}よ。\n　そなたは　もう　十分に強い。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01180,"「チカラ尽きた者は　ひとりも　おらぬ様子。\n　神のご加護に　感謝するがよい。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01190,"「どなたを　この世へ　呼び戻したいのかな？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01200,"「冗談を　言うでない！\n　おぬしは　ピンピンしておるではないか！\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01210,"「冗談を　言うでない！\n　{Character_Selected_Name}どのは　生きておるぞ！\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01220,"「おお！　全知全能の神よ！\n　忠実なる神のしもべ　{Character_Selected_Name}のみたまを\n　ここに呼び戻したまえ！\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01230,"「毒におかされた者は　ひとりも　おらぬ様子。\n　神のご加護に　感謝するがよい。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01240,"「どなたの　毒を　治療するのかな？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01250,"「はて。そなたは　毒になど\n　おかされては　おらぬようだが。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01260,"「はて。{Character_Selected_Name}どのは\n　毒になど　おかされては　おらぬようだが。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01270,"「おお！　我らが神よ！\n　{Character_Selected_Name}より　毒のけがれを\n　消し去りたまえ！\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01280,"「呪われた者は　ひとりも　おらぬ様子。\n　神のご加護に　感謝するがよい。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01290,"「どなたの呪いを　解くのかな？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01300,"「はて……。そなたは\n　呪われてなど　いないようだが。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01310,"「はて……。{Character_Selected_Name}どのは\n　呪われてなど　いないようだが。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01320,"「おお！　我らが神よ！\n　{Character_Selected_Name}に取りついた　いまわしき呪いを\n　消し去りたまえ！\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01330,"「それでは　我が教会に\n　{Donation}ゴールドの　ご寄付を。\n　よろしいかな？\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01340,"「う～む……。寄付をするには\n　お金が足りないようだな。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01350,"「むむっ……見えるぞ。\n　そなたの中に眠る　もうひとつの姿が。\n<br_break>"
SYSTXT_FACILITY_CHURCH_NPC_01360,"「異なる姿を　目覚めさせ\n　{PC_Race}から　{PC_Race_After}に\n　種族を　変えたいと申されるか？\n<yesno><break>"
SYSTXT_FACILITY_CHURCH_NPC_01370,"「おお　全知全能の神よ！\n　{PC}の中に眠る　{PC_Race_After}の\n　姿を　目覚めさせたまえ！\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01380,"「種族が　変わったことで\n　装備できなくなった　武器や防具は\n　はずしておいたからな。\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01390,"「よくぞ　戻られた！\n　{PC}殿！\n<bw_break>"
SYSTXT_FACILITY_CHURCH_NPC_01400,"「おお　神よ！\n　この者に　聖なるご加護の\n　あらんことを！\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01401,"「おお　神よ！\n　この者たちに　聖なるご加護の\n　あらんことを！\n<end>"
SYSTXT_FACILITY_CHURCH_NPC_01810,"「どの しばりプレイを\n　解除するのじゃな？\n<break>"
SYSTXT_FACILITY_CHURCH_NPC_01820,"「『使う道具の持てる数を制限』を設定するならば\n　つかうものを　１０個以下に\n　しなくてはならんぞ！\n<bw_break>"
