Key,SourceString
AQ_016_1,"おばけトマト軍団"
AQ_016_3,"魔女グレイツェル"
AQ_017_3,"アルゴングレート"
AQ_018_3,"ゴリウスの怨霊＆魔道士キルギル"
AQ_018_3＿BATTLENAME,"ゴリウスの怨霊たち"
AQ_019_1,"ひとくいドールたち"
AQ_019_2,"トマホーガー"
AQ_019_3,"Evil Swordsman Tegram"
KQ_111_1,"ドラゴンガイア・双"
KQ_111_2,"ヴォルカドラゴン"
KQ_111_3_1,"ギーグハンマー"
KQ_111_3_2,"ギーグハンマー・狂"
KQ_111_4_1,"エース"
KQ_111_4_2,"エースたち"
KQ_131_1,"しびれくらげ先生"
GK_001,"ビッグモーモン"
GK_002,"密林の守人＆密林の狩人"
GK_002_BATTLENAME,"密林の守人たち"
GK_003,"Ice Golem"
GK_003_BATTLENAME,"Ice Golem's Forces"
GK_004,"Abyss Soldier"
GK_004_BATTLENAME,"Abyss Soldier's Forces"
GK_005,"Dark Hare"
GK_005_BATTLENAME,"Dark Hare's Forces"
GK_006,"どデカニードル"
GK_007,"モヒカント＆バッファロン"
GK_007_BATTLENAME,"モヒカントたち"
GK_008,"ゼドラゴン"
GK_008_BATTLENAME,"ゼドラゴンたち"
GK_009,"潮風のディーバ"
GK_009_BATTLENAME,"潮風のディーバたち"
GK_010,"エレメンレッドたち"
GK_TITLE,"Door of Trials"
MS_2_0_1,"Nightmare Right Hand"
MS_2_0_2,"Genie Enraja & Muccino"
MS_2_0_2_BATTLENAME,"Genie Enraja's Forces"
MS_2_0_3,"Sin King Bermud"
MS_2_0_4,"Statue of Despair"
MS_2_0_5,"Demonic Soldier Gezra"
MS_2_0_6,"Demonic Soldier Grimos"
MS_2_0_7,"Demonic Captain Bassler"
MS_2_0_8,"Evil Hero Anlucia"
MQ_001_3,"Naughty Jamii & Naughty Berti"
MQ_001_3_BATTLENAME,"Naughty Jamii's forces"
MQ_001_5,"Heart-boiled"
MQ_002_5,"邪教祖サダク"
MQ_003_4,"Sweets Troll"
MQ_003_5,"あなうめ３兄弟"
MQ_006_1,"魔族のしもべ"
MQ_006_1_BATTLENAME,"ヘルバトラーたち"
MQ_009_1,"Grave Digger"
MQ_010_1,"獣魔将ガルレイ"
MQ_020_1,"ベロリンマン"
MQ_021_1,"どくどくバルーン"
MQ_022_1,"なげきの魔像"
MQ_017_1,"幻魔将ファズマ"
MQ_015_1,"妖魔将ゲジュラ"
MQ_016_1,"豪魔将ベリンダ＆豪魔将ブレンダ"
MQ_016_1_BATTLENAME,"豪魔将ベリンダたち"
MS_2_2_1,"恐怖の化身"
MQ_024_1,"飛竜たち"
MQ_025_3,"魔導鬼ベゼブー"
MS_2_3_1,"ワイルドフォビズム"
MS_2_3_2,"エビルキュビズム"
MS_2_3_3,"ダークレアリズム"
MS_2_3_4,"魔元帥ゼルドラド"
MS_2_4_1,"トーマ王子"
MS_2_4_2,"大魔王マデサゴーラ"
MS_2_4_3,"創造神マデサゴーラ"
KQ_138_1,"Big Bang Boulder"
HQ_001_2_1,"封魔フォーゲル"
HQ_001_2_2,"試練のケモノたち"
NCOL_01,"ダークネビュラス"
NCOL_02,"アイドル★モンスターズ"
NCOL_03,"おしおき美魔女コンビ"
NCOL_04,"地獄の労働組合"
NCOL_05,"飛竜たち・強"
NCOL_06,"超スライム連合"
NCOL_07,"恐怖！殺りくの巨大兵器"
NCOL_08,"真・悪霊の神々"
NCOL_09,"真・伝説の三悪魔"
NCOL_10,"無限のわかめ"
QUESTION_3,"???"
