Key,SourceString
SYSTXT_SYSTEM_COMMON_00010,"Lv"
SYSTXT_SYSTEM_COMMON_00030,"Max HP"
SYSTXT_SYSTEM_COMMON_00040,"HP"
SYSTXT_SYSTEM_COMMON_00050,"Max MP"
SYSTXT_SYSTEM_COMMON_00060,"MP"
SYSTXT_SYSTEM_COMMON_00070,"Attack Power"
SYSTXT_SYSTEM_COMMON_00080,"Attack Power (R)"
SYSTXT_SYSTEM_COMMON_00090,"Attack Power (L)"
SYSTXT_SYSTEM_COMMON_00100,"Defense"
SYSTXT_SYSTEM_COMMON_00130,"Magical Might"
SYSTXT_SYSTEM_COMMON_00140,"かいふく魔力"
SYSTXT_SYSTEM_COMMON_00150,"ちから"
SYSTXT_SYSTEM_COMMON_00160,"みのまもり"
SYSTXT_SYSTEM_COMMON_00170,"すばやさ"
SYSTXT_SYSTEM_COMMON_00180,"きようさ"
SYSTXT_SYSTEM_COMMON_00190,"みりょく"
SYSTXT_SYSTEM_COMMON_00200,"MP Absorption Rate"
SYSTXT_SYSTEM_COMMON_00210,"Guard Rate"
SYSTXT_SYSTEM_COMMON_00220,"経験値"
SYSTXT_SYSTEM_COMMON_00230,"次のレベルまで"
SYSTXT_SYSTEM_COMMON_00240,"パラメータ変化"
SYSTXT_SYSTEM_COMMON_00250,"特殊効果"
SYSTXT_SYSTEM_COMMON_00260,"消費MP"
SYSTXT_SYSTEM_COMMON_00270,"消費テンション"
SYSTXT_SYSTEM_COMMON_00280,"釣り会心 Rate"
SYSTXT_SYSTEM_COMMON_00290,"くいつき度"
SYSTXT_SYSTEM_COMMON_00300,"釣り経験値"
SYSTXT_SYSTEM_COMMON_00310,"消費Ｇ"
SYSTXT_SYSTEM_COMMON_00320,"釣りパワー"
SYSTXT_SYSTEM_COMMON_00330,"Shield Guard Rate"
SYSTXT_SYSTEM_COMMON_00340,"MP Absorption Rate (R)"
SYSTXT_SYSTEM_COMMON_00350,"MP Absorption Rate (L)"
SYSTXT_SYSTEM_COMMON_01010,"1"
SYSTXT_SYSTEM_COMMON_01020,"2"
SYSTXT_SYSTEM_COMMON_01030,"3"
SYSTXT_SYSTEM_COMMON_01040,"4"
SYSTXT_SYSTEM_COMMON_01050,"5"
SYSTXT_SYSTEM_COMMON_01060,"6"
SYSTXT_SYSTEM_COMMON_01070,"7"
SYSTXT_SYSTEM_COMMON_01080,"8"
SYSTXT_SYSTEM_COMMON_01090,"9"
SYSTXT_SYSTEM_COMMON_01100,"ぜんいん"
SYSTXT_SYSTEM_COMMON_02010,"Right Hand"
SYSTXT_SYSTEM_COMMON_02020,"Left Hand"
SYSTXT_SYSTEM_COMMON_02030,"Head"
SYSTXT_SYSTEM_COMMON_02040,"Upper Body"
SYSTXT_SYSTEM_COMMON_02050,"Lower Body"
SYSTXT_SYSTEM_COMMON_02060,"Accessory 1"
SYSTXT_SYSTEM_COMMON_02070,"Accesory 2"
SYSTXT_SYSTEM_COMMON_02080,"そうびなし"
SYSTXT_SYSTEM_COMMON_02090,"そうびできない"
SYSTXT_SYSTEM_COMMON_02100,"Fishing Rod"
SYSTXT_SYSTEM_COMMON_02110,"Lure"
SYSTXT_SYSTEM_COMMON_02120,"Badge"
SYSTXT_SYSTEM_COMMON_03010,"All"
SYSTXT_SYSTEM_COMMON_03020,"Material"
SYSTXT_SYSTEM_COMMON_03030,"Recipe Book"
SYSTXT_SYSTEM_COMMON_03040,"Useful Tool"
SYSTXT_SYSTEM_COMMON_03050,"Accessories"
SYSTXT_SYSTEM_COMMON_03060,"Cooking"
SYSTXT_SYSTEM_COMMON_03070,"Scout Book"
SYSTXT_SYSTEM_COMMON_03080,"Emote Book"
SYSTXT_SYSTEM_COMMON_03090,"Key Item"
SYSTXT_SYSTEM_COMMON_03100,"Weapon"
SYSTXT_SYSTEM_COMMON_03110,"Armor"
SYSTXT_SYSTEM_COMMON_03120,"Accessory"
SYSTXT_SYSTEM_COMMON_03130,"Helmet"
SYSTXT_SYSTEM_COMMON_03140,"Cap"
SYSTXT_SYSTEM_COMMON_03150,"Armor - Upper Body"
SYSTXT_SYSTEM_COMMON_03160,"Clothes - Upper Body"
SYSTXT_SYSTEM_COMMON_03170,"Robe"
SYSTXT_SYSTEM_COMMON_03180,"Armor - Lower Body"
SYSTXT_SYSTEM_COMMON_03190,"Clothes - Lower Body"
SYSTXT_SYSTEM_COMMON_03200,"Face Accessory"
SYSTXT_SYSTEM_COMMON_03210,"Head Accessory"
SYSTXT_SYSTEM_COMMON_03220,"Finger Accessory"
SYSTXT_SYSTEM_COMMON_03230,"Chest Accessory"
SYSTXT_SYSTEM_COMMON_03240,"Waist Accessory"
SYSTXT_SYSTEM_COMMON_03250,"Proof Accessory"
