Key,SourceString
SYSTXT_FIELD_DORAKY_00010,"小ビンの水が　にごりはじめました"
SYSTXT_FIELD_DORAKY_00020,"小ビンの水が　にごってきました……"
SYSTXT_FIELD_DORAKY_00030,"小ビンの水が　かなり　にごってきました……"
SYSTXT_FIELD_DORAKY_00040,"小ビンの水は　にごってしまったようです"
SYSTXT_FIELD_DORAKY_10010,"A new quest has been added to the Quest List!"
SYSTXT_FIELD_DORAKY_20010,"香水効果の残り時間が　あとわずかです！"
SYSTXT_FIELD_DORAKY_20020,"食事効果の残り時間が　あとわずかです！"
SYSTXT_FIELD_DORAKY_20030,"施設効果の残り時間が　あとわずかです！"
SYSTXT_FIELD_DORAKY_30010,"旅のコンシェルジュに　経験値が預けられました"
SYSTXT_FIELD_DORAKY_30020,"旅のコンシェルジュに　経験値が預けられています"
SYSTXT_FIELD_DORAKY_30030,"旅のコンシェルジュに　報酬が送られました"
SYSTXT_FIELD_DORAKY_30040,"旅のコンシェルジュに　報酬が預けられています"
SYSTXT_FIELD_DORAKY_40010,"討伐隊が　帰還しました！"
SYSTXT_FIELD_DORAKY_20040,"元気タイムが　終わりました"
SYSTXT_FIELD_DORAKY_20050,"香水効果が　終わりました"
SYSTXT_FIELD_DORAKY_20060,"食事効果が　終わりました"
SYSTXT_FIELD_DORAKY_20070,"施設効果が　終わりました"
SYSTXT_FIELD_DORAKY_20080,"バンジー効果が　終わりました"
SYSTXT_FIELD_DORAKY_20090,"元気タイムが　あとわずかです！"
SYSTXT_FIELD_DORAKY_20100,"バンジー効果の残り時間が　あとわずかです！"
SYSTXT_FIELD_DORAKY_50010,"新しい場所が　ルーラストーンに記憶されました！"
